iter	RMSE
0	0.5111665952
1	0.4940204774
2	0.4765224728
3	0.460297458
4	0.4450270325
5	0.4312660894
6	0.417162391
7	0.4043184526
8	0.3921443078
9	0.380746698
10	0.3704409499
11	0.3603450811
12	0.3509699246
13	0.3424648928
14	0.3342667117
15	0.3265166296
16	0.3192542673
17	0.3124324988
18	0.3063003419
19	0.3007311961
20	0.2951602136
21	0.2899140989
22	0.28485351
23	0.2799685725
24	0.2758762796
25	0.2717729509
26	0.267940994
27	0.2644291055
28	0.2608066502
29	0.2575345244
30	0.2543582597
31	0.2511346848
32	0.2483036056
33	0.2455823426
34	0.2431343682
35	0.2406479716
36	0.2384939241
37	0.2361686073
38	0.2338467562
39	0.2318084903
40	0.2300622812
41	0.228691274
42	0.2273223504
43	0.226090466
44	0.2244360725
45	0.2233087046
46	0.2219738084
47	0.2200308276
48	0.2182039854
49	0.2170494788
50	0.2153026874
51	0.2137901942
52	0.2122818774
53	0.2111508047
54	0.2098670918
55	0.2089350717
56	0.2078938909
57	0.2068786217
58	0.2059218062
59	0.2049649807
60	0.2040044938
61	0.2031183241
62	0.202338334
63	0.2016729476
64	0.2008945519
65	0.2001326642
66	0.199304012
67	0.1986206591
68	0.197737884
69	0.1971782901
70	0.1964041686
71	0.195859627
72	0.1950969901
73	0.1941598518
74	0.1936906027
75	0.1931994001
76	0.1925157184
77	0.1919988518
78	0.1913847963
79	0.1905329359
80	0.1899738751
81	0.1897497311
82	0.1889003746
83	0.1884539921
84	0.1877325785
85	0.1874525259
86	0.1867601165
87	0.1860112228
88	0.1855482568
89	0.1848897009
90	0.1845388793
91	0.1841686897
92	0.1838256986
93	0.1835095524
94	0.1832397079
95	0.182931207
96	0.1826631805
97	0.1821241464
98	0.1816553972
99	0.1810886243
100	0.1808757347
101	0.1804785849
102	0.1801203795
103	0.1798119025
104	0.1795030501
105	0.1792134541
106	0.1788148346
107	0.1784593903
108	0.1779266787
109	0.1776058621
110	0.1772752887
111	0.1767232978
112	0.1763468002
113	0.1760991192
114	0.1757739081
115	0.175537095
116	0.1753329348
117	0.1751887201
118	0.1750573416
119	0.174921463
120	0.1744960795
121	0.1742904495
122	0.1741400557
123	0.173860354
124	0.1735966861
125	0.1729662585
126	0.1726747467
127	0.1725965037
128	0.172328659
129	0.1721419724
130	0.1719546706
131	0.1718038987
132	0.1715884116
133	0.171326209
134	0.171178482
135	0.1710805945
136	0.1709296669
137	0.1706542594
138	0.1703415109
139	0.1702321076
140	0.1700039199
141	0.1699014976
142	0.1696457556
143	0.1694766991
144	0.1693465973
145	0.1692098315
146	0.1691226195
147	0.1689032915
148	0.1688297566
149	0.1687277857
150	0.1684979181
151	0.1682500394
152	0.1681235957
153	0.1680645259
154	0.1678226096
155	0.1677196901
156	0.1676366446
157	0.1675178994
158	0.1674196692
159	0.1672937566
160	0.1671115799
161	0.1670199622
162	0.1670182412
163	0.1667566522
164	0.1666297483
165	0.1665697608
166	0.1664263518
167	0.1662381108
168	0.165929385
169	0.1658652466
170	0.1657673926
171	0.1656500364
172	0.1654541331
173	0.1653005931
174	0.1651000799
175	0.1649382738
176	0.1648704003
177	0.1646942371
178	0.1645743174
179	0.1640817529
180	0.1638921239
181	0.1637255791
182	0.1636153704
183	0.1635003754
184	0.1632867154
185	0.1632271293
186	0.1631406514
187	0.1630966252
