iter	Passed	Remaining
0	169	84580
1	196	48881
2	233	38704
3	277	34416
4	313	31030
5	343	28271
6	379	26754
7	410	25223
8	442	24156
9	474	23244
10	503	22404
11	539	21939
12	567	21258
13	592	20568
14	617	19959
15	643	19466
16	670	19050
17	697	18682
18	727	18405
19	753	18090
20	779	17773
21	804	17488
22	842	17469
23	877	17394
24	903	17163
25	930	16955
26	955	16738
27	984	16604
28	1011	16436
29	1037	16251
30	1063	16086
31	1090	15950
32	1122	15889
33	1149	15748
34	1176	15626
35	1203	15506
36	1230	15398
37	1257	15282
38	1288	15226
39	1318	15165
40	1346	15074
41	1372	14969
42	1399	14873
43	1425	14773
44	1452	14687
45	1480	14608
46	1507	14533
47	1534	14453
48	1561	14368
49	1587	14290
50	1614	14214
51	1640	14131
52	1667	14062
53	1693	13990
54	1720	13923
55	1752	13891
56	1777	13818
57	1806	13763
58	1835	13719
59	1864	13674
60	1899	13667
61	1928	13621
62	1954	13559
63	1981	13497
64	2008	13441
65	2034	13380
66	2062	13327
67	2090	13283
68	2120	13243
69	2145	13180
70	2173	13133
71	2200	13078
72	2226	13022
73	2252	12969
74	2279	12915
75	2304	12858
76	2330	12802
77	2356	12751
78	2381	12693
79	2408	12646
80	2436	12604
81	2464	12564
82	2490	12513
83	2517	12466
84	2543	12420
85	2571	12378
86	2597	12331
87	2624	12288
88	2654	12259
89	2682	12219
90	2711	12186
91	2737	12140
92	2765	12101
93	2792	12061
94	2818	12016
95	2847	11982
96	2881	11973
97	2908	11932
98	2936	11892
99	2965	11860
100	2993	11827
101	3021	11790
102	3050	11756
103	3079	11724
104	3108	11693
105	3136	11660
106	3163	11620
107	3190	11581
108	3220	11553
109	3250	11524
110	3279	11491
111	3307	11458
112	3336	11425
113	3362	11385
114	3402	11390
115	3427	11347
116	3455	11312
117	3483	11277
118	3509	11237
119	3536	11199
120	3561	11156
121	3588	11117
122	3615	11081
123	3642	11044
124	3670	11012
125	3700	10982
126	3732	10963
127	3764	10940
128	3797	10921
129	3823	10881
130	3850	10846
131	3878	10813
132	3905	10776
133	3932	10742
134	3959	10706
135	3987	10671
136	4012	10632
137	4041	10600
138	4066	10560
139	4092	10523
140	4118	10486
141	4145	10451
142	4172	10415
143	4205	10396
144	4233	10365
145	4261	10332
146	4288	10298
147	4333	10307
148	4361	10273
149	4387	10237
150	4413	10201
151	4440	10165
152	4467	10133
153	4496	10102
154	4523	10069
155	4550	10034
156	4576	9999
157	4603	9964
158	4629	9929
159	4658	9898
160	4684	9864
161	4710	9828
162	4727	9774
163	4761	9755
164	4788	9721
165	4815	9689
166	4843	9657
167	4872	9628
168	4900	9597
169	4927	9564
170	4954	9531
171	4980	9498
172	5007	9465
173	5035	9434
174	5062	9400
175	5089	9369
176	5115	9335
177	5142	9302
178	5168	9269
179	5195	9237
180	5223	9205
181	5250	9174
182	5277	9141
183	5303	9108
184	5333	9081
185	5361	9050
186	5388	9018
187	5414	8985
188	5441	8953
189	5470	8925
190	5496	8891
191	5510	8839
192	5536	8806
193	5563	8774
194	5590	8744
195	5632	8735
196	5662	8709
197	5692	8682
198	5720	8652
199	5749	8624
200	5778	8595
201	5807	8567
202	5835	8538
203	5865	8510
204	5893	8480
205	5922	8452
206	5951	8423
207	5969	8379
208	5997	8350
209	6016	8308
210	6044	8278
211	6072	8249
212	6096	8214
213	6123	8184
214	6154	8158
215	6183	8129
216	6206	8094
217	6235	8065
218	6263	8036
219	6293	8009
220	6315	7973
221	6344	7944
222	6374	7918
223	6401	7887
224	6428	7857
225	6472	7847
226	6500	7817
227	6528	7788
228	6558	7761
229	6587	7732
230	6614	7703
231	6641	7672
232	6669	7642
233	6697	7613
234	6724	7582
235	6752	7554
236	6780	7524
237	6817	7504
238	6845	7476
239	6875	7448
240	6904	7419
241	6931	7389
242	6958	7359
243	7004	7349
244	7045	7333
245	7089	7320
246	7147	7321
247	7183	7299
248	7218	7276
249	7248	7248
250	7279	7221
251	7310	7193
252	7339	7165
253	7366	7134
254	7397	7107
255	7427	7079
256	7457	7051
257	7484	7020
258	7512	6990
259	7541	6961
260	7570	6932
261	7600	6903
262	7630	6876
263	7662	6850
264	7690	6819
265	7716	6788
266	7745	6758
267	7770	6726
268	7797	6696
269	7826	6666
270	7853	6636
271	7881	6606
272	7913	6579
273	7941	6550
274	7970	6521
275	7998	6491
276	8028	6463
277	8057	6434
278	8086	6405
279	8115	6376
280	8145	6348
281	8175	6319
282	8202	6289
283	8229	6259
284	8256	6228
285	8283	6197
286	8308	6166
287	8335	6135
288	8363	6106
289	8391	6076
290	8431	6055
291	8495	6051
292	8532	6028
293	8564	6000
294	8598	5974
295	8641	5955
296	8685	5936
297	8717	5909
298	8751	5883
299	8786	5857
300	8823	5833
301	8861	5810
302	8891	5781
303	8975	5786
304	9068	5798
305	9105	5772
306	9135	5743
307	9166	5714
308	9196	5684
309	9226	5655
310	9255	5624
311	9284	5594
312	9316	5566
313	9347	5536
314	9377	5507
315	9408	5478
316	9435	5447
317	9464	5416
318	9492	5385
319	9521	5355
320	9549	5325
321	9577	5294
322	9605	5263
323	9633	5232
324	9660	5201
325	9688	5171
326	9716	5140
327	9743	5109
328	9771	5078
329	9801	5049
330	9827	5017
331	9855	4986
332	9894	4962
333	9922	4931
334	9948	4899
335	9976	4869
336	10003	4838
337	10030	4807
338	10058	4777
339	10085	4746
340	10112	4715
341	10139	4684
342	10167	4654
343	10195	4623
344	10223	4592
345	10249	4561
346	10277	4531
347	10303	4500
348	10328	4468
349	10356	4438
350	10383	4407
351	10408	4376
352	10434	4345
353	10459	4313
354	10487	4283
355	10529	4259
356	10559	4229
357	10585	4198
358	10611	4167
359	10640	4137
360	10667	4107
361	10696	4077
362	10725	4047
363	10752	4017
364	10782	3988
365	10809	3957
366	10836	3927
367	10866	3897
368	10894	3867
369	10922	3837
370	10949	3807
371	10977	3777
372	11005	3747
373	11031	3716
374	11059	3686
375	11085	3655
376	11116	3626
377	11142	3596
378	11168	3565
379	11194	3535
380	11221	3504
381	11248	3474
382	11273	3443
383	11299	3413
384	11325	3383
385	11354	3353
386	11380	3323
387	11407	3292
388	11432	3262
389	11464	3233
390	11491	3203
391	11518	3173
392	11544	3143
393	11572	3113
394	11601	3084
395	11632	3054
396	11662	3025
397	11690	2996
398	11718	2966
399	11747	2936
400	11776	2907
401	11806	2878
402	11834	2848
403	11862	2818
404	11891	2789
405	11919	2759
406	11947	2729
407	11980	2701
408	12008	2671
409	12036	2642
410	12061	2611
411	12089	2582
412	12123	2553
413	12149	2523
414	12189	2496
415	12217	2466
416	12244	2437
417	12271	2407
418	12298	2377
419	12325	2347
420	12353	2318
421	12380	2288
422	12407	2258
423	12434	2228
424	12461	2199
425	12489	2169
426	12517	2139
427	12542	2109
428	12569	2080
429	12597	2050
430	12624	2021
431	12652	1991
432	12681	1962
433	12707	1932
434	12734	1902
435	12760	1873
436	12786	1843
437	12812	1813
438	12840	1784
439	12870	1755
440	12901	1726
441	12931	1696
442	12961	1667
443	12990	1638
444	13020	1609
445	13049	1579
446	13077	1550
447	13104	1521
448	13130	1491
449	13159	1462
450	13186	1432
451	13212	1403
452	13238	1373
453	13265	1344
454	13291	1314
455	13318	1285
456	13346	1255
457	13372	1226
458	13399	1196
459	13426	1167
460	13452	1138
461	13479	1108
462	13508	1079
463	13536	1050
464	13566	1021
465	13595	991
466	13625	962
467	13655	933
468	13685	904
469	13713	875
470	13742	846
471	13770	816
472	13800	787
473	13828	758
474	13871	730
475	13903	701
476	13933	671
477	13960	642
478	13986	613
479	14013	583
480	14040	554
481	14065	525
482	14091	495
483	14120	466
484	14145	437
485	14171	408
486	14199	379
487	14225	349
488	14252	320
489	14278	291
490	14306	262
491	14334	233
492	14360	203
493	14387	174
494	14413	145
495	14439	116
496	14465	87
497	14494	58
498	14519	29
499	14545	0
