iter	RMSE
0	0.6373854129
1	0.6274371611
2	0.6185507149
3	0.6105360566
4	0.6021190133
5	0.5942156368
6	0.5863371175
7	0.5794474742
8	0.5729141392
9	0.5667367531
10	0.5607281183
11	0.5552471876
12	0.5497796295
13	0.5446899017
14	0.5401730176
15	0.5356297686
16	0.531746654
17	0.528390435
18	0.5251564085
19	0.52201636
20	0.5190138994
21	0.5163026771
22	0.5132916406
23	0.5102586582
24	0.507396959
25	0.5050704157
26	0.5023963876
27	0.500926599
28	0.49883762
29	0.4971016825
30	0.4955185522
31	0.4943536618
32	0.4928030905
33	0.4911997677
34	0.4896525035
35	0.4884395435
36	0.4872861042
37	0.485922928
38	0.484492484
39	0.4834172824
40	0.4824859685
41	0.4812837548
42	0.4803119655
43	0.479510553
44	0.4785947567
45	0.4778474999
46	0.4770269988
47	0.4761163747
48	0.4752410511
49	0.4746028222
50	0.4740313685
51	0.4733972604
52	0.4728211515
53	0.4721984548
54	0.4710986446
55	0.4704610371
56	0.4702516498
57	0.4694470707
58	0.4689409767
59	0.4683103577
60	0.4677084363
61	0.4670210616
62	0.4664997668
63	0.4661618195
64	0.465363272
65	0.4650976819
66	0.4646751717
67	0.464250023
68	0.4637039272
69	0.4630577221
70	0.4627146331
71	0.462373293
72	0.462021681
73	0.4616607253
74	0.461283551
75	0.4611146919
76	0.4608780351
77	0.4606392157
78	0.4601677369
79	0.459985693
80	0.4595440404
81	0.4591980289
82	0.4590163011
83	0.4587129755
84	0.4583915562
85	0.4579404659
86	0.4575009486
87	0.4572412824
88	0.4568038841
89	0.4565540927
90	0.4563200561
91	0.456023064
92	0.4556496887
93	0.4554921467
94	0.4550368644
95	0.4546628068
96	0.4543151065
97	0.4540085632
98	0.4538346167
99	0.4536252325
100	0.4534594628
101	0.4533305142
102	0.452933432
103	0.4526588486
104	0.4524123699
105	0.4523178522
106	0.4522565049
107	0.4520795707
108	0.4519510447
109	0.4516255482
110	0.4516239578
111	0.451355688
112	0.4509188176
113	0.4508447707
114	0.4506346717
115	0.4505853829
116	0.4504496753
117	0.4503059155
118	0.4502429838
119	0.4500955816
120	0.4499809451
121	0.4498721692
122	0.4498042136
123	0.4496111682
124	0.4494291299
125	0.4493444849
126	0.4491362642
127	0.4489700872
128	0.4488026696
129	0.448695781
130	0.4485568247
131	0.4484575527
132	0.4484226267
133	0.4483359404
134	0.448205976
135	0.4478212263
136	0.4477224587
137	0.4475596253
138	0.4474988123
139	0.4473766303
140	0.4472202186
141	0.4471097194
142	0.4469727212
143	0.4469089135
144	0.4466818088
145	0.4463468385
146	0.446346838
147	0.4463098327
148	0.4462011737
149	0.446062217
150	0.4458638856
151	0.4457537962
152	0.4455991235
153	0.4454964927
154	0.4453066054
155	0.4452759652
156	0.4451390249
157	0.4450365125
158	0.4448912248
159	0.4445770877
160	0.444450305
161	0.4443617953
162	0.4443173682
163	0.4441624215
164	0.4441624213
165	0.444051429
166	0.4440514284
167	0.4438619103
168	0.4437138799
169	0.4437138785
170	0.443467755
171	0.4433423549
172	0.4431266761
173	0.4428277043
174	0.442705527
175	0.4426628182
176	0.4426137589
177	0.4424837106
178	0.4422855116
179	0.4422145794
180	0.442181995
181	0.441950746
182	0.4417834548
183	0.4416636904
184	0.4415925019
185	0.4415925019
186	0.4414386803
187	0.4413952433
188	0.4412771161
189	0.4409463466
190	0.4409173715
191	0.4408209803
192	0.440682913
193	0.4405888617
194	0.4404714556
195	0.4404162636
196	0.4403156947
197	0.4402163513
198	0.4401095569
199	0.4400131177
200	0.439919272
201	0.4398557741
202	0.4397523067
203	0.4394689866
204	0.4394083952
205	0.4393149563
206	0.4391871975
207	0.438941502
208	0.4388440907
209	0.4387125399
210	0.4386288673
211	0.4384778985
212	0.4383486767
213	0.4382796337
214	0.4381576137
215	0.4380854766
216	0.4378931062
217	0.4378278794
218	0.4377586617
219	0.4376646729
220	0.4374050006
221	0.4373452424
