iter	Passed	Remaining
0	156	125435
1	189	75575
2	220	58499
3	240	47873
4	271	43201
5	302	40032
6	333	37816
7	366	36238
8	398	35023
9	430	33974
10	460	33065
11	491	32251
12	524	31740
13	555	31213
14	586	30713
15	618	30322
16	652	30041
17	684	29742
18	715	29430
19	747	29149
20	778	28869
21	811	28687
22	842	28460
23	875	28296
24	905	28070
25	936	27887
26	967	27710
27	1000	27588
28	1030	27405
29	1061	27251
30	1092	27107
31	1123	26972
32	1154	26838
33	1185	26701
34	1217	26611
35	1251	26549
36	1285	26507
37	1324	26557
38	1356	26474
39	1392	26450
40	1424	26374
41	1457	26306
42	1491	26253
43	1525	26207
44	1562	26208
45	1596	26172
46	1631	26133
47	1665	26090
48	1698	26037
49	1732	25983
50	1764	25914
51	1795	25832
52	1827	25760
53	1858	25674
54	1889	25591
55	1931	25666
56	1947	25385
57	1979	25329
58	2018	25346
59	2054	25332
60	2091	25342
61	2129	25345
62	2164	25326
63	2200	25309
64	2275	25735
65	2329	25905
66	2367	25896
67	2401	25852
68	2434	25790
69	2472	25781
70	2506	25733
71	2539	25680
72	2574	25636
73	2610	25607
74	2645	25577
75	2681	25542
76	2723	25574
77	2754	25492
78	2787	25437
79	2818	25370
80	2849	25296
81	2882	25239
82	2917	25204
83	2951	25159
84	2987	25127
85	3023	25104
86	3057	25056
87	3088	24990
88	3119	24917
89	3150	24851
90	3182	24798
91	3214	24740
92	3247	24687
93	3280	24635
94	3315	24603
95	3347	24550
96	3378	24487
97	3410	24428
98	3445	24393
99	3477	24339
100	3507	24276
101	3538	24215
102	3570	24161
103	3601	24104
104	3632	24045
105	3667	24014
106	3699	23957
107	3730	23903
108	3761	23846
109	3792	23791
110	3808	23641
111	3839	23585
112	3870	23531
113	3903	23489
114	3936	23447
115	3968	23399
116	3999	23348
117	4031	23298
118	4063	23253
119	4096	23210
120	4128	23169
121	4160	23119
122	4191	23069
123	4224	23028
124	4256	22983
125	4290	22948
126	4325	22919
127	4357	22877
128	4388	22825
129	4420	22783
130	4451	22733
131	4482	22684
132	4513	22635
133	4544	22586
134	4575	22537
135	4606	22489
136	4636	22438
137	4666	22387
138	4682	22264
139	4713	22222
140	4746	22184
141	4782	22159
142	4815	22125
143	4856	22124
144	4891	22095
145	4925	22064
146	4936	21926
147	4967	21883
148	5001	21854
149	5034	21818
150	5068	21782
151	5098	21736
152	5143	21751
153	5176	21716
154	5212	21691
155	5245	21653
156	5280	21627
157	5312	21587
158	5345	21549
159	5378	21512
160	5410	21474
161	5443	21436
162	5475	21397
163	5507	21357
164	5518	21236
165	5550	21198
166	5561	21082
167	5593	21044
168	5625	21004
169	5636	20890
170	5670	20857
171	5702	20819
172	5735	20785
173	5768	20752
174	5800	20717
175	5832	20679
176	5865	20645
177	5897	20607
178	5928	20569
179	5960	20529
180	5991	20491
181	6023	20453
182	6057	20424
183	6091	20391
184	6128	20371
185	6139	20265
186	6172	20233
187	6206	20205
188	6241	20178
189	6277	20153
190	6308	20115
191	6340	20077
192	6372	20042
193	6404	20005
194	6436	19970
195	6470	19938
196	6503	19906
197	6536	19874
198	6571	19845
199	6605	19815
200	6637	19780
201	6670	19747
202	6703	19715
203	6737	19685
204	6771	19654
205	6806	19625
206	6839	19592
207	6875	19568
208	6907	19531
209	6940	19499
210	6974	19469
211	7009	19441
212	7043	19411
213	7077	19380
214	7109	19343
215	7140	19305
216	7176	19281
217	7211	19253
218	7251	19237
219	7289	19218
220	7324	19188
221	7358	19158
222	7395	19136
223	7430	19108
224	7464	19076
225	7500	19048
226	7533	19017
227	7566	18981
228	7599	18948
229	7629	18909
230	7660	18870
231	7691	18831
232	7737	18829
233	7769	18792
234	7802	18760
235	7835	18724
236	7868	18692
237	7902	18659
238	7935	18627
239	7969	18594
240	8003	18564
241	8036	18530
242	8071	18502
243	8105	18470
244	8139	18438
245	8175	18412
246	8209	18380
247	8242	18347
248	8277	18316
249	8315	18294
250	8349	18261
251	8382	18228
252	8416	18196
253	8448	18160
254	8482	18128
255	8518	18101
256	8549	18063
257	8583	18031
258	8614	17993
259	8644	17954
260	8676	17918
261	8708	17881
262	8741	17848
263	8772	17811
264	8805	17776
265	8839	17745
266	8872	17712
267	8906	17679
268	8938	17643
269	8971	17610
270	9005	17578
271	9039	17547
272	9074	17517
273	9107	17483
274	9140	17450
275	9173	17416
276	9205	17380
277	9238	17346
278	9270	17311
279	9304	17279
280	9339	17249
281	9380	17230
282	9417	17204
283	9453	17175
284	9488	17145
285	9523	17115
286	9573	17112
287	9623	17108
288	9668	17096
289	9704	17067
290	9738	17033
291	9771	16999
292	9807	16970
293	9841	16937
294	9874	16904
295	9907	16869
296	9941	16836
297	9979	16811
298	10016	16783
299	10051	16751
300	10088	16724
301	10123	16693
302	10157	16660
303	10190	16627
304	10224	16594
305	10259	16562
306	10294	16531
307	10326	16495
308	10357	16458
309	10388	16420
310	10419	16382
311	10450	16345
312	10481	16308
313	10513	16271
314	10543	16234
315	10574	16196
316	10604	16156
317	10635	16120
318	10668	16086
319	10701	16052
320	10735	16019
321	10767	15984
322	10799	15948
323	10833	15915
324	10866	15881
325	10898	15846
326	10932	15813
327	10965	15779
328	10998	15745
329	11033	15714
330	11066	15680
331	11098	15645
332	11133	15613
333	11167	15580
334	11198	15544
335	11229	15508
336	11261	15471
337	11298	15443
338	11331	15409
339	11364	15375
340	11397	15341
341	11431	15308
342	11464	15275
343	11498	15241
344	11530	15207
345	11565	15175
346	11599	15142
347	11629	15105
348	11660	15068
349	11692	15032
350	11723	14996
351	11755	14962
352	11787	14926
353	11817	14889
354	11848	14852
355	11880	14816
356	11911	14780
357	11943	14745
358	11976	14712
359	12009	14678
360	12043	14645
361	12075	14610
362	12106	14574
363	12137	14537
364	12167	14501
365	12198	14464
366	12230	14430
367	12261	14394
368	12296	14362
369	12328	14327
370	12361	14293
371	12393	14259
372	12425	14223
373	12457	14189
374	12489	14155
375	12520	14119
376	12551	14082
377	12584	14049
378	12614	14012
379	12659	13992
380	12693	13959
381	12726	13926
382	12762	13895
383	12794	13860
384	12826	13826
385	12857	13790
386	12889	13755
387	12920	13719
388	12954	13687
389	12988	13654
390	13022	13622
391	13055	13587
392	13099	13566
393	13130	13530
394	13161	13494
395	13191	13457
396	13221	13421
397	13255	13388
398	13289	13356
399	13328	13328
400	13363	13297
401	13400	13267
402	13433	13233
403	13471	13204
404	13546	13212
405	13604	13202
406	13648	13178
407	13683	13146
408	13724	13120
409	13761	13090
410	13795	13057
411	13828	13023
412	13864	12991
413	13895	12955
414	13925	12919
415	13959	12886
