title,Brand_Cleaned,Model_Cleaned,Storage_GB,RAM_GB,Connectivity_Cleaned,Screen_Size,Condition_Cleaned,Location_Cleaned,Price_Cleaned
Samsung S2 Tab,Samsung,Standard Tablet,64.0,4.0,WiFi / Standard,10.0 Inch,Used,Other,4600.0
Honor Pad X9A 16GB 256GB,Honor,Pad X9,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Gampaha,102000.0
Redmi Pad Pro 5G 8GB 256GB,Redmi,Standard Tablet,256.0,8.0,5G + WiFi,10.0 Inch,Brand New,Colombo,124000.0
Honor Pad X8A 4GB 128GB,Honor,Pad X8,128.0,6.0,4G LTE / SIM,10.0 Inch,Brand New,Gampaha,67500.0
Apple Ipad pro M5(11’)-Black,Apple,Ipad Pro,64.0,4.0,WiFi / Standard,10.0 Inch,Used,Other,280000.0
Blackview Tab 60 pro (Brand New),Blackview,Tab 60,64.0,4.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,62500.0
Apple iPad Mini 6 | 64GB,Apple,Ipad Mini,64.0,4.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,118000.0
Apple iPad Mini 6 64GB,Apple,Ipad Mini,64.0,4.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,118000.0
Apple iPad Mini 6 64GB,Apple,Ipad Mini,64.0,4.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,118000.0
Huawei Tab T3,Huawei,Standard Tablet,64.0,4.0,WiFi / Standard,10.0 Inch,Used,Gampaha,11000.0
Samsung Galaxy A11 8GB 128GB,Samsung,Standard Tablet,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,59990.0
Samsung Galaxy A11 8GB 128GB,Samsung,Standard Tablet,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,59860.0
Samsung Galaxy A11 8GB 128GB,Samsung,Standard Tablet,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,59480.0
Samsung Galaxy A11 4GB 64GB,Samsung,Standard Tablet,64.0,4.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,44180.0
Samsung Galaxy A11 4GB 64GB,Samsung,Standard Tablet,64.0,4.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,45106.0
Samsung Galaxy A11 4GB 64GB,Samsung,Standard Tablet,64.0,4.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,45807.0
Samsung Galaxy A11 4GB 64GB,Samsung,Standard Tablet,64.0,4.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,45180.0
Samsung Galaxy S10 FE 5G 8GB 128GB,Samsung,Standard Tablet,128.0,6.0,5G + WiFi,10.0 Inch,Brand New,Colombo,159523.0
Samsung Galaxy A9 Tablet,Samsung,Standard Tablet,64.0,4.0,WiFi / Standard,10.0 Inch,Used,Ratnapura,29500.0
Samsung Galaxy S10 FE 12GB 256GB,Samsung,Standard Tablet,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,150000.0
Samsung Galaxy Tab A11,Samsung,Galaxy Tab A11,64.0,4.0,WiFi / Standard,10.0 Inch,Used,Gampaha,55000.0
"Huawei MatePad Tab 11.5""",Huawei,Matepad,64.0,4.0,WiFi / Standard,11.5 Inch,Used,Colombo,75000.0
Tablet Tab-X 8GB 64GB,Other,Standard Tablet,64.0,4.0,4G LTE / SIM,10.0 Inch,Brand New,Anuradhapura,33000.0
Samsung Galaxy S10 FE 5G 8GB 128GB,Samsung,Standard Tablet,128.0,6.0,5G + WiFi,10.0 Inch,Brand New,Colombo,159023.0
Greentel Tab A10 Pro 4GB|128GB|003,Other,Standard Tablet,128.0,6.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,50990.0
Greentel Tab A9 Pro 4GB|64GB|003,Other,Standard Tablet,64.0,4.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,37990.0
Samsung Galaxy Tab S10 FE Plus WIFI 8GB|128GB T|003,Samsung,Galaxy Tab S10,128.0,6.0,WiFi Only,10.0 Inch,Brand New,Colombo,172490.0
Samsung Galaxy Tab S10 FE Plus 5G 8GB|256GB|003,Samsung,Galaxy Tab S10,256.0,8.0,5G + WiFi,10.0 Inch,Brand New,Colombo,232490.0
Samsung Galaxy Tab S10 FE Plus 5G 8GB|128GB|003,Samsung,Galaxy Tab S10,128.0,6.0,5G + WiFi,10.0 Inch,Brand New,Colombo,190490.0
Samsung Galaxy Tab S10 FE 5G 12GB|256GB1|003,Samsung,Galaxy Tab S10,256.0,8.0,5G + WiFi,10.0 Inch,Brand New,Colombo,204490.0
Samsung Galaxy Tab S10 FE WIFI 12GB|256GB|003,Samsung,Galaxy Tab S10,256.0,8.0,WiFi Only,10.0 Inch,Brand New,Colombo,157490.0
Samsung Galaxy Tab S10 FE 5G 8GB|128GB|003,Samsung,Galaxy Tab S10,128.0,6.0,5G + WiFi,10.0 Inch,Brand New,Colombo,157990.0
Samsung Galaxy Tab S10 FE WIFI 8GB|128GB|003,Samsung,Galaxy Tab S10,128.0,6.0,WiFi Only,10.0 Inch,Brand New,Colombo,124990.0
Samsung Galaxy Tab S10 Lite 5G 8GB|256GB|003,Samsung,Galaxy Tab S10,256.0,8.0,5G + WiFi,10.0 Inch,Brand New,Colombo,146490.0
Samsung Galaxy Tab S10 Lite 5G 6GB|128GB|003,Samsung,Galaxy Tab S10,128.0,6.0,5G + WiFi,10.0 Inch,Brand New,Colombo,123490.0
Honor Pad X8a 128GB,Honor,Pad X8,128.0,6.0,WiFi / Standard,10.0 Inch,Used,Batticaloa,52000.0
Samsung Galaxy Tab S10 Lite WIFI 8GB|256GB|003,Samsung,Galaxy Tab S10,256.0,8.0,WiFi Only,10.0 Inch,Brand New,Colombo,132490.0
Greentel A9 Pro Tab (Used),Other,Standard Tablet,64.0,4.0,WiFi / Standard,10.0 Inch,Used,Gampaha,32000.0
Samsung Galaxy Tab S10 Lite WIFI 6GB|128GB|003,Samsung,Galaxy Tab S10,128.0,6.0,WiFi Only,10.0 Inch,Brand New,Colombo,100490.0
Galaxy Tab A9+ 128/8GB,Samsung,Galaxy Tab A9,128.0,6.0,WiFi / Standard,10.0 Inch,Used,Anuradhapura,50000.0
Samsung Galaxy Tab A11 Plus 5G 6GB/128GB|003,Samsung,Galaxy Tab A11,128.0,6.0,5G + WiFi,10.0 Inch,Brand New,Colombo,82490.0
Samsung Galaxy Tab A11 8GB|128GB|003,Samsung,Galaxy Tab A11,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,66490.0
Samsung Galaxy S10 FE 12GB 256GB,Samsung,Standard Tablet,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,155708.0
Samsung Galaxy Tab A11 4GB|64GB|003,Samsung,Galaxy Tab A11,64.0,4.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,49990.0
Samsung Galaxy S10 FE 12GB 256GB,Samsung,Standard Tablet,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,152890.0
Samsung Galaxy S10 FE 12GB 256GB,Samsung,Standard Tablet,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,154090.0
Lenovo M10 HD,Lenovo,Standard Tablet,64.0,4.0,WiFi / Standard,10.0 Inch,Used,Colombo,12000.0
Samsung Tab S10 FE PLUS 12/256GB,Samsung,Standard Tablet,256.0,12.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,183695.0
Samsung Tab S10 FE 12/256GB,Samsung,Standard Tablet,256.0,12.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,148963.0
Samsung Galaxy Tab S10 FE 8/128GB,Samsung,Galaxy Tab S10,128.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,124589.0
Samsung Galaxy S10 LITE 5G 6/128GB,Samsung,Standard Tablet,128.0,6.0,5G + WiFi,10.0 Inch,Brand New,Colombo,122222.0
Samsung Tab S10 LITE 6/128GB,Samsung,Standard Tablet,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,103685.0
Samnsung Galaxy Tab A11 PLUS 8/256GB,Samsung,Galaxy Tab A11,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,103896.0
Samsung Galaxy Tab A11 4/64GB,Samsung,Galaxy Tab A11,64.0,4.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,47856.0
Samsung A3 Tab,Samsung,Standard Tablet,64.0,4.0,WiFi / Standard,10.0 Inch,Used,Kandy,9500.0
Samsung Galaxy S10 FE 8GB 128GB,Samsung,Standard Tablet,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,124080.0
Samsung Galaxy S10 Fe 8GB 128GB,Samsung,Standard Tablet,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,124850.0
Samsung Galaxy S10 Fe 12GB 256GB New,Samsung,Standard Tablet,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,154780.0
Samsung Galaxy S10 Fe 5G 8GB,Samsung,Standard Tablet,64.0,4.0,5G + WiFi,10.0 Inch,Brand New,Colombo,159480.0
Samsung Galaxy S10 FE 8GB 128GB,Samsung,Standard Tablet,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,124780.0
Samsung Galaxy S10 FE 8GB 128GB,Samsung,Standard Tablet,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,124350.0
Samsung Galaxy S10 FE 8GB 128GB,Samsung,Standard Tablet,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,124180.0
Apple iPad 6th Generation 32GB,Apple,Ipad 6,32.0,3.0,WiFi / Standard,10.0 Inch,Used,Gampaha,27990.0
Samsung Quantum Tab A (Used),Samsung,Standard Tablet,64.0,4.0,WiFi / Standard,10.0 Inch,Used,Colombo,16000.0
iPad Air 2,Apple,Ipad Air,64.0,4.0,WiFi / Standard,10.0 Inch,Used,Galle,40000.0
Samsung Galaxy S10 Lite 5G 6GB 128GB,Samsung,Standard Tablet,128.0,6.0,5G + WiFi,10.0 Inch,Brand New,Colombo,121500.0
Samsung Galaxy S10 Lite 5G 6GB 128GB,Samsung,Standard Tablet,128.0,6.0,5G + WiFi,10.0 Inch,Brand New,Colombo,121088.0
Samsung Galaxy S10 Lite 5G 8GB 256GB,Samsung,Standard Tablet,256.0,8.0,5G + WiFi,10.0 Inch,Brand New,Colombo,141678.0
Samsung Galaxy S10 LITE 5G 8GB 256GB,Samsung,Standard Tablet,256.0,8.0,5G + WiFi,10.0 Inch,Brand New,Colombo,141750.0
Samsung Galaxy S10 LITE 8GB 256GB,Samsung,Standard Tablet,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,141350.0
Samsung Galaxy S10 LITE 5G 8GB 256GB,Samsung,Standard Tablet,256.0,8.0,5G + WiFi,10.0 Inch,Brand New,Colombo,141350.0
Samsung Galaxy S10 Lite 5G 6GB 128GB,Samsung,Standard Tablet,128.0,6.0,5G + WiFi,10.0 Inch,Brand New,Colombo,121350.0
iPad Pro M5 (11-inch) 256GB (100% BH 63 cycles),Apple,Ipad Pro,256.0,8.0,WiFi / Standard,11 Inch,Used,Colombo,305000.0
Samsung Galaxy S11 12/256 5G With Keyboard,Samsung,Standard Tablet,256.0,12.0,5G + WiFi,10.0 Inch,Brand New,Colombo,359990.0
Samsung Galaxy S11 12/128GB,Samsung,Standard Tablet,128.0,12.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,224990.0
Samsung Galaxy S11 256GB,Samsung,Standard Tablet,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,268990.0
Samsung Galaxy S11 Ultra 12/256GB with keyboard,Samsung,Standard Tablet,256.0,12.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,384990.0
Samsung Galaxy S11 Ultra 12/256GB,Samsung,Standard Tablet,256.0,12.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,344990.0
Samsung Galaxy S10 Lite 8/256GB,Samsung,Standard Tablet,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,129990.0
iPad 32gb WiFi,Apple,Ipad,32.0,3.0,WiFi Only,10.0 Inch,Used,Anuradhapura,10500.0
Samsung Galaxy S10 lite 6/128GB,Samsung,Standard Tablet,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,104990.0
Samsung Galaxy S6 lite 4/128GB,Samsung,Standard Tablet,128.0,4.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,94990.0
Samsung Galaxy S10 plus 12/256GB with keyboard,Samsung,Standard Tablet,256.0,12.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,274990.0
Samsung Galaxy S10 plus 12/256GB,Samsung,Standard Tablet,256.0,12.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,249990.0
Samsung Galaxy S10 Ultra 12/256GB,Samsung,Standard Tablet,256.0,12.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,289990.0
Samsung Galaxy S10 fe plus 12/256GB,Samsung,Standard Tablet,256.0,12.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,189990.0
Samsung Galaxy S10 fe plus 8/128GB,Samsung,Standard Tablet,128.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,161990.0
Samsung Galaxy S10 fe 12/256GB,Samsung,Standard Tablet,256.0,12.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,154990.0
Samsung Galaxy S10 Fe 8/128GB,Samsung,Standard Tablet,128.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,121990.0
Samsung Galaxy A11 8/128GB,Samsung,Standard Tablet,128.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,65990.0
Samsung Galaxy Tab S10 LITE 6/128GB SIM,Samsung,Galaxy Tab S10,128.0,6.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,124990.0
Samsung Galaxy Tab S10 LITE 6/128GB,Samsung,Galaxy Tab S10,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,99999.0
Samsung Galaxy Tab S10 FE 5G 12/256GB,Samsung,Galaxy Tab S10,256.0,12.0,5G + WiFi,10.0 Inch,Brand New,Colombo,196990.0
Samsung Galaxy Tab A11 8/128GB,Samsung,Galaxy Tab A11,128.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,69990.0
Samsung Galaxy A11 4/64GB,Samsung,Standard Tablet,64.0,4.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,47990.0
Air Tab s26,Other,Standard Tablet,64.0,4.0,WiFi / Standard,10.0 Inch,Brand New,Other,39500.0
iPad Mini 6 WiFi+cellular,Apple,Ipad Mini,64.0,4.0,4G LTE / SIM,10.0 Inch,Used,Colombo,100000.0
Samsung Galaxy S10 Lite 8GB 256GB,Samsung,Standard Tablet,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,124380.0
Samsung Galaxy S10 Lite 8GB 256GB,Samsung,Standard Tablet,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,124530.0
Samsung Galaxy S10 Lite 6GB 128GB,Samsung,Standard Tablet,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,101350.0
Samsung Galaxy S10 Lite 6GB 128GB,Samsung,Standard Tablet,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,101480.0
