id,title,brand,storage,ram,connectivity,size,generation,price_raw,price,condition,location,slug,link,shop_name,is_member,timestamp
6a9584b7fff95df4210c46d3,Samsung S2 Tab,Samsung,Unknown,Unknown,WiFi / Standard,Unknown,Unknown,"Rs 4,600",4600,Used,Nuwara Eliya,samsung-tab-used-for-sale-nuwara-eliya,https://ikman.lk/en/ad/samsung-tab-used-for-sale-nuwara-eliya,,False,2 hours
68c2d92152410da94d47c803,Honor Pad X9A 16GB 256GB,Honor,256GB,Unknown,WiFi / Standard,Unknown,Unknown,"Rs 102,000",102000,Brand New,Gampaha,honor-pad-x9a-16gb-256gb-for-sale-gampaha-3,https://ikman.lk/en/ad/honor-pad-x9a-16gb-256gb-for-sale-gampaha-3,SS Mobile,True,3 hours
6889c798c737d57a64f550fc,Redmi Pad Pro 5G 8GB 256GB,Redmi,256GB,8GB,5G + WiFi,Unknown,Unknown,"Rs 124,000",124000,Brand New,Colombo,redmi-pad-pro-5g-8gb-256gb-for-sale-colombo-1,https://ikman.lk/en/ad/redmi-pad-pro-5g-8gb-256gb-for-sale-colombo-1,SS Mobile,True,3 hours
6858e238fdab2b0029eb8f25,Honor Pad X8A 4GB 128GB,Honor,128GB,4GB,4G LTE / SIM,Unknown,Unknown,"Rs 67,500",67500,Brand New,Gampaha,honor-pad-x8a-4gb-128gb-for-sale-gampaha-6,https://ikman.lk/en/ad/honor-pad-x8a-4gb-128gb-for-sale-gampaha-6,SS Mobile,True,3 hours
6a957dc7ce7ab05878ec78ec,Apple Ipad pro M5(11’)-Black,Apple,Unknown,Unknown,WiFi / Standard,Unknown,Unknown,"Rs 280,000",280000,Used,Ampara,i-pad-for-sale-ampara-1,https://ikman.lk/en/ad/i-pad-for-sale-ampara-1,,False,3 hours
6a91234a17cee711ae7b707c,Blackview Tab 60 pro (Brand New),Blackview,Unknown,Unknown,WiFi / Standard,Unknown,Unknown,"Rs 62,500",62500,Brand New,Colombo,black-view-tab-60-pro-brand-new-for-sale-colombo-8,https://ikman.lk/en/ad/black-view-tab-60-pro-brand-new-for-sale-colombo-8,Phone Line,False,bump_up
6a95743ebea1e59cd54004b6,Apple iPad Mini 6 | 64GB,Apple,64GB,Unknown,4G LTE / SIM,Unknown,Unknown,"Rs 118,000",118000,Brand New,Colombo,ipad-mini-6-64gb-for-sale-colombo-6,https://ikman.lk/en/ad/ipad-mini-6-64gb-for-sale-colombo-6,INNOCELL,False,5 hours
6a95741237d61c751e8bc90d,Apple iPad Mini 6 64GB,Apple,64GB,Unknown,4G LTE / SIM,Unknown,Unknown,"Rs 118,000",118000,Brand New,Colombo,ipad-mini-6-64gb-for-sale-colombo-5,https://ikman.lk/en/ad/ipad-mini-6-64gb-for-sale-colombo-5,INNOCELL,False,5 hours
6a9573e6953df8814ae53c91,Apple iPad Mini 6 64GB,Apple,64GB,Unknown,4G LTE / SIM,Unknown,Unknown,"Rs 118,000",118000,Brand New,Colombo,ipad-mini-6-64gb-for-sale-colombo-4,https://ikman.lk/en/ad/ipad-mini-6-64gb-for-sale-colombo-4,INNOCELL,False,5 hours
6a95676b044ac361fbb553bb,Huawei Tab T3,Huawei,Unknown,Unknown,WiFi / Standard,Unknown,Unknown,"Rs 11,000",11000,Used,Gampaha,huawei-tab-t3-for-sale-gampaha,https://ikman.lk/en/ad/huawei-tab-t3-for-sale-gampaha,,False,5 hours
