id,title,brand,processor,ram,storage,price_raw,price,condition,location,slug,link,shop_name,is_member,timestamp
6a911c0f7900d77b4ecacc02,FULL TOUCH CORE i7 11 GENERATION LAPTOP,Other,CORE I7,Unknown,Unknown,"Rs 139,999",139999,Used,Kandy,full-touch-core-i7-11-generation-laptop-for-sale-kandy,https://ikman.lk/en/ad/full-touch-core-i7-11-generation-laptop-for-sale-kandy,Computer IT Server,True,bump_up
6a95935689891059422c6d50,Dell latitude 5420 laptop | i5 11th Gen 16GB RAM 256GB SSD,Dell,I5,16GB,256 SSD,"Rs 138,500",138500,Used,Kalutara,dell-latitude-5420-laptop-for-sale-i5-11th-gen-16gb-ram-256gb-ssd-for-sale-kalutara,https://ikman.lk/en/ad/dell-latitude-5420-laptop-for-sale-i5-11th-gen-16gb-ram-256gb-ssd-for-sale-kalutara,,False,12 minutes
6a958e6bfe488e95556e2cab,Acer Aspire 5 11th Gen i5 Laptop,Acer,I5,Unknown,Unknown,"Rs 65,000",65000,Used,Matara,acer-aspire-5-11th-gen-i5-for-sale-matara,https://ikman.lk/en/ad/acer-aspire-5-11th-gen-i5-for-sale-matara,,False,41 minutes
6a958a99a75a3e9e290d6f9b,Dell I7 8th Gen Laptop,Dell,I7,Unknown,Unknown,"Rs 86,500",86500,Used,Batticaloa,urgent-sale-for-sale-batticaloa-237,https://ikman.lk/en/ad/urgent-sale-for-sale-batticaloa-237,,False,1 hour
6a8ee3ab85ba2cad57171fb9,Apple MacBook M4,Apple,Unknown,Unknown,Unknown,"Rs 320,000",320000,Used,Colombo,brand-new-mac-book-m4-for-highest-offer-for-sale-colombo,https://ikman.lk/en/ad/brand-new-mac-book-m4-for-highest-offer-for-sale-colombo,,False,bump_up
6a9589a78a0ee888316e2c8f,Dell Latitude E7470 Laptop,Dell,Unknown,Unknown,Unknown,"Rs 75,000",75000,Used,Jaffna,dell-latitude-e7470-for-sale-jaffna,https://ikman.lk/en/ad/dell-latitude-e7470-for-sale-jaffna,,False,1 hour
6a9589591501b11fa903395f,Hp Notebook,Hp,Unknown,Unknown,Unknown,"Rs 25,000",25000,Used,Colombo,hp-notebook-for-sale-colombo-278,https://ikman.lk/en/ad/hp-notebook-for-sale-colombo-278,,False,1 hour
6a95874af2c5505983d5736e,HP Laptop (Used),Hp,Unknown,Unknown,Unknown,"Rs 60,000",60000,Used,Colombo,hp-laptop-used-for-sale-colombo-7,https://ikman.lk/en/ad/hp-laptop-used-for-sale-colombo-7,,False,1 hour
6a958791592a5a6bc6139bed,Dell Inspiron I7 11th gen,Dell,I7,Unknown,Unknown,"Rs 86,000",86000,Used,Kandy,dell-inspiron-for-sale-kandy-9,https://ikman.lk/en/ad/dell-inspiron-for-sale-kandy-9,,False,1 hour
6a9586793b02418272139be3,Dell Core I5 8th Gen Laptop,Dell,CORE I5,Unknown,Unknown,"Rs 49,000",49000,Used,Kegalle,dell-core-i5-8th-gen-laptop-for-sale-for-sale-kegalle,https://ikman.lk/en/ad/dell-core-i5-8th-gen-laptop-for-sale-for-sale-kegalle,,False,1 hour
6a95865e4585f0f38538f926,Gaming Laptop Galleria XL7C-R36,Other,Unknown,Unknown,Unknown,"Rs 170,000",170000,Used,Kandy,gaming-laptop-galleria-xl7c-r36-for-sale-kandy,https://ikman.lk/en/ad/gaming-laptop-galleria-xl7c-r36-for-sale-kandy,,False,1 hour
6a95919edf5d2facf8e2aa49,LENOVO I5 10 GEN Ideapad 16GB RAM 1TB HDD 256GB SSD NVIDIA GEFORCE,Lenovo,I5,16GB,1 HDD,"Rs 116,490",116490,Used,Colombo,lenovo-i5-10-gen-ideapad-16gb-ram-1tb-hdd-256gb-ssd-nvidia-geforce-for-sale-colombo-1,https://ikman.lk/en/ad/lenovo-i5-10-gen-ideapad-16gb-ram-1tb-hdd-256gb-ssd-nvidia-geforce-for-sale-colombo-1,HP TECHNOLOGIES,True,2 hours
6a958357475fdbcd2683d2c7,Hp Victus 15 Laptop,Hp,Unknown,Unknown,Unknown,"Rs 250,000",250000,Used,Badulla,hp-victus-gameing-laptop-for-sale-badulla,https://ikman.lk/en/ad/hp-victus-gameing-laptop-for-sale-badulla,,False,2 hours
6a958f935d9f3550ab59d478,"Gaming Laptop i7 7th Gen|GTX 1050 TI 4GB|16GB RAM|512GB NVME|15.6""",Other,I7,16GB,512 NVME,"Rs 129,950",129950,Used,Colombo,gaming-laptop-i7-7th-gengtx-1050-ti-4gb16gb-ram512gb-nvme156-for-sale-colombo-2,https://ikman.lk/en/ad/gaming-laptop-i7-7th-gengtx-1050-ti-4gb16gb-ram512gb-nvme156-for-sale-colombo-2,ShaTech Zone,True,2 hours
6a958b64d6c74d0a3da0cf87,HP I3 11 GEN 4GB RAM 1TB HDD 256GB SSD LAPTOP,Hp,I3,4GB,1 HDD,"Rs 66,490",66490,Used,Colombo,hp-i3-11-gen-4gb-ram-1tb-hdd-256gb-ssd-laptop-for-sale-colombo,https://ikman.lk/en/ad/hp-i3-11-gen-4gb-ram-1tb-hdd-256gb-ssd-laptop-for-sale-colombo,HP TECHNOLOGIES,True,3 hours
6a85604bbb15b26b91fb3029,Apple MacBook Air M1 Chip 8GB RAM 256GB SSD,Apple,M1,8GB,256 SSD,"Rs 175,000",175000,Used,Colombo,apple-macbook-air-m1-chip-8gb-ram-256gb-ssd-for-sale-colombo-151,https://ikman.lk/en/ad/apple-macbook-air-m1-chip-8gb-ram-256gb-ssd-for-sale-colombo-151,I MAC LK (PVT) LTD,True,bump_up
6a82af6864d006406a9cd1d8,Dell Latitude 5420 i5 11th Gen 256GB NVME 8GB RAM 14 Inch Laptop,Dell,I5,8GB,256 NVME,"Rs 94,999",94999,Used,Colombo,dell-latitude-5420-i5-11th-gen-256gb-nvme-8gb-ram-14-inch-laptop-for-sale-colombo-98,https://ikman.lk/en/ad/dell-latitude-5420-i5-11th-gen-256gb-nvme-8gb-ram-14-inch-laptop-for-sale-colombo-98,I MAC LK (PVT) LTD,True,bump_up
6a957c2a1c5c8d673c0b4e86,Lenovo V15 G2 ITL Laptop,Lenovo,Unknown,Unknown,Unknown,"Rs 89,500",89500,Used,Colombo,lenovo-v15-g2-itl-for-sale-colombo,https://ikman.lk/en/ad/lenovo-v15-g2-itl-for-sale-colombo,,False,3 hours
6a9586eaf2c5505983d57367,"Laptop i5 10th Gen HP ProBook 430 G7|8GB RAM|256GB NVME|Wi-Fi|14""",Hp,I5,8GB,256 NVME,"Rs 91,450",91450,Used,Colombo,laptop-i5-10th-gen-hp-probook-430-g78gb-ram256gb-nvmewi-fi14-for-sale-colombo,https://ikman.lk/en/ad/laptop-i5-10th-gen-hp-probook-430-g78gb-ram256gb-nvmewi-fi14-for-sale-colombo,ShaTech Zone,True,3 hours
6a958607305ce22e12cd6e1b,"Laptop i5 11th Gen 16GB RAM|256GB NVME|14"" FHD|Dell Latitude 5320",Dell,I5,16GB,256 NVME,"Rs 102,350",102350,Used,Gampaha,laptop-i5-11th-gen-16gb-ram256gb-nvme14-fhddell-latitude-5320-for-sale-gampaha,https://ikman.lk/en/ad/laptop-i5-11th-gen-16gb-ram256gb-nvme14-fhddell-latitude-5320-for-sale-gampaha,ShaTech Zone,True,3 hours
6a95856c475fdbcd2683d2d2,"i7 12th Gen Laptop 32GB RAM|512GB NVME|14"" SLIM FHD|Dell Latitude 7430",Dell,I7,32GB,512 NVME,"Rs 159,950",159950,Used,Gampaha,i7-12th-gen-laptop-32gb-ram512gb-nvme14-slim-fhddell-latitude-7430-for-sale-gampaha,https://ikman.lk/en/ad/i7-12th-gen-laptop-32gb-ram512gb-nvme14-slim-fhddell-latitude-7430-for-sale-gampaha,ShaTech Zone,True,3 hours
6a95842901414f5d34cd6e17,"i5 6th Gen Laptop|Dell Latitude 7480|8GB RAM|256GB SSD|Wi-Fi|14""Display",Dell,I5,8GB,256 SSD,"Rs 62,950",62950,Used,Colombo,i5-6th-gen-laptopdell-latitude-74808gb-ram256gb-ssdwi-fi14display-for-sale-colombo,https://ikman.lk/en/ad/i5-6th-gen-laptopdell-latitude-74808gb-ram256gb-ssdwi-fi14display-for-sale-colombo,ShaTech Zone,True,3 hours
6a957554044ac361fbb55425,Hp Elite Book,Hp,Unknown,Unknown,Unknown,"Rs 14,500",14500,Used,Kandy,hp-laptop-for-sale-kandy-1045,https://ikman.lk/en/ad/hp-laptop-for-sale-kandy-1045,,False,3 hours
69e852223257e1244cd516f0,i5 11th GEN Lenovo ThinkPad E14 8GB RAM 256GB NVMe Laptop,Lenovo,I5,8GB,256 NVME,"Rs 107,500",107500,Used,Colombo,i5-11th-gen-lenovo-thinkpad-e14-8gb-ram-256gb-nvme-laptop-for-sale-colombo-12,https://ikman.lk/en/ad/i5-11th-gen-lenovo-thinkpad-e14-8gb-ram-256gb-nvme-laptop-for-sale-colombo-12,COMPUTER HUB,True,3 hours
69d738583dc4ab36463dced4,HP ProBook 450 G7 i5 10th GEN 8GB RAM 256GB NVME Laptop,Hp,I5,8GB,256 NVME,"Rs 109,500",109500,Used,Colombo,hp-probook-450-g7-i5-10th-gen-8gb-ram-256gb-nvme-laptop-for-sale-colombo-30,https://ikman.lk/en/ad/hp-probook-450-g7-i5-10th-gen-8gb-ram-256gb-nvme-laptop-for-sale-colombo-30,COMPUTER HUB,True,3 hours
