Title,Price,Location_Category,Link
HP AMD Ryzen 5 Laptop,"Rs 249,990","Badulla, Computers & Tablets",https://ikman.lk/en/ad/hp-amd-ryzen-5-laptop-ekk-daen-visheess-addum-miltt-for-sale-badulla
HP Ryzen 3 13th Gen Laptop,"Rs 85,999","Galle, Computers & Tablets",https://ikman.lk/en/ad/hp-ryzen-3-13th-gen-laptop-for-sale-galle-1
Asus E510K Laptop,"Rs 79,999","Gampaha, Computers & Tablets",https://ikman.lk/en/ad/asus-laptop-for-school-studies-for-sale-gampaha
Surface Pro 7 i7-16GB 512GB Laptop,"Rs 175,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/surface-pro-7-i7-16gb-512gb-for-sale-colombo
Lenovo I7 13 Gen Laptop,"Rs 180,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/lenovo-i7-13gen-laptop-for-sall-for-sale-colombo
SSD NVME M.2 Upgarde-Laptop Desktop PC Slow Error Repair Service,,"Colombo, Domestic Services",https://ikman.lk/en/ad/ssd-nvme-m2-upgarde-laptop-desktop-pc-slow-error-repair-service-for-sale-colombo
I7 Laptop,"Rs 12,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/i-7-laptop-for-sale-colombo
Dell Latitude 5490 - i5 8th Gen Laptop,"Rs 83,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/dell-latitude-5490-i5-8th-gen-laptop-for-sale-colombo-43
Dell Latitude 5420 - i7 11th Gen Laptop,"Rs 131,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/dell-latitude-5420-i7-11th-gen-laptop-for-sale-colombo-33
N/A,N/A,N/A,N/A
Lenovo ThinkPad T490 8th Gen - i5 Laptop,"Rs 90,000","Kandy, Computers & Tablets",https://ikman.lk/en/ad/lenovo-thinkpad-t490-8th-gen-i5-laptop-for-sale-kandy-40
Dell Inspiron 15 5570 | 8th Gen Core i7 16GB Laptop,"Rs 55,000","Matara, Computers & Tablets",https://ikman.lk/en/ad/dell-inspiron-15-5570-8th-gen-core-i7-16gb-laptop-for-sale-matara
Acer Core I3 Laptop,"Rs 49,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/acer-core-i3-laptop-8gen-128gb-1tb-8gb-for-sale-colombo
MSI Gaming Laptop,"Rs 385,000","Kurunegala, Computers & Tablets",https://ikman.lk/en/ad/msi-gaming-laptop-for-sale-kurunegala-1
HP Windows 11 Laptop,"Rs 160,000","Galle, Computers & Tablets",https://ikman.lk/en/ad/hp-windows-11-laptop-for-sale-galle
"Laptop Dell Latitude 7480|i5 6th Gen|8GB RAM|256GB SSD|Wi-Fi|14""Display","Rs 62,950","Gampaha, Computers & Tablets",https://ikman.lk/en/ad/laptop-dell-latitude-7480i5-6th-gen8gb-ram256gb-ssdwi-fi14display-for-sale-gampaha
Dell i7 8th Gen Laptop,"Rs 124,000","Jaffna, Computers & Tablets",https://ikman.lk/en/ad/dell-i7-8th-gen32gb-256gb-for-sale-jaffna
"RAM 8GB 16GB DDR4 2666 3200 - Laptop, Computer","Rs 15,250","Colombo, Computer Accessories",https://ikman.lk/en/ad/ram-8gb-16gb-ddr4-2666-3200-laptop-computer-for-sale-colombo
RAM 16GB 3200 DDR4 (PNY) Laptop - Brand New,"Rs 33,250","Gampaha, Computer Accessories",https://ikman.lk/en/ad/ram-16gb-3200-ddr4-pny-laptop-brand-new-for-sale-gampaha
"i5 8th Gen Laptop Dell Latitude 3490|8GB RAM|512GB NVME|WiFi|14"" Display","Rs 82,950","Gampaha, Computers & Tablets",https://ikman.lk/en/ad/i5-8th-gen-laptop-dell-latitude-34908gb-ram512gb-nvmewifi14-display-for-sale-gampaha
"i7 7th Gen Gaming Laptop - 16GB RAM|512GB NVME|GTX 1050 TI 4GB|15.6""","Rs 129,950","Colombo, Computers & Tablets",https://ikman.lk/en/ad/i7-7th-gen-gaming-laptop-16gb-ram512gb-nvmegtx-1050-ti-4gb156-for-sale-colombo-1
Acer i5 12th Gen Laptop,"Rs 117,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/acer-i5-12th-gen-laptop-for-sale-colombo-220
"Laptop i5 10th Gen|HP ProBook 430 G7|8GB RAM|256GB NVME|Wi-Fi|14""","Rs 96,950","Gampaha, Computers & Tablets",https://ikman.lk/en/ad/laptop-i5-10th-genhp-probook-430-g78gb-ram256gb-nvmewi-fi14-for-sale-gampaha
Dell Inspiron 14 5410 2-in-1 Touch Laptop (Intel Core i7 11th Gen),"Rs 92,000","Vavuniya, Computers & Tablets",https://ikman.lk/en/ad/dell-inspiron-14-5410-2-in-1-touch-laptop-intel-core-i7-11th-gen-for-sale-vavuniya
HP ProBook 640 G8 i5 - 11th Gen Laptop,"Rs 121,000","Kandy, Computers & Tablets",https://ikman.lk/en/ad/hp-probook-640-g8-i5-11th-gen-laptop-for-sale-kandy-6
HP ProBook 640 G8 - i5 11th Gen Laptop,"Rs 121,000","Kurunegala, Computers & Tablets",https://ikman.lk/en/ad/hp-probook-640-g8-i5-11th-gen-laptop-for-sale-kurunegala-3
Asus laptop bag,"Rs 1,999","Colombo, Bags & Luggage",https://ikman.lk/en/ad/asus-laptop-bag-for-sale-colombo
Lenovo i5 13th GEN Laptop,"Rs 135,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/lenovo-i5-13th-gen-laptop-for-sale-colombo-294
Acer Chromebook 360 Laptop,"Rs 30,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/acer-chromebook-360-laptop-for-sale-colombo
HP ZBook Firefly 14 G8 16GB i5 11th Gen Xe Graphics laptop,"Rs 125,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/hp-zbook-firefly-14-g8-16gb-i5-11th-gen-xe-graphics-laptop-for-sale-colombo
Asus i5 12th GEN Laptop,"Rs 131,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/asus-i5-12th-gen-laptop-for-sale-colombo-10
Msi I3 13th GEN Laptop,"Rs 91,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/msi-i3-13th-gen-laptop-for-sale-colombo-4
Lenovo i5 13th GEN Laptop,"Rs 135,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/lenovo-i5-13th-gen-laptop-for-sale-colombo-301
Asus VivoBook i7 12th GEN Laptop,"Rs 128,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/asus-vivobook-i7-12th-gen-laptop-for-sale-colombo-51
Lenovo i5 13th GEN Laptop,"Rs 135,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/lenovo-i5-13th-gen-laptop-for-sale-colombo-246
N/A,N/A,N/A,N/A
Lenovo i5 13th GEN Laptop,"Rs 135,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/lenovo-i5-13th-gen-laptop-for-sale-colombo-247
MSI i3 13th GEN Laptop,"Rs 91,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/msi-i3-13th-gen-laptop-for-sale-colombo-3
Acer Chromebook Laptop,"Rs 30,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/acer-chromebook-laptop-for-sale-colombo
Lenovo i7 11thGen Thinkpad T14s 32GB RAM 14 inch FHD IPS Laptop,"Rs 139,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/lenovo-i7-11thgen-thinkpad-t14s-32gb-ram-14-inch-fhd-ips-laptop-for-sale-colombo
Acer Aspire A515 Core i3 Laptop,"Rs 53,000","Kalutara, Computers & Tablets",https://ikman.lk/en/ad/acer-aspire-a515-core-i3-laptop-for-sale-for-sale-kalutara
Acer i3 8th GEN Laptop,"Rs 40,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/acer-i3-8th-gen-laptop-for-sale-colombo-2
Dell Celeron Laptop,"Rs 35,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/dell-celeron-laptop-for-sale-colombo-9
Gamdias Aether P1 Pro RGB Laptop Cooling Pad,"Rs 12,500","Colombo, Computer Accessories",https://ikman.lk/en/ad/gamdias-aether-p1-pro-rgb-laptop-cooling-pad-for-sale-colombo-5
HP Envy ×360 2-in-1 Laptop 14-es0xxx,"Rs 157,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/hp-envy-x360-2-in-1-laptop-14-es0xxx-for-sale-colombo
Asus i7 12th Gen Laptop,"Rs 122,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/asus-i7-12th-gen-laptop-for-sale-colombo
Dell Latitude 3440 i3 4th Gen Laptop,"Rs 33,000","Kandy, Computers & Tablets",https://ikman.lk/en/ad/dell-latitude-3440-i3-4th-gen-for-sale-kandy
HP Chromebook Laptop,"Rs 20,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/hp-chromebook-laptop-for-sale-colombo-73
Laptop / Desktop Full Service,Rs 0,"Gampaha, Computer Accessories",https://ikman.lk/en/ad/laptop-desktop-full-service-for-sale-gampaha-1
LAPTOP & DESKTOP REPAIR SERVICE,Rs 0,"Gampaha, Computer Accessories",https://ikman.lk/en/ad/laptop-and-desktop-repair-service-for-sale-gampaha-1
HP Laptop,"Rs 56,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/hp-laptop-for-sale-colombo-4133
Asus Vivobook i3 13th GEN Laptop,"Rs 85,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/asus-vivobook-i3-13th-gen-laptop-for-sale-colombo-68
Dell i3 11th GEN Laptop,"Rs 57,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/dell-i3-11th-gen-laptop-for-sale-colombo-432
8GB DDR4 RAM LAPTOP,"Rs 12,500","Colombo, Computer Accessories",https://ikman.lk/en/ad/8gb-ddr4-ram-laptop-for-sale-colombo-1
Dell Celeron Laptop,"Rs 35,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/dell-celeron-laptop-for-sale-colombo-7
HP AMD Ryzen 3 Laptop,"Rs 56,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/hp-amd-ryzen-3-laptop-for-sale-colombo-5
Dell i3 11th GEN Laptop,"Rs 56,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/dell-i3-11th-gen-laptop-for-sale-colombo-383
Acer Laptop,"Rs 118,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/acer-laptop-for-sale-colombo-1462
Asus Vivobook Laptop X1502ZA,"Rs 120,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/asus-vivobook-laptop-x1502za-for-sale-colombo-1
Laptop,"Rs 68,000","Gampaha, Computers & Tablets",https://ikman.lk/en/ad/urgent-laptop-for-sale-for-sale-gampaha
Dell i3 11th GEN Laptop,"Rs 58,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/dell-i3-11th-gen-laptop-for-sale-colombo-441
N/A,N/A,N/A,N/A
Asus Vivobook i3 13th GEN Laptop,"Rs 85,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/asus-vivobook-i3-13th-gen-laptop-for-sale-colombo-84
Asus vivobook i3 13th GEN Laptop,"Rs 86,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/asus-vivobook-i3-13th-gen-laptop-for-sale-colombo-86
Hp Chromebook Laptop,"Rs 20,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/hp-chromebook-laptop-for-sale-colombo-58
Dell i3 11th GEN Laptop,"Rs 57,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/dell-i3-11th-gen-laptop-for-sale-colombo-436
Asus Vivobook i3 13th GEN Laptop,"Rs 85,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/asus-vivobook-i3-13th-gen-laptop-for-sale-colombo-69
Dell Latitude 5420 i5 11th Gen 256GB NVME 8GB RAM 14 Inch-Laptop,"Rs 94,999","Colombo, Computers & Tablets",https://ikman.lk/en/ad/dell-latitude-5420-i5-11th-gen-256gb-nvme-8gb-ram-14-inch-laptop-for-sale-colombo-91
