Title,Price,Location_Category,Link,Brand,Model,Condition,RAM,Storage,Description
HP AMD Ryzen 5 Laptop,"Rs 249,990","Badulla, Computers & Tablets",https://ikman.lk/en/ad/hp-amd-ryzen-5-laptop-ekk-daen-visheess-addum-miltt-for-sale-badulla,,,,Unknown,Unknown,"​🔥 ඔන්න බලාපොරොත්තු වුණු අවස්ථාව උදා වුණා! අධ්‍යාපන කටයුතුවලට, ඔෆීස් වැඩවලට වගේම ගේමින්වලටත් නැතුවම බැරි HP AMD Ryzen 5 Laptop එකක් දැන් අදම අපෙන් විශේෂ මිල අඩු කිරීමක් යටතේ ලබා ගන්න!​මීට අමතරව ඔබට ලැබෙන අනගි ප්‍රතිලාභ:​🛡️ වසර 03ක සම්පූර්ණ වගකීමක් (03 Years Full Warranty)​🎒 උසස් තත්ත්වයේ Shoulder Backpack එකක් සම්පූර්ණයෙන්ම නොමිලේ!​💳 ක්‍රෙඩිට් කාඩ්පත් සඳහා පොලී රහිත පහසු ගෙවීමේ ක්‍රම (0% Interest Schemes)​🛍️ Koko Pay හරහා කිසිදු පැකිලීමකින් තොරව පහසුවෙන් ගෙවීමේ පහසුකම්​මොනවද තාමත් කල්පනා කරන්නේ? ස්ටොක් අවසන් වීමට පෙර අදම ඔබේ ලැප්ටොප් එක වෙන් කරවා ගන්න!​📞 වැඩි විස්තර සඳහා දැන්ම අමතන්න:"
HP Ryzen 3 13th Gen Laptop,"Rs 85,999","Galle, Computers & Tablets",https://ikman.lk/en/ad/hp-ryzen-3-13th-gen-laptop-for-sale-galle-1,,,,Unknown,512 NVME,HP Ryzen 3 7000 series Laptop• Ryzen 3 7325U Processor (4.2 GHz Turbo Boost - Performance similar to Core i3 13th/14th Gen)• 8GB LPDDR5 RAM• 512GB NVMe SSD• AMD Radeon Graphics – 512MB• 15.6-inch Full HD Display• Battery Health 100%. Very Low cycle count. No single error.
Asus E510K Laptop,"Rs 79,999","Gampaha, Computers & Tablets",https://ikman.lk/en/ad/asus-laptop-for-school-studies-for-sale-gampaha,,,,4GB,128 STORAGE,මේ laptop එකෙන් පාසල් යන ළමුන්ට එයාලාගෙ වැඩ සේරම කර ගන්න පුලුවන්.මුදල් හදිස්සියක් නිසා විකුණනවා.අඩු කරලා දෙන්නම්SpecificationsProcesser : Intel celeron N4500 (2 Cores)4GB RAM128GB STORAGE521MB Graphic memoryWindows 11 working 🔥Used
Surface Pro 7 i7-16GB 512GB Laptop,"Rs 175,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/surface-pro-7-i7-16gb-512gb-for-sale-colombo,,,,Unknown,512 SSD,Model: Microsoft Surface Pro 7 (Model 1866)	•	Processor: Intel® Core™ i7-1065G7 (10th Generation)	•	RAM: 16GB LPDDR4	•	Storage: 512GB SSD 	•	Graphics: Intel® Iris® Plus Graphics	•	Display: 12.3” PixelSense Touch Display	•	Resolution: 3000 x 2000 (Ultra Sharp Display)	•	Operating System: Windows 10 Home (Upgradeable to Windows 11)	•	Battery: Good Condition	•	Condition: Excellent Used Condition✅ Genuine Microsoft Device✅ Premium Aluminium Build✅ Touch Screen + Tablet Mode✅ Lightweight & Easy to CarryCall for more details
Lenovo I7 13 Gen Laptop,"Rs 180,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/lenovo-i7-13gen-laptop-for-sall-for-sale-colombo,,,,16GB,Unknown,🛑 - PROCESSOR - 13th Gen Intel (R) Core (TM) i7 - 12700H 2.30 GHz🛑 - Windows 11 pro (64 bit) English 🛑 - 16GB RAM🛑 - 477 SSD
SSD NVME M.2 Upgarde-Laptop Desktop PC Slow Error Repair Service,,"Colombo, Domestic Services",https://ikman.lk/en/ad/ssd-nvme-m2-upgarde-laptop-desktop-pc-slow-error-repair-service-for-sale-colombo,Unknown,Unknown,Unknown,Unknown,Unknown,"WHY SPENDING YOUR TIME FOR TAKE OUT YOUR COMPUTER ON ANY RISKS..CONTACT US FOR ONSITE COMPUTER REPAIR / LAPTOP FULLY SERVICE (***HOME***, ***ON YOUR WORK PLACE ***AND***OFFICE VISITING***)..I CHARGING 100% MAKE SURE FIND YOUR COMPUTER LAPTOP TROUBLE ,IF CUSTOMER NOT SATISFACTION NO NEED TO PAY ,NO DOUBT ABOUT THAT,CUSTOMER IS THE KEY FOR SUCCESS MY FREELANCE PROFESSIONඔබගේ පරිගණකය /LAPTOP එක තැන් තැන් වල උස්සන් ගිහින් රස්තියදුවෙලා මුදලුත් කාලෙත් නාස්ති කෙරගෙන සහ වගකීමක් නොමැති TECNICIANSLAGE අතපත ගෑම් වලින් LAPTOP/DESKTOP PC එකට ඇතුලතින් සිදුවන හානීය 100% නැති කරගන්න,ඔබගේ පරිගණකය පිළිබද නිවරදි වැටහීමක් තිබෙන TECHNICAL ENGENNER කෙනකු නිවසටම ගෙනවගන්න .එය ඔබගේ LAPTOP/DESKTOP COMPUTER එක ඇතුලත සිදුවන පාඩුව 100% ක් සහ උපාංග PARTS / DATA100% ක් ආරක්ෂාවටත් හේතුවේ .. AND DON'T THINK TWICE FOR PROFESSIONAL AND TRUST SERVICE TOO.GIVE YOUR WORK EXPERIENCED / PROFESSIONALS FULL TIME PERSONS FOR GET BEST OUTPUT NOT FOR 2 TIMESPROFESSIONAL SERVICE WITH 8 YEARS EXPERIENCE .(NAITA NTD GRADE 3 & 2 CERTIFICATE / WORKING EXPERIENCE WITHNEAT LANKA AND SILICON INFORMATION SYSTEM)***DEAR CUSTOMER DON'T WASTE YOUR VALUABLE TIME FOR UNWARRANTABLE ADVERTISING******ඔබගේ වටිනා පරිගණකයට,ඔබගේ වටිනා කාලයට සහ වියදම් කල මුදලට විස්වාසනීය සේවාවක් ඔබගේ නිවසට,කාර්යාලයට පැමිණ මා විසින් ඔබට ලබා දෙමි ..මගේ අරමුණ විශ්වසනීය සේවයක් ඔබට ලබා දීමය්***PLEASE CONCERN WHEN YOU ARE GOING TO INSTALL WINDOWS VERSIONS TO YOUR COMPUTER / LAPTOP PC KEEP YOUR MINE ABOUT PC CONFIGURATIONIF NOT WINDOWS GETTING STUCK SAME LIKE PREVIOUS INSTALL,,QUALIFIED TECHNICIANS ASKING FOR THAT AND EXPLAINING...VIRUS GUAR ALSO SAMETHINK YOUR COMPUTER CONFIGURATION AND USE SUITABLE VERSION,අපගේ සේවාවන්. (OUR VALUABLE SERVICES)=============================01)PC-DESKTOP COMPUTER-LAPTOP NOTEBOOK SSD UPGRADE SERVICE03). I CAN SORT OUT USUALLY PROBLEMS ALL FACE ON LAPTOPS    =========================================((( FAULT FINDING EXTREAMLY MACHINE FACTORING WORKSTATION )))• Reasonable Price with Warranty• Company & Personal Laptop/desktop• Printer/ Lcd/projector Repair• Chip Level Laptop Repairing• Physical Damage Repairing• Hinge Repairing• Dead Systems• No Display• Freezing System• System Getting Hinge Repair• Keyboard Control Section Problem• Memory Control Section Problem• Audio / Usb Port Not Working• Hard Disk Control Section Problem• Battery Not Charging• Dc Pin Problem• Soldering & Dc Soldering of Motherboard• North Bridge Replaced• Physical Damage Repairing04). Virus Protection / Firewall Protection / Spyware Removal• Virus Removal and Repair• Disaster Recovery• Firewall Configurations• Privacy and Security Analysis• Spyware Removal• Web Browser protections and repair05). ***WINDOWS INSTALLING (DvD's Sale) HOME AND OFFICE VISIT IN REASONABLE CHARGE***WITH PERFECT GENUINE LIFE TIME ACTIVATION 100% NO ERROR'S• Windows 10 64/32BIT (1150/1511/14393/10586/15063 With2017 updates)• Windows 8 All Editions• Windows 8.1 All IN ONE OR SEPARATE EDITIONS (Windows 8.1 Update 3)• Widows 7 All IN ONE OR SEPARATE EDITIONS• Windows 7 Ultimate 64 BIT• Windows XP SP 3 / 2Microsoft Office Available************• Microsoft Office 2016 / 2010 / 2003 / 2013• Microsoft Office Available Visual Studio 2010 / 2013• Adobe Master Collection CS6 / Autodesk AutoCAD / Quickbooks / Corel Draw ETC..LAPTOP BATTERY-LAPTOP KEYBOARD-LAPTOP CHARGER-LAPTOP RAM-COMPUTER PROCESSOR DESKTOP-LAPTOP SERVICE-COMPUTER SERVICE-SSD-NVME-M.2 REPLACING SERVICE-LAPTOP DISPLAY-SCREEN-COMPUTER SERVICING-LAPTOP SERVICE-LAPTOP SERVICING-LAPTOP REPAIR-COMPUTER REPAIR-COMPUTER REPAIR-LAPTOP REPAIRING-COMPUTER REPAIRINGඔබට පහසු වෙලාවක දවස පුරා කඩිනම් විශ්වසනීය සේවය ඔබටFull time Service for you Convenient (Onward Monday to Friday Including Saturday and Sunday)I READY TO BE COVER ALL AREAS,WHERE EVER YOU STAY....kohuwala,Nugegoda,Kirulapone,Piliyandala,rajagiriya,Baththaramulla,Palawaththa, Nawala,kotte,Maharagama,Pannipitiya,Papiliyana,Dehiwala,Rathmalana,Moratuwa,Kasbawa, Pannipitiya,Kottawa,Homagama,GAMPAHA DISTRICTkalaniya,mahara,kadawatha,ragama,kadana,seeduwa,katunayaka etc.."
I7 Laptop,"Rs 12,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/i-7-laptop-for-sale-colombo,,,,Unknown,Unknown,hodatama thiyanawa
Dell Latitude 5490 - i5 8th Gen Laptop,"Rs 83,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/dell-latitude-5490-i5-8th-gen-laptop-for-sale-colombo-43,,,,Unknown,256 SSD,"🖥️ Dell Latitude 5490✅ Processor: Intel Core i5 – 8th Generation✅ RAM: 8GB DDR4✅ Storage: 256GB SSD✅ Display: 14” Inch HD✅ Warranty: 3 Months Laptop Bay WarrantyWe have a vast collection of Laptops, ranging from low to high price categories.📍 Locations: Colombo - https://maps.app.goo.gl/3L1JszVsENPJGfFd9Kandy - https://maps.app.goo.gl/kteo573rgtd1zu3a7📲 Call or WhatsApp us for more information.🌐 Website:🔗 www.laptopbay.lk🔍 Google:🔗 https://g.co/kgs/v8WNFKp"
Dell Latitude 5420 - i7 11th Gen Laptop,"Rs 131,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/dell-latitude-5420-i7-11th-gen-laptop-for-sale-colombo-33,,,,Unknown,256 NVME,"🖥️ Dell Latitude 5420✅ Processor: Intel Core i7 – 11th Gen✅ RAM: 16GB DDR4✅ Storage: 256 GB NVMe SSD✅ Display: 14” Full HD✅ Warranty: 3 Months Laptop Bay WarrantyWe have a vast collection of Laptops, ranging from low to high price categories.📍 Locations: Colombo - https://maps.app.goo.gl/3L1JszVsENPJGfFd9Kandy - https://maps.app.goo.gl/kteo573rgtd1zu3a7📲 Call or WhatsApp us for more information.🌐 Website:🔗 www.laptopbay.lk🔍 Google:🔗 https://g.co/kgs/v8WNFKp"
Lenovo ThinkPad T490 8th Gen - i5 Laptop,"Rs 90,000","Kandy, Computers & Tablets",https://ikman.lk/en/ad/lenovo-thinkpad-t490-8th-gen-i5-laptop-for-sale-kandy-40,,,,Unknown,256 SSD,"🖥️ Lenovo ThinkPad T490✅ Processor: Intel Core i5 – 8th Generation ✅ RAM: 8 GB DDR4✅ Storage: 256 GB SSD✅ Display: 14” Full HD✅ Warranty: 3 Months Laptop Bay WarrantyWe have a vast collection of Laptops, ranging from low to high price categories.📍 Locations: Colombo - https://maps.app.goo.gl/3L1JszVsENPJGfFd9Kandy - https://maps.app.goo.gl/kteo573rgtd1zu3a7📲 Call or WhatsApp us for more information.🌐 Website:🔗 www.laptopbay.lk🔍 Google:🔗 https://g.co/kgs/v8WNFKp"
Dell Inspiron 15 5570 | 8th Gen Core i7 16GB Laptop,"Rs 55,000","Matara, Computers & Tablets",https://ikman.lk/en/ad/dell-inspiron-15-5570-8th-gen-core-i7-16gb-laptop-for-sale-matara,,,,16GB,Unknown,8th Gen Intel (R) Core(TM) i7-8550U CPUAMD Radeon 530 4GB Exrernal Graphic16 GB Ram256 GB Lexar SSD NM620 nvme DriveWindows 10 Pro🔋Battery Health 100%  Battery Health 100% Call me For More Details Price negotiable ( මිල සාකච්චා කරගත හැක )
Acer Core I3 Laptop,"Rs 49,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/acer-core-i3-laptop-8gen-128gb-1tb-8gb-for-sale-colombo,,,,Unknown,128 SSD,"Mint condition Acer Core i3 8th generation laptop for immediate sale. This has brought from overseas and no any errors in it. Actual pictures are attached herewith.Specifications are as mentioned below.Processor: Core i3 8th generationDisplay: 15.:6”slim LED Ram: 8GB DDR4Hard disk: 128GB SSD/1TBDVD WRWIN OS 11New battery (6 month warranty) Wifi ,BT ,web camNumerical keyboard Laptop and genuine charger only"
MSI Gaming Laptop,"Rs 385,000","Kurunegala, Computers & Tablets",https://ikman.lk/en/ad/msi-gaming-laptop-for-sale-kurunegala-1,,,,8GB,512 SSD,"Cyborg 15 A13VF• Translucent Black• 15.6” , FHD , Anti-Glare , IPS-level , 144hz • Intel Core i7 - 13620H processor • GeForce RTX4060/8GB DDR6• 512GB SSD• DDR5 8GB RAM• WLAN+BT combo module • Free Dos • US-international • BTY-M492 11.4v 53.5Wh 3cells"
HP Windows 11 Laptop,"Rs 160,000","Galle, Computers & Tablets",https://ikman.lk/en/ad/hp-windows-11-laptop-for-sale-galle,,,,8GB,Unknown,HP Windows 11 laptopIntel core i3 11th Gen8GB RAM1TB Hard disk15.6'' FHD LED DisplayCheese condition Contact:  Drop WhatsApp messageFrom Galle
"Laptop Dell Latitude 7480|i5 6th Gen|8GB RAM|256GB SSD|Wi-Fi|14""Display","Rs 62,950","Gampaha, Computers & Tablets",https://ikman.lk/en/ad/laptop-dell-latitude-7480i5-6th-gen8gb-ram256gb-ssdwi-fi14display-for-sale-gampaha,,,,8GB,256 SSD,"🔴 PLEASE DO READ FULL DESCRIPTION BELOW කරුණාකර සම්පූර්ණ විස්තරය පහතින් කියවන්න-------------------------------------------------------------------------🆂🅿️🅴🅲🅸🅰️🅻  🅾️🅵🅵🅴🆁 - 𝗣𝗥𝗢𝗠𝗢 𝗖𝗢𝗗𝗘 : 𝗦𝗧𝗭-𝗟𝗣𝟮𝟬𝟮𝟲𝗜𝗞𝗗𝗲𝗹𝗹 𝗟𝗮𝗽𝘁𝗼𝗽𝘀 - ( 𝗔+ 𝗚𝗿𝗮𝗱𝗲 𝗖𝗼𝗻𝗱𝗶𝘁𝗶𝗼𝗻 ) 😍💛----------------------------------------------------------------DELL I5 6TH GEN USE LAPTOP - Rs.62950/=MODEL - Dell Latitude 7480RAM - 8GB (Memory Max Up to 32GB)Hard Drive - 256GB SSD (Can Be Updated)Display - 14"" DisplayWeb camera Wi-Fi LANOperating System – 10 Or 11Battery Life - Between 2 - 4 Hrs.Brand New Condition Laptops01 Year Service Warranty💳 Commercial Credit Card මගින් ගෙවීම් සිදු කළ හැක.. (කොන්දේසි සහිතයි*)✅ අදම ගන්න – පස්සේ පහසුවෙන් ගෙවන්න | 🔥 මාස 24ක් දක්වා 0% Interest Credit Card Payments Acceptable.. (Terms & Condition Apply*)🔴 උදේ 9.00 ඉඳන් රෑ 11.00 වෙනකම් — ඔබ වෙනුවෙන් අපි OPEN! 🔥”“Open from 9:00AM to 11:00PM — we’ve got you covered! 🔥”🔴 විනිමය අනුපාත හා වෙළඳපල තත්වයන් මත මිල ගනන් වෙනස් විය හැකි බව කරුණාවෙන් සලකන්න..Please note that prices may vary depending on exchange rates and market conditions..THIS PRICE IS VALID ONLY FOR 03 DAYS (15082026)🔴 විශේෂ දීමනා ලෙස ලබා දෙන මිල ගණන් යටතේ  අයිතමයන් මිලදී ගැනීමට ඔබ මෙම පොස්ටුව අපගේ ආයතනයට ඉදිරිපත් කළ යුතු අතර - එසේ නොවන සෑම විටම අපගේ කාර්ය මණ්ඩලය සාමාන්‍ය පාරිභෝගික  මිල යටතේ ඔබට භාණ්ඩ අලෙවි කරනු ඇති බව කරුණාවෙන්  සලකන්න.. (ඔන්ලයින් ඇණවුම් සදහා ස්ක්‍රීන් ෂොට් එකක් එවන්න)Please kindly consider that you have to display this post to our cashier to avail above special rates we given as offers (For online orders Please send Screenshot) If not our staff will billing all items you purchasing under our general shop sale prices.🔴 දිවයින පුරා භාණ්ඩ බෙදා හරින අතර, මුදල් ගෙවීමෙන් පසු ඔබට අදාල භාණ්ඩය කුරියර් මගින් ලබාගත හැක. (කොන්දේසි සහිතයි*)While we deliver goods island wide, you can receive your relevant item via courier after making the payment.(Terms & Condition Apply*) 🚖🚖🔴 භාණ්ඩ තොග ලැබීමේ විචල්‍යන්  මත මෙහි පලවන  සමහර චායරුප වල සහ අයිතමයේ මොඩලයන් අතර වෙනස් කම් පවතින අවස්ථාවන් තිබිය හැකි බව කරුණවෙන් සලකන්න. මිලදී ගැනීමට පෙර ඔබට අවශ්‍ය මොඩලය තිබේදැයි අපගේ ආයතනයෙන් විමසා තහවුරු කර ගත හැකිය..Above Mentioned Pictures can be different from the available stocks. You can check availability of models from our stores before make your order 🔴 වසර 16 කට වඩා වැඩි අලෙවිය සහ විස්වාසනීය සේවා සැපයීමේ පුරෝගමියා වන අපගේ අද්විතීය හා පලපුරුදු සේවාවන් ඔබත් ලබාගන්න..Avail our unique and experienced services pioneered in over 16 years of sales and reliable services. 💳 ක්‍රෙඩිට් සහ ඩෙබිට් කාඩ්පත් මගින් ගෙවීම් සිදු කළ හැක.. (කොන්දේසි සහිතයි*)Card Payments Acceptable.. (Terms & Condition Apply*)🔴 ""Koko ගෙවීම් පහසුකම ලබාගත හැක.. (කොන්දේසි සහිතයි*)Koko payment available.. (Terms & Condition Apply*) 📍🗺️කොළඹ දෙස සිට පැමිණෙන විට කිරිබත්ගොඩ Color Light එක පසු කර මීටර් 30 ක් පමණ එනවිට දකුණු පස පිහිටි ShaTech Zone පස්මහල් ගොඩනැගිල්ල..PLEASE VISIT OUR WEBSITE FOR MORE DEALS-----------------------------------------------------------------------ShaTech Zone – Kiribathgoda 34/B, New Kandy Road, Kiribathgoda Find on Google maps – ShaTech ZoneBEST PRICE CONTACTPosted By - Admin II"
Dell i7 8th Gen Laptop,"Rs 124,000","Jaffna, Computers & Tablets",https://ikman.lk/en/ad/dell-i7-8th-gen32gb-256gb-for-sale-jaffna,,,,256GB,256 SSD,32GB DDR4 RAM256GB SSDBACKLIT Keyboard Good battery14.0 display100% Brand new condition
