Title,Price,Location_Category,Link,Brand,Model,Condition,RAM,Storage,Description
DELL LATITUDE 5470 INTEL CORE I5 6TH GEN / 8GB RAM / 256GB SSD USED LAPTOP,"Rs 59,000.00",MD Computers,https://mdcomputers.lk/product/dell-latitude-5470-intel-core-i5-6th-gen-8gb-ram-256gb-ssd-used-laptop/,Dell,Unknown,Used,8GB,256 SSD,GOOD CONDITION MODEL – DELL LATITUDE 5470 / 5480 / 7470 BRAND – DELL PROCESSOR – INTEL CORE I5 6TH GEN Memory – DDR4 8GB RAM STORAGE – 256GB SSD WEBCAM ; 720P HD Webcam WIFI : AVAILABLE 03 MONTH HARDWARE WARRANTY 01 YEARS SERVICE WARRANTY
DELL LATITUDE 7390 CORE I5 8TH GEN / 8GB RAM / 256GB SSD USED LAPTOP( TOUCHPAD NOT WORKING ),"Rs 65,000.00",MD Computers,https://mdcomputers.lk/product/dell-latitude-7390-core-i5-8th-gen-8gb-ram-256gb-ssd-used-laptop/,Dell,Unknown,Used,8GB,256 SSD,⭕ TOUCHPAD NOT WORKING ⭕ GENERATION – INTEL CORE I5 8TH GENERATION PROCESSOR⭕ BRAND – DELL⭕ MODEL – DELL LATITUDE 7390⭕  RAM / MEMORY – DDR4 8GB RAM⭕ HARD DISK – 256GB M.2 SSD⭕ SCREEN – 13.3 INCH FULLHD  DISPLAY⭕ HD Web Cam⭕ USB 3.0⭕ Network⭕ 3.5mm Jack⭕ CAMERA : HD WEB CAM⭕ BLUETOOTH : AVAILABLE
DELL LATITUDE 5400 – INTEL CORE I5 8TH GEN / 8GB RAM / 256GB NVME SSD USED LAPTOP,"Rs 73,000.00",MD Computers,https://mdcomputers.lk/product/dell-latitude-5400-core-i5-8th-gen-8gb-ram-256gb-nvme-ssd-used-touch-laptop/,Dell,Unknown,Used,8GB,256 NVME,⭕ GOOD CONDITION⭕ Dell Latitude CORE I5 8TH GEN Laptop⭕ Dell Latitude 5400⭕ Memory : DDR4 8GB RAM⭕ Display Type : 14 INCH⭕ HARD DISK- 256GB SSD⭕ Camera ; HD Webcam⭕ WIFI : AVAILABLE👉 03 MONTH HARDWARE WARRANTY👉 01 YEARS SERVICE WARRANTY
DELL LATITUDE 3400 – INTEL CORE I5 8TH GEN 8GB RAM 256GB SSD USED LAPTOP,"Rs 73,000.00",MD Computers,https://mdcomputers.lk/product/dell-latitude-3400-intel-core-i5-8th-gen-8g/,Dell,Unknown,Used,8GB,256 SSD,"Dell Latitude 3400 – Intel Core i5 8th Gen ReviewThe Dell Latitude 3400 powered by an Intel Core i5 8th Generation processor is a reliable business-class laptop built for productivity, durability, and everyday performance. Designed primarily for professionals, students, and office users, the Latitude 3400 combines solid performance with a sturdy chassis and enterprise-level reliability. Whether you’re working on documents, browsing the web, attending online meetings, or multitasking with multiple applications, this laptop delivers smooth and dependable performance.Unlike many consumer laptops, the Latitude series is engineered for long-term use, offering better build quality, easier maintenance, and enhanced security features. Even though it’s a few generations old, the Dell Latitude 3400 remains an excellent option for users seeking a dependable laptop for work, study, and general computing at an affordable price.PerformanceAt the heart of the Dell Latitude 3400 is the Intel Core i5 8th Generation processor, commonly available as the Intel Core i5-8265U or Intel Core i5-8250U depending on the configuration. Both processors feature 4 cores and 8 threads, providing excellent multitasking capabilities compared to older dual-core processors.The processor can comfortably handle everyday tasks such as:Microsoft Office applicationsWeb browsing with multiple tabsOnline learningVideo conferencingEmail managementProgrammingAccounting softwarePhoto editingMedia streamingCombined with an SSD, the system boots quickly and applications load significantly faster than traditional hard drives.DisplayThe Dell Latitude 3400 features a 14-inch Full HD (1920 × 1080) anti-glare display on most models, delivering sharp text and vibrant visuals. Some entry-level versions may include an HD (1366 × 768) display, but the Full HD option is recommended for better image quality and workspace.The anti-glare coating helps reduce reflections, making the laptop comfortable to use under office lighting or near windows.GraphicsGraphics are handled by the integrated Intel UHD Graphics 620, which is suitable for:Office workYouTube and Netflix streamingWeb browsingPhoto editingLight video editingCasual gamingEducational applicationsAlthough not intended for demanding AAA games, it can run lightweight games such as Minecraft, Valorant (low settings), League of Legends, Dota 2, and older titles.Memory and StorageThe Latitude 3400 supports DDR4 memory, allowing users to upgrade for improved multitasking.Typical configurations include:8GB DDR4 RAM (Upgradeable)Storage options generally include:256GB NVMe SSDThe SSD significantly improves system responsiveness and overall performance.Build QualityOne of the strongest advantages of the Latitude series is its durable business-class construction.The chassis is designed to withstand daily use while remaining relatively lightweight. The hinge mechanism feels solid, and the keyboard deck exhibits minimal flex, making the laptop dependable for professionals who frequently travel or carry their devices between work locations.Keyboard and TouchpadDell’s keyboard offers a comfortable typing experience with well-spaced keys and good travel distance. It is ideal for users who spend long hours typing reports, emails, or assignments.The precision touchpad supports Windows multi-touch gestures and provides smooth tracking with responsive clicks.Some models also feature a backlit keyboard, depending on the configuration.ConnectivityThe Latitude 3400 offers a wide range of connectivity options:USB 3.1 Gen 1 PortsUSB Type-CHDMIRJ-45 Ethernet PortSD Card ReaderAudio Combo JackWi-FiBluetoothThese ports make it easy to connect external monitors, storage devices, projectors, and other peripherals without needing additional adapters.Battery LifeBattery performance depends on usage and battery health, but users can generally expect:6–8 hours of office work5–7 hours of web browsing4–6 hours of video playbackBattery life may vary, especially on refurbished units, depending on battery condition.Security FeaturesBeing a business laptop, the Latitude 3400 may include:TPM 2.0 Security ChipFingerprint Reader (optional)Smart Card Reader (optional)BIOS Security FeaturesDell Data Protection SupportThese features help protect business and personal information.SpecificationsFeatureSpecificationModelDell Latitude 3400ProcessorIntel Core i5 8th Generation (i5-8250U / i5-8265U)Processor Cores4 Cores / 8 ThreadsBase Clock1.6 GHzTurbo BoostUp to 3.9 GHzGraphicsIntel UHD Graphics 620Display Size14-inchResolutionHD (1366×768) or Full HD (1920×1080)RAM8GB (Upgradeable)Storage256GBOperating SystemWindows 10 Pro / Windows 11 Pro (Supported)WirelessWi-Fi + BluetoothEthernetGigabit LANWebcamHD WebcamAudioStereo SpeakersPortsUSB 3.1, USB Type-C, HDMI, RJ-45, SD Card Reader, Audio JackBattery3-Cell Lithium-IonWeightApproximately 1.67 kgColorBlackProsPowerful 8th Gen quad-core processorBusiness-grade build qualityExcellent keyboardUpgradeable RAM and storageFast SSD supportFull HD display availableGood selection of portsReliable performance for work and studyLightweight and portableSuitable for Windows 11ConsIntegrated graphics are not suitable for high-end gamingDisplay brightness is average compared to premium laptopsBattery life depends on battery condition (especially refurbished units)No dedicated graphics cardFinal VerdictThe Dell Latitude 3400 with Intel Core i5 8th Gen remains an excellent business laptop for users who need dependable everyday performance. Its quad-core processor, upgradeable memory, SSD support, durable build quality, and comfortable keyboard make it ideal for office work, online learning, programming, web browsing, and general productivity.If you’re purchasing a refurbished or used unit, it offers outstanding value for money, especially when configured with 8GB or 16GB RAM and an SSD. While it isn’t designed for heavy gaming or professional 3D rendering, it excels in the tasks most users perform daily, making it a smart investment for students, professionals, and small businesses looking for a reliable and affordable laptop. 03 MONTH HARDWARE WARRANTY 01 YEARS SERVICE WARRANTY CONTAC US MORE DETAILSLOCATION : Opposite Of NSB Bank Homagama"
LENOVO THINKPAD T480s – INTEL CORE I5 8TH GEN /8GB RAM / 256GB NVME SSD USED LAPTOP,"Rs 75,000.00",MD Computers,https://mdcomputers.lk/product/lenovo-thinkpad-t480s-intel-core-i5-8th-gen-8gb-ram-256gb-nvme-ssd-used-laptop/,LENOVO,Unknown,Used,8GB,256 NVME,⭕ GOOD CONDITION⭕ MODEL – LENOVO THINKPAD T480s⭕ BRAND – LENOVO⭕ PROCESSOR – INTEL CORE I5 8TH GEN⭕ MEMORY – DDR4 8GB RAM⭕ DISPLAY – 14 INCH FULL HD (1920 x 1080)⭕ STORAGE – 256GB NVME SSD⭕ WIFI : AVAILABLE⭕ Windows 11 👉 03 MONTH HARDWARE WARRANTY👉 01 YEARS SERVICE WARRANTY
DELL LATITUDE  7400 INTEL CORE I5 8TH GEN 8GB RAM 256GB NVME USED LAPTOP,"Rs 79,000.00",MD Computers,https://mdcomputers.lk/product/dell-latitude-7400-intel-core-i7-8th-gen-8gb-ram-256gb-nvme-used-laptop/,Dell,Unknown,Used,8GB,256 NVME,⭕ GOOD CONDITION⭕ MODEL – DELL LATITUDE 7400⭕ BRAND – DELL⭕ PROCESSOR – INTEL CORE I5 8TH GEN⭕ Memory – DDR4 8GB RAM⭕ Display Type – 14 INCH FHD (1920 x 1080) IPS PANAL⭕ STORAGE – 256GB SSD⭕ GRAPHICS – Intel UHD Graphics 620 ⭕ WEBCAM – 720P HD Webcam⭕ WIFI : AVAILABLE⭕ Windows 11 👉 03 MONTH HARDWARE WARRANTY👉 01 YEARS SERVICE WARRANTY
HP PROBOOK 645 G4 – RYZEN 7 / 8GB RAM / 256GB NVME SSD USED LAPTOP,"Rs 79,000.00",MD Computers,https://mdcomputers.lk/product/hp-probook-645-g4-ryzen-7-8gb-ram-256gb-nvme-ssd-used-laptop/,HP,Unknown,Used,8GB,256 NVME,⭕ GOOD CONDITION⭕ BRAND – HP⭕ MODEL – PROBOOK 645 G4⭕ PROCESSOR – AMD RYZEN 7 PRO 2700U⭕ RAM – DDR4 8GB⭕ SSD – 256GB NVME SSD⭕ AMD REDEION (TM ) VEGA 10 GRAPHICS⭕ WEBCAM👉03 MONTH HARDWARE WARRANTY👉01 YEARS SERVICE WARRANTY
LENOVO THINKPAD T580 – INTEL CORE I5 8TH GEN / 8GB RAM / 256GB SSD / 15.6″ FHD USED LAPTOP,"Rs 85,000.00",MD Computers,https://mdcomputers.lk/product/lenovo-thinkpad-t580-intel-core-i5-8th-gen-8gb-ram-256gb-ssd-15-6%e2%80%b3-fhd-used-laptop/,LENOVO,Unknown,Used,8GB,256 SSD,"LENOVO THINKPAD T580 – INTEL CORE I5 8TH GenENSPECIFICATION:Display – 15.6″ (396mm) FHD (1920×1080), anti-glare, LED backlight, WVA, 250 nits, 16:9 aspect ratio
Processor – Intel® Core™ i5-8250U Processor Cache, Quad Core with Turbo Boost up to 3.40 GHz
Memory – 8GB DDR4 RAM
Storage – 256GB SSD
Graphics – Intel® UHD 620
Camera – 720p HD Camera with ThinkShutter with dual-array microphones
KeyBoard – US with Numeric
Operating System – Windows® 11 Pro1 × Thunderbolt 3 (USB-C)1 × USB-C2 × USB 3.1 Gen 11 × HDMI1 × RJ-45 Ethernet1 × 3.5mm Audio Combo Jack1 × MicroSD Card ReaderOptional Smart Card ReaderOptional SIM Slot (WWAN models)PerformanceExcellent for Office workWeb browsing & multitaskingMicrosoft OfficeZoom & Teams meetingsPhotoshop (Light to Moderate)Programming & Software DevelopmentAutoCAD (Basic 2D)Video Editing (1080p Light)Business and professional useUpgrade OptionsRAM: Up to 32GB (Official) / 64GB (Community-tested on some units)Storage: Upgrade to high-speed NVMe SSDBattery: Replaceable external battery for extended runtimeKey FeaturesMilitary-grade durability (MIL-STD tested)Excellent ThinkPad keyboardFull-size numeric keypadUSB-C & Thunderbolt 3 supportLong battery life with Power Bridge technologyEasy RAM and SSD upgradesBusiness-class security featuresThe ThinkPad T580 with an 8th Gen Intel Core i5 remains a reliable business laptop, offering strong multitasking performance, upgradeability, and excellent build quality. It is well suited for office work, study, programming, and everyday productivity."
HP ELITEBOOK 840 G7 CORE I7 10TH GEN / 8GB RAM / 256GB NVME SSD USED LAPTOP ( CAMERA ERROR ),"Rs 89,000.00",MD Computers,https://mdcomputers.lk/product/hp-elitebook-840-g7-core-i7-10th-gen-8gb-ram-256gb-nvme-ssd-used-laptop-camera-error/,HP,Unknown,Used,8GB,256 NVME,⭕ CONDITION – CAMERA ERROR⭕ BRAND – HP⭕ MODEL – HP ELITEBOOK 840 G7⭕ PROCESSOR – CORE I7 10TH GEN⭕ MEMORY – 8GB RAM⭕ SSD – 256GB NVME SSD⭕ WIFI : AVAILABLE⭕ Windows 11
HP ELITEBOOK 850 G5/ G6 – CORE I5 8TH – 15.6 INCH –  8GB RAM – 256GB NVME SSD – USED LAPTOP,"Rs 90,000.00",MD Computers,https://mdcomputers.lk/product/elitebook-850-g6-core-i5-8th-gen-8gb-ram-256-nvme-ssd-laptop/,HP,Unknown,Used,8GB,256 NVME,⭕ GOOD CONDITION⭕ BRAND – HP⭕ MODEL – ELITEBOOK 850 G6 / G5⭕ GENERATION – I5 8TH GEN⭕ RAM – 8GB⭕ SSD – 256GB NVME SSD⭕ Inbuilt Microphone Yes⭕ Webcam Yes👉03 MONTH HARDWARE WARRANTY👉01 YEARS SERVICE WARRANTY👉📞CALL MORE DETAILS
