Title,Price,Location_Category,Link,Brand,Condition,Size,Refresh_Rate,Resolution,Description
"22"" Inch Lenovo(S22e-19) Frameless IPS Monitor (Full HD)","Rs 17,000",Unknown,https://ikman.lk/en/ad/22-inch-lenovos22e-19-frameless-ips-monitor-full-hd-for-sale-colombo-2,,,22 Inch,Unknown,Unknown,"🆂🅿️🅴🅲🅸🅰️🅻  🅾️🅵🅵🅴🆁                                 📌 BRAND NEW CONDITIONS📌                                📌KOREAN USED MONITORS📌           💥 මෙම විශේෂ දීමනාව IKMAN.LK පාරිභෝගිකයන් සදහා පමනයි💥🔴22"" INCH Frameless IPS Monitor (Full HD)🔴💥LENOVO (S22e-19) MODELS✅HDMI PORT✅VGA PORT✅WITH OUT CABLE✅ONE TO ONE REPLACE 03 MONTHS WARRANTY✅ආනයනය කරන ලද හා ශ්‍රී ලංකාව ඇතුළත භාවිතා කර නොමැති 100% ක් අලුත් තත්ත්වයෙන් යුත් පරිගණක දැන් විශේෂ වට්ටම් යටතේ ලබා ගත හැක.✅ඔබගේ නිවසට, කාර්යාලයට, වෙලදසෑලට, පරිගනක ආයතනයට, අවශ්ය පරිගනක මිලදි ගෑනිම සදහා අපගේ පරිගනක ආයතනයට පෑමිනෙන්න.✅අප ආයතනයෙන් පරිගණක හා උපාංග මිලදී ගෙන ඔබත් වෙනස අත් විඳින්නවැඩි විස්තර සඳහා උදෑසන 10.00 -සිට ප.ව 7.00 අතර අපව අමතන්න✅ඔබගේ පෑරනි පරිගනකය සම්පුර්නයෙන්ම ඉවත් කරන්නේ කුමකටද, රෑගෙන එන්න LIO COMPUTER (KOTTE) අපගේ ආයතනයට, අප එයට නවීන කොටස් දමා අද කාලයට ගෑලපෙන පරිදි පහසු මිලට සකස් කරවා දෙන්නෙමු.🔴LIO COMPUTERS🔴🔴NO. 370, KOTTE ROAD, KOTTE..."
Tube well motor - නුවර,Unknown,Unknown,https://ikman.lk/en/ad/tube-well-motor-nuvr-for-sale-kandy,Unknown,Unknown,Unknown,Unknown,Unknown,ඔබට අවශය පරිදි මෝටර් සවිකර දීම හා විකිනීම.
Hollow Type Gear Motor,"Rs 30,000",Unknown,https://ikman.lk/en/ad/hollow-type-gear-motor-for-sale-colombo,Unknown,,Unknown,Unknown,Unknown,"⚙️ Brand New Three Phase / Single Phase Hollow Type Geared Motors_______________________________________⚙️ Key Specifications:Power Range: 0.09 kW up to 15 kWGear Ratio: 1:05 to 1:100Winding : 100% CopperRPM (Revolutions Per Minute): Customized as per customer request – available options include 280 RPM, 47 RPM, and more_____________💰 Pricing:Starting Price: Rs. 26,500Varies by Power Output and Gear Configuration_____________🪖 Warranty:12 Months_____________🚀 Ideal for:Industrial machineryConveyor systemsHeavy-duty applicationsPower your machines with precision and reliability – contact us today to get yours!"
Digital Motor Protection Controller - Tube wells,"Rs 15,000",Unknown,https://ikman.lk/en/ad/digital-motor-protection-controller-tube-wells-for-sale-colombo,Unknown,,Unknown,Unknown,Unknown,Best Motor protection controller Automatic Water lever sensing system Overload ProtectionDry Run ProtectionLCD Screen Display Pump Running InformationCan deliver island wide Vist us: www.deeptec.lkBranches: Malabe | Anuradhapura | Wariyapola
"Dell P2319H 23"" inch IPS Frameless Full HD HDMI used Monitor , no cables","Rs 19,500",Unknown,https://ikman.lk/en/ad/dell-p2319h-23-inch-ips-frameless-full-hd-hdmi-used-monitor-no-cables-for-sale-colombo-4,,,23 Inch,60Hz,FHD,"ඔබ සොයන උසස්ම තත්ත්වයේ පරිගණක උපාංග වසර 10ක විශ්වාසය හා වගකීමක් සහිතව, වෙළඳපල අවම මිලට අපෙන් ලබාගන්න.Menna P2319H  specs:Display Specs:Screen Size: 23 Inches  Panel Type: IPS (In-Plane Switching) -Resolution: Full HD (1920 x 1080)  Refresh Rate: 60Hz  Response Time: 8 ms (Normal mode) / 5 ms (Fast mode)  Brightness: 250 cd/m² (Typical)  Contrast Ratio: 1000:1  Screen Coating: Anti-glare (3H Hard Coating)Ports & Connectivity (Built-in USB Hub):1 x HDMI 1.4  1 x DisplayPort 1.2  1 x VGA  1 x USB 3.0 Upstream2 x USB 3.0 Downstream 2 x USB 2.0 Downstream3 Months Warranty====================✨ සුවිශේෂී වරප්‍රසාද:✅ KOKO App පහසුකම: ඕනෑම භාණ්ඩයක් මාස 3කින් ගෙවීමේ පදනම මත ලබාගත හැක (කොන්දේසි සහිතයි).✅ දිවයින පුරා බෙදාහැරීම: ආරක්ෂිතව ඔබේ නිවසටම ගෙන්වා ගත හැක. (NO COD Available)✅ විශ්වාසනීය සේවාව: ක්ෂේත්‍රයේ වසර 10කට වැඩි පළපුරුද්ද.⚠️ විශේෂ දැනුම්දීමයි:විශේෂ මිල ගණන්: මෙම විශේෂ මිල ලබාගැනීම සඳහා මෙම දැන්වීම (Post එක) ඉදිරිපත් කළ යුතුය. නැතහොත් සාමාන්‍ය මිල ගණන් අදාළ වේ.මිල වෙනස්වීම්: පවතින තොග සහ විනිමය අනුපාත මත මිල ගණන් සුළු වශයෙන් වෙනස් විය හැක. පැමිණීමට පෙර තොග පවතිදැයි විමසා බලන්න.ගෙවීම් ක්‍රම: ඉහත සඳහන් මිල ගණන් අදාළ වන්නේ මුදලින් හෝ බැංකු හුවමාරු (Cash/Bank Transfer) සඳහා පමණි. අනෙකුත් ගෙවීම් ක්‍රම සඳහා අදාළ සේවා ගාස්තු එකතු වේ.📍 අපව සොයා එන්න:ලිපිනය: No.93, පැරණි කැස්බෑව පාර, දෙල්කද, නුගේගොඩ. (Salon Mirror C අසල)"
"Acer Vero Series CB272 P6bmiprx 27"" Inch144Hz Full HD IPS Monitor NEW","Rs 44,990",Unknown,https://ikman.lk/en/ad/acer-vero-series-cb272-p6bmiprx-27-inch144hz-full-hd-ips-monitor-new-for-sale-colombo,,,27 Inch,144Hz,FHD,"😏😏😏😏😏😏😏😏😏😏😏😏😏😏ඔබ සොයන උසස්ම තත්ත්වයේ පරිගණක උපාංග වසර 10ක විශ්වාසය හා වගකීමක් සහිතව, වෙළඳපල අවම මිලට අපෙන් ලබාගන්න.Monitor Specifications -⚡Screen Size: 27 inches⚡Panel Technology: IPS (In-plane Switching)⚡Resolution: Full HD (1920 x 1080)⚡Refresh Rate: 144 Hz (via DisplayPort)⚡Response Time: 1ms (Visual Response Boost)⚡Brightness: 250 nits cd/m²⚡Aspect Ratio: 16:9⚡Contrast Ratio: 1,500:1 (Native) / 100,000,000:1 (Dynamic)⚡Color Supported: 16.7 Million⚡Color Gamut: 99% sRGB⚡ConnectivityHDMI: YesDisplayPort: 1 (Version 1.2)VGA: YesAudio Inputs/Outputs: YesFeatures & Ergonomics⚡Adaptive Sync: Adaptive Sync (DisplayPort VRR)⚡Ergo Stand: Height adjustment, Tilt, Swivel, and Pivot (90° Rotation)⚡VESA Mounting: 100 x 100 mm⚡Built-in Speakers: 2 x 4W speakers⚡Eye Protection: Acer Blue Light Shield, Flickerless, Comfy View, and Low Dimming technologies ⚡3 Years Warranty=================================================================✨ සුවිශේෂී වරප්‍රසාද:✅ KOKO App පහසුකම: ඕනෑම භාණ්ඩයක් මාස 3කින් ගෙවීමේ පදනම මත ලබාගත හැක (කොන්දේසි සහිතයි).✅ දිවයින පුරා බෙදාහැරීම: ආරක්ෂිතව ඔබේ නිවසටම ගෙන්වා ගත හැක. (NO COD Available)✅ විශ්වාසනීය සේවාව: ක්ෂේත්‍රයේ වසර 10කට වැඩි පළපුරුද්ද.⚠️ විශේෂ දැනුම්දීමයි:විශේෂ මිල ගණන්: මෙම විශේෂ මිල ලබාගැනීම සඳහා මෙම දැන්වීම (Post එක) ඉදිරිපත් කළ යුතුය. නැතහොත් සාමාන්‍ය මිල ගණන් අදාළ වේ.මිල වෙනස්වීම්: පවතින තොග සහ විනිමය අනුපාත මත මිල ගණන් සුළු වශයෙන් වෙනස් විය හැක. පැමිණීමට පෙර තොග පවතිදැයි විමසා බලන්න.ගෙවීම් ක්‍රම: ඉහත සඳහන් මිල ගණන් අදාළ වන්නේ මුදලින් හෝ බැංකු හුවමාරු (Cash/Bank Transfer) සඳහා පමණි. අනෙකුත් ගෙවීම් ක්‍රම සඳහා අදාළ සේවා ගාස්තු එකතු වේ.📍 අපව සොයා එන්න:ලිපිනය: No.93, පැරණි කැස්බෑව පාර, දෙල්කද, නුගේගොඩ. (Salon Mirror C අසල)📞 දැන්ම අමතන්න : 0716868900"
TG 19” Monitor,"Rs 6,500",Unknown,https://ikman.lk/en/ad/tg-19-monitor-for-sale-colombo,,,Unknown,Unknown,Unknown,"📌 19” SQUARE 📌 DELL/LG/TG📌 LCD PENAL📌 VGA/DVI📌 ROTATABLE STANDcondition- Usedports.      - Dvi/Vgawarranty - 3 months ~~~~~~~~~~~~~~~~~~~~~~~~~~~~                 🔰 90 Days warranty  ⭕ Note ~ මෙම මිල ගණන් විශේෂ මිල ගණන් යටතේ සදහන් කර ඇත.  මෙම අඩුම මිල Computer House වෙතින් පමනයි.✅ අපගේ ශාඛාව ට පැමිණ හෝ 🚛 Courier සේවාවන් මඟින් භාන්ඩ ඔබගේ ස්ථානයට ද ගෙන්වා ගත හැකිය.Call Us for More Details ☎️  🔹️Showroom 1. 158/6/A, High level Road, Godagama.        Homagama."
Dell 20 LED Monitor,"Rs 9,900",Unknown,https://ikman.lk/en/ad/dell-20-led-monitor-for-sale-colombo,,,Unknown,Unknown,Unknown,"📌 DELL 20” LED📌 HD📌 LED PENAL📌 VGA/DVI📌 2015-2016/2014/YEARS 📌 SLIM TYPEbrand.     - Dell condition- Usedports.      - Dvi/Vgawarranty -  3 months ~~~~~~~~~~~~~~~~~~~~~~~~~~~~                 🔰 90 Days warranty ✅ අපගේ ශාඛාව ට පැමිණ හෝ 🚛 Courier සේවාවන් මඟින් භාන්ඩ ඔබගේ ස්ථානයට ද ගෙන්වා ගත හැකිය.Call Us for More Details ☎️ 🔹️Showroom 1. 158/6/A, High level Road, Godagama.        Homagama."
i3 2nd 4GB RAM 20” Led Monitor Full Set Desktop Computer CPU,"Rs 31,900",Unknown,https://ikman.lk/en/ad/i3-2nd-4gb-ram-20-led-monitor-full-set-desktop-computer-cpu-for-sale-colombo-1,,,Unknown,Unknown,Unknown,"Core i3 2nd gen 3.10/3.30DDR 3 4gb RamH61 DDR 3 Board500 HDD DVD RW 20” Wide LED MONITOR TURBOGEAR TK 618 KEYBOARD TURBOGEAR T0 510 MOUSE PUSE POWER CABLES VGA CABLE              ( Original samsung Full set Pc)brand.     - Samsungcondition- good condition ports.      - VGA,DVIwarranty - 03 Months Warranty.~~~~~~~~~~~~~~~~~~~~~~~~~~~~                 🔰 90Days Warranty >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>⭕ Note ~ මෙම මිල ගණන් විශේෂ මිල ගණන් යටතේ සදහන් කර ඇත.  මෙම අඩුම මිල Computer House වෙතින් පමනයි.✅ අපගේ ශාඛාව ට පැමිණ හෝ 🚛 Courier සේවාවන් මඟින් භාන්ඩ ඔබගේ ස්ථානයට ද ගෙන්වා ගත හැකිය.Call Us for More Details ☎️ 🔹️Showroom 1. 158/6/A, High level Road, Godagama.        Homagama."
i3 2nd Gen 4GB RAM 19” Monitor Full Set Desktop Computer,"Rs 28,900",Unknown,https://ikman.lk/en/ad/i3-2nd-gen-4gb-ram-19-monitor-full-set-desktop-computer-for-sale-colombo-2,,,Unknown,Unknown,Unknown,"Core i3 2nd gen 3.10/3.30DDR 3 4gb RamH61 DDR 3 Board500 HDD DVD RW 19” SQUARE MONITOR Turbogear TK 618 KEYBOARD Turbogear T0 510 MOUSEPUSE POWER CABLES VGA CABLE              ( Original samsung Full set Pc)brand.     - Samsungcondition- good condition ports.      - VGA,DVIwarranty - 03 Months Warranty.~~~~~~~~~~~~~~~~~~~~~~~~~~~~                 🔰 90Days Warranty >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>⭕ Note ~ මෙම මිල ගණන් විශේෂ මිල ගණන් යටතේ සදහන් කර ඇත.  මෙම අඩුම මිල Computer House වෙතින් පමනයි.✅ අපගේ ශාඛාව ට පැමිණ හෝ 🚛 Courier සේවාවන් මඟින් භාන්ඩ ඔබගේ ස්ථානයට ද ගෙන්වා ගත හැකිය.Call Us for More Details ☎️ 🔹️Showroom 1. 158/6/A, High level Road, Godagama.        Homagama."
i3 2nd Gen 4GB RAM 17” Monitor Full Set Desktop Computer,"Rs 27,900",Unknown,https://ikman.lk/en/ad/i3-2nd-gen-4gb-ram-17-monitor-full-set-desktop-computer-for-sale-colombo-1,,,Unknown,Unknown,Unknown,"Core i3 2nd gen 3.10/3.30DDR 3 4gb RamH61 DDR 3 Board500 HDD DVD RW 17” SQUARE MONITOR Turbogear TK 618 Keyboard Turbogear T0 510 MousePUSE POWER CABLES VGA CABLE              ( Original samsung Full set Pc)brand.     - Samsungcondition- good condition ports.      - VGA,DVIwarranty - 03 Months Warranty.~~~~~~~~~~~~~~~~~~~~~~~~~~~~                 🔰 90Days Warranty >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>⭕ Note ~ මෙම මිල ගණන් විශේෂ මිල ගණන් යටතේ සදහන් කර ඇත.  මෙම අඩුම මිල Computer House වෙතින් පමනයි.✅ අපගේ ශාඛාව ට පැමිණ හෝ 🚛 Courier සේවාවන් මඟින් භාන්ඩ ඔබගේ ස්ථානයට ද ගෙන්වා ගත හැකිය.Call Us for More Details ☎️ 🔹️Showroom 1. 158/6/A, High level Road, Godagama.        Homagama."
"MSI PRO MP251L E2 25"" Inch 120Hz Full HD IPS Frameless Monitor","Rs 32,000",Unknown,https://ikman.lk/en/ad/msi-pro-mp251l-e2-25-inch-120hz-full-hd-ips-frameless-monitor-for-sale-colombo-12,,,25 Inch,120Hz,FHD,"💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚Product specifications 🔸Brand new sealed package🔸SPECIFICATIONS -PANEL SIZE - 24.5""PANEL RESOLUTION - 1920 x 1080 (FHD)REFRESH RATE -120HzRESPONSE TIME - 1ms (MPRT) / 4ms (GTG)PANEL TYPE - IPSTNES (NITS) - 250 cd/m2VIEWING ANGLE - 178°(H) / 178°(V)ASPECT RATIO - 16:9CONTRAST RATIO - 1500:1sRGB 99% (CIE1976)ACTIVE DISPLAY AREA (MM) 543.744(H) x 302.616(V)PIXEL PITCH (H X V) 0.2832(H) x 0.2802(V)SURFACE TREATMENT - Anti-glareDISPLAY COLORS - 16.7MCOLOR BIT 8 bits (6 bits + FRC)VIDEO PORTS - 1x HDMI™ 1.4b (FHD@120Hz) 1x D-Sub (VGA)KENSINGTON LOCK - YesVESA MOUNTING - 100 x 100 mmPOWER TYPE External Adaptor 12V 2.5APOWER INPUT 100~240V, 50~60HzDYNAMIC REFRESH RATETECHNOLOGY Adaptive-SyncADJUSTMENT (TILT) -5° ~ 20°ACCESSORIES 1x HDMI Cable (1.4), 1x Power Adaptor, 1x Quick Guide⚡⚡03 Years  Warranty (CONDITIONS APPLY)⚡⚡ 🥇 Myitem.lk (Pvt) Ltd අප ආයතනය, පසුගිය අවුරුදු 10ක පුරා විශ්වාසය සහ ගුණාත්මකභාවය මෙන්ම විශිෂ්ට    සේවාවක් ඔබට ලබා දිමට නොපසුබටව කටයුතු කර අතර අලෙවියේ ඔබගේ    විශ්වාසනිය සැපයුම්කරුවා  ලෙස අපව තෝරාගැනිම පිළිබදව ස්තූතිවන්ත වෙමු.    🥇 100% අලුත් තත්ත්වයෙන් යුත්, ශ්‍රී ලංකාව තුළ භාවිතා කර නොමැති ආනයනය කරන ලද Monitors  දැන් විශේෂ වට්ටම් යටතේ ලබා ගත ගැනිමට ඔබට හැකියාවක් ඇත.***********************************************************************    💰koko App එක භාවිතයෙන්ද ඔබට මාස තුනක ගෙවිමේ කාලයක් සහිතව අප    ආයතනයෙන් ඔබට ලබා ගැනිමට පහසුව අප සලසා තිබේ.*********************************************************************    📲 වැඩි විස්තර දැන ගැනිම සදහා උදෑසන 9.30 සිට පස්වරු 6.30 දක්වා අපව අමතන්න.    🚚 දිවයින පුරා බෙදාහැරිම් කටයුතු සිදු කරනු ලැබේ.    📶 වැඩි විස්තර සදහා අපගේ වෙබ් පිටුවට දැනම පිවිසෙන්න https://myitem.lk/Old Road, Maharagama."
