Title,Price,Location_Category,Link,Brand,Model,Condition,Description
Apple iPad 16GB RAM 512GB,"Rs 183,500",Unknown,https://ikman.lk/en/ad/apple-ipad-16gb-ram-512gb-for-sale-colombo-63962,APPLE,16GB 512GB,Used,"X-MOBILESAMSUNG GALAXY• Brand New Sealed Pack• 100% Genuine Products• Credit Card Payments Accepted (Conditions Apply)• Best After-Sales Support and Service• One Year Software Warranty• Cash on Delivery (Colombo Only)• Delivery  Pickup Location - Liberty Plaza, Colombo 03• රටේ පවතින තත්ත්වය හේතුවෙන් ජංගම දුරකථනවල මිල ගණන් දවසින් දවස වෙනස් වන බැවින්, කරුණාකර අප වෙත ඇමතුමක් ලබාදී අද දින මිල ගණන් අහන්න.Authorized Dealer for:Flexible Payment Options:• Installment plans available for up to 40 months• 0% Interest Financing Available for Bank Installments (Terms and Conditions Apply)• Koko Payment Options Available (Terms and Conditions Apply)For More Details, Please Contact Us or Visit Our ShowroomX Mobile  No: 42N, Ground Floor,  Liberty Plaza,  Colombo 03  Google Search ""X MOBILE"" for DirectionsBusiness Hours:  10:00 AM - 07:00 PMChat with Us on WhatsAppGet your items delivered to you! 🔥"
HUAWEI Tablet 16GB RAM 128GB Storage,"Rs 142,500",Unknown,https://ikman.lk/en/ad/huawei-tablet-16gb-ram-128gb-storage-for-sale-colombo-16496,HUAWEI,16GB 128GB,New,PHONE PARADISE (PVT) LTD💥 IPAD A16 11 GEN 128GB WIFI.💥 BRAND NEW SEALED PACK.💥 EXCHANGE POSSIBLE.💥 CARD PAYMENT AVAILABLE FOR INSTALLMENT PLANS AVAILABLE.PHONE PARADISE (PVT) LTD.💥 NO 250/76 GROUND FLOOR KOLLUPITIYA LIBERTY PLAZA COLOMBO-03.
HUAWEI Tablet 16GB RAM 1TB Storage,"Rs 304,999",Unknown,https://ikman.lk/en/ad/huawei-tablet-16gb-ram-1tb-storage-for-sale-colombo-66900,HUAWEI,16GB 1TB,New,"X-MOBILESAMSUNG GALAXY• Brand New Sealed Pack• 100% Genuine Products• Credit Card Payments Accepted (Conditions Apply)• Best After-Sales Support and Service• One Year Software Warranty• Cash on Delivery (Colombo Only)• Delivery  Pickup Location - Liberty Plaza, Colombo 03• රටේ පවතින තත්ත්වය හේතුවෙන් ජංගම දුරකථනවල මිල ගණන් දවසින් දවස වෙනස් වන බැවින්, කරුණාකර අප වෙත ඇමතුමක් ලබාදී අද දින මිල ගණන් අහන්න.Authorized Dealer for:Flexible Payment Options:• Installment plans available for up to 40 months• 0% Interest Financing Available for Bank Installments (Terms and Conditions Apply)• Koko Payment Options Available (Terms and Conditions Apply)For More Details, Please Contact Us or Visit Our ShowroomX Mobile  No: 42N, Ground Floor,  Liberty Plaza,  Colombo 03  Google Search ""X MOBILE"" for DirectionsBusiness Hours:  10:00 AM - 07:00 PMChat with Us on WhatsAppGet your items delivered to you! 🔥"
ASUS Tablet 4GB RAM 256GB Storage,"Rs 105,999",Unknown,https://ikman.lk/en/ad/asus-tablet-4gb-ram-256gb-storage-for-sale-colombo-83439,ASUS,4GB 256GB,New,"X-MOBILESAMSUNG GALAXY• Brand New Sealed Pack• 100% Genuine Products• Credit Card Payments Accepted (Conditions Apply)• Best After-Sales Support and Service• One Year Software Warranty• Cash on Delivery (Colombo Only)• Delivery  Pickup Location - Liberty Plaza, Colombo 03• රටේ පවතින තත්ත්වය හේතුවෙන් ජංගම දුරකථනවල මිල ගණන් දවසින් දවස වෙනස් වන බැවින්, කරුණාකර අප වෙත ඇමතුමක් ලබාදී අද දින මිල ගණන් අහන්න.Authorized Dealer for:Flexible Payment Options:• Installment plans available for up to 40 months• 0% Interest Financing Available for Bank Installments (Terms and Conditions Apply)• Koko Payment Options Available (Terms and Conditions Apply)For More Details, Please Contact Us or Visit Our ShowroomX Mobile  No: 42N, Ground Floor,  Liberty Plaza,  Colombo 03  Google Search ""X MOBILE"" for DirectionsBusiness Hours:  10:00 AM - 07:00 PMChat with Us on WhatsAppGet your items delivered to you! 🔥"
HUAWEI Tablet 4GB RAM 32GB Storage,"Rs 18,000",Unknown,https://ikman.lk/en/ad/huawei-tablet-4gb-ram-32gb-storage-for-sale-colombo-48051,HUAWEI,4GB 32GB,Used,"‎⭕MOBILE CARE ‎‎🔰 Brand new Sealed Pack‎🔰 100% Genuine Products ‎🔰 Credit Card Payments Accepted.(Condition Apply)‎🔰 ⁠Prices will change according to color, country / region‎🔰After sales service and support will be provided‎🔰koko payment accepted ‎🔰one year warranty/ company warranty for limited stocks. ‎‎☆(SEYLAN BANK)‎●12 Months ‎●24 Months  ‎‎☆(COMMERCIAL BANK)‎●6 Months ‎●12 Months  ‎●18 Months ‎●24 Months ‎‎☆(SAMPATH BANK)‎●6 Months‎●12 Months ‎●24 Months‎●40 Months ‎‎♦️Cash on Delivery (Colombo Only)‎♦️Delivery & Pickup Loacation - Liberty Plaza Colombo 03 ‎‎For More Details Please Contact us or Visit  Showroom ‎MOBILE CARE ‎No 24,1ST FLOOR LIBERTY PLAZA COLOMBO 03‎‎‎Bussines hours‎10.00 AM - 07.30 PM"
Apple iPad 8GB RAM 64GB,"Rs 177,500",Unknown,https://ikman.lk/en/ad/apple-ipad-8gb-ram-64gb-for-sale-colombo-91366,APPLE,8GB 64GB,New,"TECHXPERT TECHNOLOGY (PVT) LTD🔆BRAND NEW SEALED PACK🔆 12 MONTHS WARRANTY🔆 100% ORIGINAL🔆 EXCHANGE POSSIBLE🔆Card payment available for installments plans for selected cards only condition apply ☀️ CASH PRICE PLEASE NOTE : MOBILE PRICE VALID FOR ONLY WHEN YOU ARE PURCHASING TOTAL PACKAGE (TO AVOID WHOLESALE BUYERS)විශ්වාසවන්ත හා සුහදශීලී සේවාව සඳහා  අප අමතන්න.# තරගකාරී මිල ගණන්# දුරකථන හුවමාරුව ….# ක්‍රෙඩිට් කාඩ් පත් මගින් ගෙවීම් හා  තවත් ප්‍රතිලාභ රැසක්★★★★★★ ★★★★★★ ★★★★★★ TECHXPERT TECHNOLOGY (PVT) LTDCall - No.1/34R, First Floor, Liberty Plaza, Colombo 03.."
XIAOMI Tablet 4GB RAM 32GB Storage,"Rs 62,999",Unknown,https://ikman.lk/en/ad/xiaomi-tablet-4gb-ram-32gb-storage-for-sale-colombo-32434,XIAOMI,4GB 32GB,New,"🖥️ HP EliteBook 850 G7 - 15.6 Inches✅ Processor: Intel Core i5 – 10th Generation✅ RAM: 16GB DDR4✅ Storage: 512 GB SSD✅ Display: 15.6 Inches✅ Warranty: 3 Months Laptop Bay WarrantyWe have a vast collection of Laptops, ranging from low to high price categories.📍 Locations: Colombo - https://maps.app.goo.gl/3L1JszVsENPJGfFd9Kandy - https://maps.app.goo.gl/kteo573rgtd1zu3a7📲 Call or WhatsApp us for more information.🌐 Website:🔗 www.laptopbay.lk🔍 Google:🔗 https://g.co/kgs/v8WNFKp"
XIAOMI Tablet 2GB RAM 64GB Storage,"Rs 32,000",Unknown,https://ikman.lk/en/ad/xiaomi-tablet-2gb-ram-64gb-storage-for-sale-colombo-76487,XIAOMI,2GB 64GB,Used,"‎⭕MOBILE CARE ‎‎🔰 Brand new Sealed Pack‎🔰 100% Genuine Products ‎🔰 Credit Card Payments Accepted.(Condition Apply)‎🔰 ⁠Prices will change according to color, country / region‎🔰After sales service and support will be provided‎🔰koko payment accepted ‎🔰one year warranty/ company warranty for limited stocks. ‎‎☆(SEYLAN BANK)‎●12 Months ‎●24 Months  ‎‎☆(COMMERCIAL BANK)‎●6 Months ‎●12 Months  ‎●18 Months ‎●24 Months ‎‎☆(SAMPATH BANK)‎●6 Months‎●12 Months ‎●24 Months‎●40 Months ‎‎♦️Cash on Delivery (Colombo Only)‎♦️Delivery & Pickup Loacation - Liberty Plaza Colombo 03 ‎‎For More Details Please Contact us or Visit  Showroom ‎MOBILE CARE ‎No 24,1ST FLOOR LIBERTY PLAZA COLOMBO 03‎‎‎Bussines hours‎10.00 AM - 07.30 PM"
ASUS Tablet 16GB RAM 128GB Storage,"Rs 79,000",Unknown,https://ikman.lk/en/ad/asus-tablet-16gb-ram-128gb-storage-for-sale-colombo-75133,ASUS,16GB 128GB,Used,"(Opposite To Gammana Road, Near By People's Leasing Maharagama , Sen-Saal Maharagama / Sampath Bank Super Branch Maharagama / Teaching Training College Maharagama) Parking Facility Available.(ගම්මාන පාර ඉදිරිපිට / පීපල්ස් ලීසින් මහරගම අසල / සෙන්-සාල් මහරගම අසල  /ගුරු විද්‍යාලය / මහරගම සම්පත් බැංකුව සුපර් ශාඛාව අසල) වාහන නැවතිමේ පහසුකම් ඇත.★ අපගේ MAHARAGAMA emobile ප්‍රදර්ශනාගාරයට හා emobile.lk වෙබ් අඩවියට පිවිසෙන්න. ★★ අපගේන් මිලදි ගන්නා සැම දුරකතනයක් සදහාම TRCSL APPROVED.+ Genuine Sealed Pack.★ අපගේ මිල ගනන් වෙනස් වන්නේ නැත .,වංචනිකයන්ට අසු නොවන්න..!#Promotion_Price★ Apple Ipad Air 8 M4 11Inch 256GB WIFI - Rs.244,990/=🔴 1 YEAR APPLECARE WARRANTY / DIRECT IMPORT / BRAND NEW / SEALED PACK / ORIGINAL / NON TRCSL APPROVED.✔ 100% Brand New Sealed Box With Untouched Original Accessories.Price Change Day By Day Call Us For The Best Price.දවසින් දවස මිල ගනන් වෙනස් වේ අඩුම මිල ගනන් සදහා අපව අමතන්න.★★ If you Exchange Phones Please Call for Offers.★★★★ CREDIT CARD PAYMENTS ACCEPTED ★★★★ INSTALLMENT PLAN AVAILABLE ★★ 12/24/36 MONTH ★★Visit Our Shop :emobile Maharagama - emobile.lkEMOBILE (PVT) LTDNo.207/1/1C,High Level Road,Maharagama(google ""emobile.lk"" for Direction)• Business Hours :09:00 AM to 09:00 PM Weekdays & Saturday09.00 AM to 05.00 PM On Sundays(ඔබ කොළඹ නගරය තුළ සිටින අයෙකු නම්, පැය 3ක් වැනි කෙටි කාලයක් තුළදී භාණ්ඩය ඔබ වෙත ගෙන්වා ගත හැකි අතර එය ලැබුණු පසුව ගෙවීම් කළ හැක. | ඔබ ශ්රී ලංකාවේ වෙනත් ප්රදේශයක සිටින අයෙකු නම් පැය 24ක් තුළදී භාණ්ඩය ඔබ වෙත ගෙන්වා ගත හැක.)●☞ DELIVERY LOCATION - .🚩 ●COLOMBO. 🚩 ●PILIYANDALA. 🚩 ●NUGEGODA. 🚩 ●MAHARAGAMA. 🚩 ●MORATUWA.🚩 ●PANADURA. 🚩 ●BORELLA. 🚩 ●KOLLOPITIYA. 🚩 ●BAMBALAPITIYA. 🚩 ●BATHTHARAMULLA. 🚩 ●KOTTE. 🚩 MALABE. 🚩 BORELESGAMUWA.★ මෙම විශේෂ දීමනාව තොග අවසන් වනතුරු පමණයි.මෙම දීමනා මිලදී ගැනිමෙදි මෙම post එක ඉදිරිපත් කරන්න.★005."
AMAZON Tablet 16GB RAM 256GB Storage,"Rs 184,999",Unknown,https://ikman.lk/en/ad/amazon-tablet-16gb-ram-256gb-storage-for-sale-colombo-77756,AMAZON,16GB 256GB,New,"‎⭕MOBILE CARE ‎‎🔰 Brand new Sealed Pack‎🔰 100% Genuine Products ‎🔰 Credit Card Payments Accepted.(Condition Apply)‎🔰 ⁠Prices will change according to color, country / region‎🔰After sales service and support will be provided‎🔰koko payment accepted ‎🔰one year warranty/ company warranty for limited stocks. ‎‎☆(SEYLAN BANK)‎●12 Months ‎●24 Months  ‎‎☆(COMMERCIAL BANK)‎●6 Months ‎●12 Months  ‎●18 Months ‎●24 Months ‎‎☆(SAMPATH BANK)‎●6 Months‎●12 Months ‎●24 Months‎●40 Months ‎‎♦️Cash on Delivery (Colombo Only)‎♦️Delivery & Pickup Loacation - Liberty Plaza Colombo 03 ‎‎For More Details Please Contact us or Visit  Showroom ‎MOBILE CARE ‎No 24,1ST FLOOR LIBERTY PLAZA COLOMBO 03‎‎‎Bussines hours‎10.00 AM - 07.30 PM"
