Title,Price,Location_Category,Link,Brand,Condition,Description
17 INCH USED MONITOR ( without cable ),"Rs 5,500.00",MD Computers,https://mdcomputers.lk/product/dell-17-inch-used-monitor/,RANDOM BRAND,Used,"GOOD CONDITIONSCREEN SIZE – 17 INCHRANDOM BRAND ( LENOVO , SAMSUNG , I O DATA )WARRANTY – 03 MONTH"
HP P240VA 24 INCH FULL HD USED MONITOR ( without cables ),"Rs 15,500.00",MD Computers,https://mdcomputers.lk/product/hp-p240va-24-inch-full-hd-used-monitor-without-cables/,HP,Used,BRAND – HPMODEL – P240VASCREEN SIZE – 24 INCHPANAL TYPE – LEDRESOLUTION -1920 x 1080 Full HD (60Hz)WARRANTY – 03 MONTH
DELL P2422HE 24 INCH IPS FRAMELESS USED TYPE-C FHD MONITOR ( without cables ),"Rs 27,500.00",MD Computers,https://mdcomputers.lk/product/dell-p2422he-24-inch-ips-frameless-used-type-c-monitor-without-cables/,DELL,Used,BRAND – DELLMODEL – P2422HESCREEN SIZE – 23.8 INCHPANEL TYPE – IPSRESOLUTION – FULL HD (1080p) 1920 x 1080CONNECTIVITY – DISPLAYPortORT / HDMI / USB-C / RJ45 ETHERNET PORTREFRESH RATE – 60 HzWARRANTY – 03 MONTHWITHOUT CABLES CONTACT US MORE DETAILSLOCATION : Opposite Of NSB Bank Homagama
SAMSUNG 24 INCH IPS FRAMLESS – 75HZ USED MONITOR ( WITHOUT CABLE ),"Rs 22,000.00",MD Computers,https://mdcomputers.lk/product/samsung-24-inch-ips-framless-75hz-used-monitor-without-cable/,SAMSUNG,Used,"03 MONTH WARRANTYResolution1,920 x 1,080model number – F24T450FQEAspect Ratio16:9Brightness (Typical)250cd/m2cd/㎡Contrast Ratio Static1000:1(Typ)Response Time5(GTG)Refresh RateMax 75HzViewing Angle (H/V)178°/178°DisplayScreen Size (Class)24Flat / CurvedFlatActive Display Size (HxV) (mm)527.04 × 296.46 mmAspect Ratio16:9Panel TypeIPSBrightness (Typical)250cd/m2 cd/㎡Brightness (Min)200cd/m2 cd/㎡Contrast Ratio Static1000:1(Typ)Contrast Ratio (Dynamic)MegaResolution1,920 x 1,080Response Time5(GTG)Viewing Angle (H/V)178°/178°Color SupportMax 16.7MColor Gamut (NTSC 1976)72%Refresh RateMax 75HzGeneral FeatureEco Saving PlusYesEye Saver ModeYesFlicker FreeYesGame ModeYesImage SizeYesWindows CertificationWindows10FreeSyncYesOff Timer PlusYesHDMI-CECNoInterfaceWireless DisplayNoD-SubNoDVINoDual Link DVINoDisplay Port1 EADisplay Port Version1.2Display Port OutNoMini-Display PortNoHDMI2 EAHDMI Version1.4Audio InNoHeadphoneYesUSB Ports2USB Hub VersionUSB2.0x2USB-CNoUSB-C Charging PowerNoAudioSpeakerNoUSB Sound Bar (Ready)NoOperation ConditionsTemperature10℃~ 40℃Humidity10% ~ 80%, non-condensingDesignColourBLACKStand TypeHAS PIVOT (MORE THAN 100MM)HAS(Height Adjustable Stand)130.0mm(±2.0mm)Tilt-3.0˚(±2.0˚) ~ 25.0˚(±2.0˚)Swivel-45˚(±2.0˚) ~ 45(±2.0˚)PivotYesWall Mount100 x 100EcoEnergy Efficiency Class5Recycled PlasticOver 3%PowerPower SupplyAC 100~240VPower Consumption (Typ)22 WPower Consumption (DPMS)0.5WPower Consumption (Off Mode)0.3WPower Consumption (Yearly)82 kWh/yearTypeInternal PowerDimensionNet Dimension with Stand (WxHxD)539.2 x 370.9 x 224.0 mmNet Dimension without Stand (WxHxD)539.2 x 322.8 x 39.4 mmPackage Dimension (HxWxD)604 x 147 x 385 mm"
LENOVO THINKVISION 27 INCH IPS FHD HDMI USED MONITOR ( DELIVERY NOT AVAILABLE ),"Rs 27,500.00",MD Computers,https://mdcomputers.lk/product/lenovo-thinkvision-27-inch-led-fhd-used-monitor-delivery-not-available/,LENOVO,Used,BRAND – LENOVOINCH – 27 INCHMODEL – T27i – 10PANEL – IPSREFRESH RATE – 60HZRESOLUTION – FHDWARRANTY – 03 MONTHWITH OUT CABLES
ATEC 27 INCH FULL HD LED USED MONITOR ( without cables  ),"Rs 21,500.00",MD Computers,https://mdcomputers.lk/product/27-inch-full-hd-led-used-monitor/,HP,Used,BRAND – ATECPANAL TYPE – LEDRESOLUTION – 1080pREFRASH RATE – 60 HzPORT – HDMI / DVI / VGA03 MONTH WARRANTYWITHOUT CABLE
DELL P2714HC 27 INCH IPS LED USED MONITOR ( without cable ),"Rs 28,000.00",MD Computers,https://mdcomputers.lk/product/dell-p2714hc-27-inch-ips-led-used-monitor-without-cable/,DELL,Used,BRAND – DELLMODEL – P2714HCRESOLUTION – FULLHD 1080pREFRASH RATE – 60 HzWARRANTY – 03 MONTHPORTS – DVI / DP / VGAWITHOUT CABLES
DELL ULTRASHARP U2419H 24 INCH FULL HD IPS FRAMELESS USED MONITOR ( without cables ),"Rs 22,500.00",MD Computers,https://mdcomputers.lk/product/dell-ultrasharp-24-inch-full-hd-ips-frameless-used-monitor-without-cables/,DELL,Used,"BRAND – DELLMODEL – U2419HPANAL TECHNOLOGY – IPSSCREEN SIZE – 24 INCHREFRESH RATE – 60HzRESOLUTION – 1920 x 1200 PIXELSPORT – HDMI , DISPLAYPORT , USBWARRANTY – 3 MONTHWITHOUT CABLES"
LENOVO THINKVISION P24q-20  24″INCH WIDE 2K QHD IPS FRAMELESS HDMI USED MONITOR ( without cables ),"Rs 32,000.00",MD Computers,https://mdcomputers.lk/product/lenovo-thinkvision-p24q-20-24%e2%80%b3inch-wide-2k-qhd-ips-frameless-hdmi-used-monitor/,LENOVO,Used,WITH OUT CABLES03 MONTH WARRANTYDisplayPanel Size24 inchesResolution2560×1440Panel Type3-side NearEdgeless In-Plane SwitchingBacklightWLEDBrightness(typical)300 cd/m²Aspect Ratio16:9Refresh Rate60 HzResponse Time4ms (extreme mode) 6ms (normal mode)
DELL ULTRASHARP 30 INCH IPS HDMI USED MONITOR ( DILIVERY NOT AVAILABLE  ) WITH OUT CABLE,"Rs 34,500.00",MD Computers,https://mdcomputers.lk/product/dell-ultrasharp-30-inch-ips-hdmi-used-monitor-with-out-cable/,DELL,Used,"BRAND – DELLINCH – 30 INCHMODEL – U3014TPANEL – IPSREFRESH RATE – 60HZRESOLUTION – 2560 x 1600PORT – HDMI , DISPLAY , DVIWARRANTY – 03 MONTHWITH OUT CABLE"
19 INCH SQUARE USED MONITOR ( without cable ),"Rs 6,800.00",MD Computers,https://mdcomputers.lk/product/dell-19-inch-square-used-monitor/,ACER,Used,"BRAND – ACER / LENOVOSCREEN SIZE – 19 INCHPORT – DVI , VGA03 MONTH WARRANTY"
DELL 20 INCH WIDE LED HDMI USED MONITOR ( WITHOUT CABLES ),"Rs 10,500.00",MD Computers,https://mdcomputers.lk/product/dell-20-inch-wide-led-hdmi-used-monitor-without-cables/,DELL,Used,BrandDellScreen Size19.5 InchesResolutionHDAspect Ratio16:9Screen Surface Glossy MODEL – P2017HWARRANTY – 03 MONTH
SAMSUNG 32 INCH IPS HDMI 2K USED MONITOR ( DILIVERY NOT AVAILABLE ) WITH OUT CABLE,"Rs 39,000.00",MD Computers,https://mdcomputers.lk/product/samsung-32-inch-ips-hdmi-used-monitor-dilivery-not-available-with-out-cable/,SAMSUNG,Used,"BRAND – SAMSUNGINCH – 32 INCHMODEL NUMBER – LS32D85KTSNPANEL – IPSPORT – HDMI * 2 , DISPLAYWARRANTY – 03 MONTHWITH OUT CABLE"
DELL 20 INCH LED USED MONITOR-E2016H ( without cable ),"Rs 9,800.00",MD Computers,https://mdcomputers.lk/product/dell-20-inch-led-used-monitor-p2014ht/,DELL,Used,BrandDellScreen Size20 InchesResolutionHD+Aspect Ratio16:9Screen Surface DescriptionFlat 03 MONTH WARRANTY
DELL P2214HB 22 INCH FULL HD IPS LED SILVER LINE  MONITOR ( without cables ),"Rs 12,500.00",MD Computers,https://mdcomputers.lk/product/dell-22-inch-full-hd-led-silver-monitor-p2214hb/,DELL,Used,"BRAND – DELLMODEL – P2214HBRESOLUTION – 1920×1080 FULL HDREFRESH RATE – 60Hz SCREEN SIZE – 22 INCHDISPLAY TYPE – IPSCONNECTIVITY – DVI , VGA , DISPLAYPORT , USBWARRANTY – 03 MONTH WITHOUT CABLES"
I-O DATA 17 INCH USED MONITOR ( without cable ),"Rs 6,200.00",MD Computers,https://mdcomputers.lk/product/i-o-deta-17-inch-white-led-used-monitor/,I-O DETA,Used,I-O DETA BRAND17 INCHLED PANAL03 MONTH WARRANTY
HP 22 INCH FULL HD LED USED MONITOR ( without cables ),"Rs 11,500.00",MD Computers,https://mdcomputers.lk/product/hp-22-inch-full-hd-led-used-monitor-2/,HP,Used,BRAND – HPSCREEN SIZE – 22 INCHPANAL TYPE – FULL HD LEDPORTS – VGAREFRESH RATE – 60HzWARRANTY – 03 MONTH
