model,vendor,release_year,memory_size_mb,memory_type,buswidth_bits,gpu_clockspeed_mhz,memory_clockspeed_mhz,max_bandwidth_mb_s,process_size_nm,transistors_million,external_power,shader_cores_or_stream_processors,boost_clock_mhz
GT 1030,NVIDIA,2017,2048,GDDR5,64,1227,6008,48000,14,1800,None,384,1468
GT 520,NVIDIA,2011,1024,DDR3,64,810,898,14300,40,292,None,48,810
GT 610,NVIDIA,2012,2048,DDR3,64,810,900,14400,40,585,None,48,810
GT 730,NVIDIA,2014,2048,GDDR5,64,902,5010,40100,28,1020,None,384,902
GTS 450,NVIDIA,2010,1024,GDDR5,128,783,3608,57700,40,1170,6-pin,192,1566
GTX 1050,NVIDIA,2016,2048,GDDR5,128,1354,7008,112100,14,3300,6-pin,640,1455
GTX 1050 TI,NVIDIA,2016,4096,GDDR5,128,1290,7008,112100,14,3300,6-pin,768,1392
GTX 1060,NVIDIA,2016,6144,GDDR5,192,1506,8008,192200,16,4400,6-pin,1280,1708
GTX 1070,NVIDIA,2016,8192,GDDR5,256,1506,8008,256300,16,7200,8-pin,1920,1683
GTX 1070 TI,NVIDIA,2017,8192,GDDR5,256,1607,8008,256300,16,7200,8-pin,2432,1683
GTX 1080,NVIDIA,2016,8192,GDDR5X,256,1607,10010,320300,16,7200,8-pin,2560,1733
GTX 1080 TI,NVIDIA,2017,11264,GDDR5X,352,1480,11010,484400,16,12000,8+6-pin,3584,1582
GTX 1630,NVIDIA,2022,4096,GDDR6,64,1740,12000,96000,12,4700,None,512,1785
GTX 1650,NVIDIA,2019,4096,GDDR5,128,1485,8000,128000,12,4700,None,896,1665
GTX 1650 SUPER,NVIDIA,2019,4096,GDDR6,128,1530,12000,192000,12,6600,6-pin,1280,1725
GTX 1660,NVIDIA,2019,6144,GDDR5,192,1530,8000,192000,12,6600,8-pin,1408,1785
GTX 1660 SUPER,NVIDIA,2019,6144,GDDR6,192,1530,14000,336000,12,6600,8-pin,1408,1785
GTX 1660 TI,NVIDIA,2019,6144,GDDR6,192,1500,12000,288100,12,6600,8-pin,1536,1770
GTX 460,NVIDIA,2010,1024,GDDR5,256,675,3600,115200,40,1950,6+6-pin,336,1350
GTX 550,NVIDIA,2011,1024,GDDR5,192,900,4104,98500,40,1170,6-pin,192,1800
GTX 650,NVIDIA,2012,1024,GDDR5,128,1058,5000,80000,28,1270,6-pin,384,1058
GTX 650 TI,NVIDIA,2012,1024,GDDR5,128,925,5400,86400,28,2540,6-pin,768,925
GTX 660,NVIDIA,2012,2048,GDDR5,192,980,6008,144200,28,2540,6-pin,960,1033
GTX 660 TI,NVIDIA,2012,2048,GDDR5,192,915,6008,144200,28,3540,6+6-pin,1344,980
GTX 670,NVIDIA,2012,2048,GDDR5,256,915,6008,192300,28,3540,6+6-pin,1344,980
GTX 680,NVIDIA,2012,2048,GDDR5,256,1006,6008,192300,28,3540,6+6-pin,1536,1058
GTX 745,NVIDIA,2014,4096,DDR3,128,1033,1800,28800,28,1270,6-pin,384,1033
GTX 750,NVIDIA,2014,1024,GDDR5,128,1020,5000,80000,28,1870,None,512,1085
GTX 750 TI,NVIDIA,2014,2048,GDDR5,128,1020,5400,86400,28,1870,6-pin,640,1085
GTX 760,NVIDIA,2013,2048,GDDR5,256,980,6008,192300,28,3540,6+6-pin,1152,1033
GTX 950,NVIDIA,2015,2048,GDDR5,128,1024,6600,105600,28,2940,6-pin,768,1188
GTX 960,NVIDIA,2015,4096,GDDR5,128,1127,7010,112200,28,2940,6-pin,1024,1178
GTX 970,NVIDIA,2014,4096,GDDR5,256,1050,7000,224000,28,5200,6+6-pin,1664,1178
GTX 980,NVIDIA,2014,4096,GDDR5,256,1126,7010,224300,28,5200,6+6-pin,2048,1216
GTX 980 TI,NVIDIA,2015,6144,GDDR5,384,1000,7010,336500,28,8000,8+6-pin,2816,1076
R 9 380,AMD,2015,4096,GDDR5,256,970,5700,182400,28,5000,8+6-pin,1792,970
RTX 2060,NVIDIA,2019,6144,GDDR6,192,1365,14000,336000,12,10800,8-pin,1920,1680
RTX 2060 SUPER,NVIDIA,2019,8192,GDDR6,256,1470,14000,448000,12,13600,8-pin,2176,1650
RTX 2070,NVIDIA,2018,8192,GDDR6,256,1410,14000,448000,12,10800,8-pin,2304,1620
RTX 2070 SUPER,NVIDIA,2019,8192,GDDR6,256,1605,14000,448000,12,13600,8-pin,2560,1770
RTX 2080,NVIDIA,2018,8192,GDDR6,256,1515,14000,448000,12,13600,8+6-pin,2944,1710
RTX 3050,NVIDIA,2022,8192,GDDR6,128,1552,14000,224000,8,12000,8-pin,2560,1777
RTX 3060,NVIDIA,2021,12288,GDDR6,192,1320,15000,360000,8,13250,8-pin,3584,1777
