source,model,price_lkr,brand,vram_gb,manufacturer,vendor,release_year,memory_size_mb,memory_type,buswidth_bits,gpu_clockspeed_mhz,memory_clockspeed_mhz,max_bandwidth_mb_s,process_size_nm,transistors_million,external_power,shader_cores_or_stream_processors,boost_clock_mhz,series_family,model_number,ti_variant,vram_gb_missing
Consolidated,GTX 960,20500.0,ZOTAC,2.0,NVIDIA,NVIDIA,2015.0,2048.0,GDDR5,128.0,928.0,1753.0,112.2,28.0,2.0,1x 6-pin,1024.0,1178.0,GTX,960.0,No,No
Consolidated,GTX 1070,44500.0,ZOTAC,8.0,NVIDIA,NVIDIA,2016.0,8192.0,GDDR5,256.0,928.0,2002.0,256.3,16.0,7.0,1x 8-pin,1920.0,1683.0,GTX,1070.0,No,No
Consolidated,GTX 1070 TI,43000.0,ZOTAC,8.0,NVIDIA,NVIDIA,2017.0,8192.0,GDDR5,256.0,928.0,2002.0,256.3,16.0,7.0,1x 8-pin,2432.0,1683.0,GTX,1070.0,Yes,No
Consolidated,RTX 2060 SUPER,80000.0,GALAX,8.0,NVIDIA,NVIDIA,2019.0,8192.0,GDDR6,256.0,928.0,1750.0,448.0,12.0,10.0,1x 8-pin,2176.0,1650.0,RTX,2060.0,No,No
Consolidated,GTX 1650,38500.0,ASUS,4.0,NVIDIA,NVIDIA,2019.0,4096.0,GDDR5,128.0,928.0,2001.0,128.1,12.0,4.0,Unknown,896.0,1665.0,GTX,1650.0,No,No
Consolidated,GTX 650 TI,8000.0,MSI,1.0,NVIDIA,NVIDIA,2012.0,1024.0,GDDR5,128.0,928.0,1350.0,86.4,28.0,2.0,1x 6-pin,768.0,1620.0,GTX,650.0,Yes,No
Consolidated,RTX 3070 TI,110500.0,GIGABYTE,8.0,NVIDIA,NVIDIA,2021.0,8192.0,GDDR6X,256.0,928.0,1188.0,608.3,8.0,17.0,1x 12-pin,6144.0,1770.0,RTX,3070.0,Yes,No
Consolidated,RX 5700 XT,51000.0,PALIT,8.0,AMD,AMD,2019.0,8192.0,GDDR6,256.0,928.0,1750.0,448.0,7.0,10.0,1x 6-pin + 1x 8-pin,2560.0,1905.0,RX,5700.0,No,No
Consolidated,GTX 1060,36500.0,GIGABYTE,6.0,NVIDIA,NVIDIA,2017.0,5120.0,GDDR5,160.0,928.0,2002.0,160.2,16.0,4.0,1x 6-pin,1280.0,1709.0,GTX,1060.0,No,No
Consolidated,RTX 2070,66000.0,GIGABYTE,8.0,NVIDIA,NVIDIA,2018.0,8192.0,GDDR6,256.0,928.0,1750.0,448.0,12.0,10.0,1x 8-pin,2304.0,1620.0,RTX,2070.0,No,No
Consolidated,RTX 3060,100500.0,ASUS,8.0,NVIDIA,NVIDIA,2022.0,8192.0,GDDR6,128.0,928.0,1875.0,240.0,8.0,12.0,1x 12-pin,3584.0,1777.0,RTX,3060.0,No,No
Consolidated,GTX 1050 TI,27000.0,MSI,4.0,NVIDIA,NVIDIA,2016.0,4096.0,GDDR5,128.0,928.0,1752.0,112.1,14.0,3.0,Unknown,768.0,1392.0,GTX,1050.0,Yes,No
Consolidated,RTX 3060 TI,105500.0,ASUS,8.0,NVIDIA,NVIDIA,2020.0,8192.0,GDDR6,256.0,928.0,1750.0,448.0,8.0,17.0,1x 12-pin,4864.0,1665.0,RTX,3060.0,Yes,No
Consolidated,GTX 1050,20500.0,MSI,4.0,NVIDIA,NVIDIA,2018.0,3072.0,GDDR5,96.0,928.0,1752.0,84.1,14.0,3.0,Unknown,768.0,1518.0,GTX,1050.0,No,No
Consolidated,GTX 950,20000.0,GALAX,4.0,NVIDIA,NVIDIA,2015.0,2048.0,GDDR5,128.0,928.0,1653.0,105.8,28.0,2.0,1x 6-pin,768.0,1188.0,GTX,950.0,No,No
Consolidated,RX 6600 XT,67500.0,ZOTAC,8.0,AMD,AMD,2021.0,8192.0,GDDR6,128.0,928.0,2000.0,256.0,7.0,11.0,1x 8-pin,2048.0,2589.0,RX,6600.0,No,No
Consolidated,RTX 2060,61000.0,ZOTAC,12.0,NVIDIA,NVIDIA,2021.0,12288.0,GDDR6,192.0,928.0,1750.0,336.0,12.0,10.0,1x 8-pin,2176.0,1650.0,RTX,2060.0,No,No
Consolidated,RX 6600 XT,69000.0,GIGABYTE,8.0,AMD,AMD,2021.0,8192.0,GDDR6,128.0,928.0,2000.0,256.0,7.0,11.0,1x 8-pin,2048.0,2589.0,RX,6600.0,No,No
Consolidated,RTX 3070,96000.0,GIGABYTE,8.0,NVIDIA,NVIDIA,2020.0,8192.0,GDDR6,256.0,928.0,1750.0,448.0,8.0,17.0,1x 12-pin,5888.0,1725.0,RTX,3070.0,No,No
Consolidated,GTX 1060,36000.0,ZOTAC,6.0,NVIDIA,NVIDIA,2017.0,5120.0,GDDR5,160.0,928.0,2002.0,160.2,16.0,4.0,1x 6-pin,1280.0,1709.0,GTX,1060.0,No,No
Consolidated,GTX 1050,20500.0,ZOTAC,4.0,NVIDIA,NVIDIA,2018.0,3072.0,GDDR5,96.0,928.0,1752.0,84.1,14.0,3.0,Unknown,768.0,1518.0,GTX,1050.0,No,No
Consolidated,GTX 660 TI,6500.0,MSI,2.0,NVIDIA,NVIDIA,2012.0,2048.0,GDDR5,192.0,928.0,1502.0,144.2,28.0,3.0,2x 6-pin,1344.0,980.0,GTX,660.0,Yes,No
