sample_size_n,degrees_of_freedom,conformal_penalty_multiplier_kn,eligible_models_count,eligible_models_pct,recommended_action
1,0,2.0607,94,100.0,BLOCK (< 3)
2,1,1.866,79,84.04,BLOCK (< 3)
3,2,1.75,74,78.72,HIGH UNCERTAINTY
4,3,1.6708,68,72.34,HIGH UNCERTAINTY
5,4,1.6124,67,71.28,HIGH UNCERTAINTY
6,5,1.5669,65,69.15,HIGH UNCERTAINTY
7,6,1.5303,65,69.15,HIGH UNCERTAINTY
8,7,1.5,65,69.15,HIGH UNCERTAINTY
9,8,1.4743,64,68.09,HIGH UNCERTAINTY
10,9,1.1581,64,68.09,MODERATE UNCERTAINTY
11,10,1.1508,63,67.02,MODERATE UNCERTAINTY
12,11,1.1443,62,65.96,MODERATE UNCERTAINTY
13,12,1.1387,62,65.96,MODERATE UNCERTAINTY
14,13,1.1336,62,65.96,MODERATE UNCERTAINTY
15,14,1.1291,62,65.96,MODERATE UNCERTAINTY
16,15,1.125,62,65.96,MODERATE UNCERTAINTY
17,16,1.1213,62,65.96,MODERATE UNCERTAINTY
18,17,1.1179,62,65.96,MODERATE UNCERTAINTY
19,18,1.1147,62,65.96,MODERATE UNCERTAINTY
20,19,1.0,62,65.96,ROBUST SAMPLE
21,20,1.0,62,65.96,ROBUST SAMPLE
22,21,1.0,62,65.96,ROBUST SAMPLE
23,22,1.0,60,63.83,ROBUST SAMPLE
24,23,1.0,58,61.7,ROBUST SAMPLE
25,24,1.0,58,61.7,ROBUST SAMPLE
26,25,1.0,58,61.7,ROBUST SAMPLE
27,26,1.0,57,60.64,ROBUST SAMPLE
28,27,1.0,57,60.64,ROBUST SAMPLE
29,28,1.0,57,60.64,ROBUST SAMPLE
30,29,1.0,56,59.57,ROBUST SAMPLE
31,30,1.0,55,58.51,ROBUST SAMPLE
32,31,1.0,55,58.51,ROBUST SAMPLE
33,32,1.0,54,57.45,ROBUST SAMPLE
34,33,1.0,54,57.45,ROBUST SAMPLE
