Dataset,Threshold,Total_Models,Matched_Models,Match_Rate_Pct,Sample_Matches
PassMark_Benchmarks,60,94,93,98.94,'GTS 450' -> 'GT 430' (76.9%) | 'GeForce GT 1030' -> 'GeForce GT 1030' (100.0%) | 'GeForce GT 430' -> 'GeForce GT 430' (100.0%)
PassMark_Benchmarks,65,94,93,98.94,'GTS 450' -> 'GT 430' (76.9%) | 'GeForce GT 1030' -> 'GeForce GT 1030' (100.0%) | 'GeForce GT 430' -> 'GeForce GT 430' (100.0%)
PassMark_Benchmarks,70,94,92,97.87,'GTS 450' -> 'GT 430' (76.9%) | 'GeForce GT 1030' -> 'GeForce GT 1030' (100.0%) | 'GeForce GT 430' -> 'GeForce GT 430' (100.0%)
PassMark_Benchmarks,75,94,88,93.62,'GTS 450' -> 'GT 430' (76.9%) | 'GeForce GT 1030' -> 'GeForce GT 1030' (100.0%) | 'GeForce GT 430' -> 'GeForce GT 430' (100.0%)
PassMark_Benchmarks,80,94,87,92.55,'GeForce GT 1030' -> 'GeForce GT 1030' (100.0%) | 'GeForce GT 430' -> 'GeForce GT 430' (100.0%) | 'GeForce GT 440' -> 'GeForce GT 440' (100.0%)
PassMark_Benchmarks,82,94,87,92.55,'GeForce GT 1030' -> 'GeForce GT 1030' (100.0%) | 'GeForce GT 430' -> 'GeForce GT 430' (100.0%) | 'GeForce GT 440' -> 'GeForce GT 440' (100.0%)
PassMark_Benchmarks,85,94,87,92.55,'GeForce GT 1030' -> 'GeForce GT 1030' (100.0%) | 'GeForce GT 430' -> 'GeForce GT 430' (100.0%) | 'GeForce GT 440' -> 'GeForce GT 440' (100.0%)
PassMark_Benchmarks,90,94,86,91.49,'GeForce GT 1030' -> 'GeForce GT 1030' (100.0%) | 'GeForce GT 430' -> 'GeForce GT 430' (100.0%) | 'GeForce GT 440' -> 'GeForce GT 440' (100.0%)
PassMark_Benchmarks,95,94,68,72.34,'GeForce GT 1030' -> 'GeForce GT 1030' (100.0%) | 'GeForce GT 430' -> 'GeForce GT 430' (100.0%) | 'GeForce GT 440' -> 'GeForce GT 440' (100.0%)
PassMark_Benchmarks,100,94,66,70.21,'GeForce GT 1030' -> 'GeForce GT 1030' (100.0%) | 'GeForce GT 430' -> 'GeForce GT 430' (100.0%) | 'GeForce GT 440' -> 'GeForce GT 440' (100.0%)
TechPowerUp_Specs,60,94,93,98.94,'GTS 450' -> 'GeForce GTS 450' (63.6%) | 'GeForce GT 1030' -> 'GeForce GT 1030' (100.0%) | 'GeForce GT 430' -> 'GeForce GT 430' (100.0%)
TechPowerUp_Specs,65,94,92,97.87,'GeForce GT 1030' -> 'GeForce GT 1030' (100.0%) | 'GeForce GT 430' -> 'GeForce GT 430' (100.0%) | 'GeForce GT 440' -> 'GeForce GT 440' (100.0%)
TechPowerUp_Specs,70,94,91,96.81,'GeForce GT 1030' -> 'GeForce GT 1030' (100.0%) | 'GeForce GT 430' -> 'GeForce GT 430' (100.0%) | 'GeForce GT 440' -> 'GeForce GT 440' (100.0%)
TechPowerUp_Specs,75,94,87,92.55,'GeForce GT 1030' -> 'GeForce GT 1030' (100.0%) | 'GeForce GT 430' -> 'GeForce GT 430' (100.0%) | 'GeForce GT 440' -> 'GeForce GT 440' (100.0%)
TechPowerUp_Specs,80,94,87,92.55,'GeForce GT 1030' -> 'GeForce GT 1030' (100.0%) | 'GeForce GT 430' -> 'GeForce GT 430' (100.0%) | 'GeForce GT 440' -> 'GeForce GT 440' (100.0%)
TechPowerUp_Specs,82,94,87,92.55,'GeForce GT 1030' -> 'GeForce GT 1030' (100.0%) | 'GeForce GT 430' -> 'GeForce GT 430' (100.0%) | 'GeForce GT 440' -> 'GeForce GT 440' (100.0%)
TechPowerUp_Specs,85,94,87,92.55,'GeForce GT 1030' -> 'GeForce GT 1030' (100.0%) | 'GeForce GT 430' -> 'GeForce GT 430' (100.0%) | 'GeForce GT 440' -> 'GeForce GT 440' (100.0%)
TechPowerUp_Specs,90,94,87,92.55,'GeForce GT 1030' -> 'GeForce GT 1030' (100.0%) | 'GeForce GT 430' -> 'GeForce GT 430' (100.0%) | 'GeForce GT 440' -> 'GeForce GT 440' (100.0%)
TechPowerUp_Specs,95,94,81,86.17,'GeForce GT 1030' -> 'GeForce GT 1030' (100.0%) | 'GeForce GT 430' -> 'GeForce GT 430' (100.0%) | 'GeForce GT 440' -> 'GeForce GT 440' (100.0%)
TechPowerUp_Specs,100,94,81,86.17,'GeForce GT 1030' -> 'GeForce GT 1030' (100.0%) | 'GeForce GT 430' -> 'GeForce GT 430' (100.0%) | 'GeForce GT 440' -> 'GeForce GT 440' (100.0%)
