iter	RMSE
0	65152.22477
1	62083.66601
2	59198.02009
3	56452.47431
4	53809.40172
5	51330.00895
6	48956.06886
7	46701.0589
8	44582.75589
9	42561.75911
10	40647.16667
11	38846.05832
12	37139.95897
13	35520.42272
14	33986.28987
15	32535.06681
16	31182.76914
17	29909.37437
18	28739.09455
19	27595.71813
20	26488.43185
21	25436.24264
22	24454.77855
23	23532.04465
24	22665.40014
25	21851.04811
26	21086.54006
27	20377.84248
28	19706.18876
29	19081.82759
30	18486.36765
31	17940.98748
32	17434.1562
33	16954.04681
34	16505.30927
35	16093.51732
36	15715.69948
37	15357.54003
38	15024.71862
39	14719.04579
40	14435.18005
41	14176.15978
42	13942.16021
43	13719.16483
44	13509.67401
45	13317.88117
46	13141.83787
47	12980.1394
48	12831.11512
49	12696.78966
50	12571.44663
51	12456.39435
52	12351.85648
53	12256.3153
54	12169.40823
55	12090.1164
56	12017.82293
57	11951.30183
58	11888.96701
59	11832.55997
60	11778.42981
61	11731.29993
62	11686.22947
63	11643.93971
64	11605.1457
65	11571.39635
66	11539.4964
67	11510.24241
68	11483.74168
69	11458.27549
70	11436.98702
71	11415.31205
72	11396.554
73	11378.06903
74	11360.25623
75	11344.35139
76	11329.3839
77	11316.85663
78	11305.16196
79	11294.05675
80	11283.38906
81	11271.5913
82	11261.36062
83	11252.49134
84	11243.5302
85	11236.06856
86	11229.78178
87	11223.77964
88	11218.30018
89	11213.33311
90	11204.55233
91	11197.13928
92	11191.51355
93	11186.56288
94	11179.77845
95	11175.43588
96	11168.79953
97	11165.34142
98	11161.3352
99	11158.87256
100	11153.22589
101	11150.21716
102	11145.60089
103	11141.59786
104	11136.13563
105	11133.15896
106	11130.9044
107	11127.44936
108	11123.81055
109	11120.18664
110	11117.38891
111	11115.60535
112	11113.79922
113	11110.7117
114	11107.93595
115	11105.6804
116	11104.13087
117	11102.14437
118	11100.54351
119	11097.88468
120	11095.96197
121	11092.32813
122	11090.22494
123	11085.64411
124	11084.57806
125	11082.6249
126	11080.61178
127	11079.27902
128	11076.13258
129	11074.76159
130	11072.49141
131	11070.99317
132	11069.78067
133	11068.19875
134	11066.9818
135	11065.94008
136	11064.43141
137	11063.37203
138	11061.32347
139	11060.26421
140	11057.99977
141	11056.82733
142	11056.03112
143	11054.49745
144	11053.76083
145	11052.50743
146	11051.13226
147	11048.5371
148	11046.33587
149	11045.61241
150	11043.41268
151	11042.10284
152	11041.24408
153	11040.2261
154	11038.53813
155	11037.38649
156	11036.22268
157	11035.69061
158	11034.48421
159	11033.22571
160	11032.70555
161	11031.59073
162	11029.51671
163	11028.56379
164	11027.60039
165	11026.99552
166	11026.37064
167	11024.92189
168	11023.95068
169	11023.27361
170	11021.61884
171	11020.89834
172	11019.5979
173	11017.52205
174	11016.07671
175	11014.93605
176	11012.94055
177	11011.42545
178	11010.7247
179	11010.17223
180	11008.62175
181	11007.39238
182	11006.67262
183	11006.38253
184	11005.83568
185	11004.92239
186	11004.07281
187	11002.63155
188	11001.77929
189	11000.96533
190	10999.63043
191	10999.03987
192	10998.12852
193	10997.69597
194	10996.62599
195	10995.28889
196	10994.21366
197	10992.39301
198	10991.34213
199	10990.53032
200	10989.64499
201	10988.41892
202	10987.39563
203	10986.82905
204	10986.32173
205	10985.87702
206	10985.23226
207	10984.00069
208	10983.34706
209	10982.09689
210	10980.91928
211	10979.9822
212	10978.80018
213	10978.51312
214	10977.51649
215	10976.52311
216	10975.25545
217	10974.11975
218	10973.41995
219	10973.16745
220	10972.45464
221	10971.72672
222	10971.21912
223	10970.65463
224	10969.90193
225	10968.89698
226	10968.521
227	10967.56863
228	10966.92991
229	10966.2945
230	10965.45741
231	10964.51106
232	10963.49056
233	10962.58504
234	10962.06949
235	10961.39236
236	10960.89642
237	10960.27154
238	10959.80401
239	10959.08363
240	10958.73158
241	10957.85456
242	10957.50248
243	10956.83303
244	10956.07309
245	10955.41109
246	10955.0627
247	10954.56856
248	10954.23521
249	10953.49311
250	10953.10445
251	10952.18718
252	10951.57019
253	10951.05285
254	10950.42406
255	10949.83378
256	10949.33522
257	10948.86093
258	10948.27098
259	10947.9077
260	10947.53518
261	10947.00634
262	10946.38737
263	10945.64097
264	10945.0542
265	10944.68116
266	10944.39614
267	10943.4182
268	10942.91012
269	10942.35884
270	10941.86329
271	10941.574
272	10941.1606
273	10940.52327
274	10940.22598
275	10939.63515
276	10939.19819
277	10938.67523
278	10938.15771
279	10937.72866
280	10937.52776
281	10936.76816
282	10936.14358
283	10935.54707
284	10935.0164
285	10934.29648
286	10933.64029
287	10933.11834
288	10932.86029
289	10932.31983
290	10931.78102
291	10931.49776
292	10931.01053
293	10930.62988
294	10929.80265
295	10929.51388
296	10929.23938
297	10928.62066
298	10928.33732
299	10927.82015
