iter	Passed	Remaining
0	2	825
1	4	711
2	6	675
3	8	665
4	11	650
5	13	662
6	15	653
7	17	644
8	19	639
9	21	636
10	24	647
11	26	641
12	28	638
13	31	635
14	33	629
15	35	624
16	37	619
17	39	616
18	41	620
19	45	632
20	47	630
21	49	625
22	51	619
23	53	618
24	56	616
25	58	614
26	60	611
27	62	608
28	65	607
29	67	603
30	69	599
31	71	602
32	74	604
33	76	602
34	79	601
35	82	601
36	84	600
37	86	598
38	89	597
39	91	594
40	93	591
41	95	588
42	98	588
43	102	597
44	106	603
45	110	607
46	113	612
47	117	617
48	120	618
49	123	618
50	126	618
51	129	617
52	132	616
53	134	614
54	137	610
55	141	614
56	144	614
57	146	613
58	149	611
59	153	612
60	155	609
61	157	606
62	160	603
63	162	599
64	164	595
65	167	592
66	169	589
67	171	585
68	173	582
69	176	580
70	179	577
71	181	574
72	183	571
73	186	568
74	189	567
75	191	565
76	194	562
77	196	558
78	199	558
79	201	555
80	204	552
81	207	550
82	212	556
83	216	557
84	219	556
85	222	553
86	226	553
87	229	552
88	232	550
89	234	547
90	237	544
91	241	546
92	244	543
93	247	541
94	251	542
95	254	541
96	258	541
97	261	538
98	264	536
99	268	536
100	271	534
101	273	531
102	276	528
103	279	527
104	284	528
105	286	524
106	289	521
107	292	519
108	295	517
109	298	515
110	302	514
111	304	511
112	308	510
113	310	507
114	314	505
115	316	502
116	320	500
117	324	500
118	328	499
119	331	497
120	335	495
121	337	492
122	341	491
123	344	489
124	347	486
125	350	484
126	353	482
127	356	479
128	361	479
129	364	476
130	367	474
131	370	472
132	373	469
133	377	467
134	380	464
135	382	461
136	387	460
137	389	457
138	392	454
139	394	451
140	397	447
141	399	444
142	402	441
143	404	438
144	407	436
145	411	433
146	414	431
147	416	428
148	419	425
149	422	422
150	425	419
151	428	416
152	430	413
153	432	410
154	435	407
155	437	403
156	439	400
157	442	397
158	444	394
159	446	391
160	449	387
161	451	384
162	454	381
163	456	378
164	458	375
165	460	371
166	462	368
167	465	365
168	467	362
169	469	359
170	473	357
171	475	353
172	477	350
173	480	347
174	483	345
175	485	342
176	488	339
177	490	336
178	492	333
179	496	330
180	500	328
181	502	325
182	504	322
183	506	319
184	508	316
185	511	313
186	513	310
187	515	307
188	517	304
189	519	300
190	521	297
191	524	294
192	526	291
193	528	288
194	530	285
195	533	282
196	535	279
197	537	276
198	539	273
199	542	271
200	545	268
201	548	265
202	550	262
203	552	259
204	554	257
205	557	254
206	559	251
207	561	248
208	563	245
209	565	242
210	567	239
211	569	236
212	571	233
213	574	230
214	576	227
215	578	224
216	580	221
217	582	219
218	584	216
219	586	213
220	588	210
221	591	207
222	593	204
223	595	201
224	597	199
225	600	196
226	603	194
227	606	191
228	608	188
229	612	186
230	616	184
231	618	181
232	622	178
233	625	176
234	628	173
235	631	171
236	634	168
237	637	166
238	639	163
239	641	160
240	644	157
241	647	155
242	650	152
243	652	149
244	655	147
245	657	144
246	660	141
247	662	138
248	665	136
249	668	133
250	671	131
251	674	128
252	676	125
253	679	123
254	682	120
255	684	117
256	687	115
257	690	112
258	693	109
259	695	107
260	697	104
261	701	101
262	704	99
263	707	96
264	713	94
265	715	91
266	718	88
267	721	86
268	723	83
269	726	80
270	728	77
271	731	75
272	734	72
273	737	69
274	740	67
275	742	64
276	745	61
277	747	59
278	750	56
279	753	53
280	755	51
281	758	48
282	761	45
283	764	43
284	767	40
285	769	37
286	772	34
287	775	32
288	778	29
289	780	26
290	782	24
291	785	21
292	787	18
293	790	16
294	792	13
295	795	10
296	797	8
297	799	5
298	802	2
299	804	0
