brand,model,condition,currency,dual_sim,has_5g,has_esim,warranty_days,storage_gb,ram_gb,battery_health_percent,listed_price,phone_type,model_tier,brand_tier,phone_age_years,is_flagship
Oppo,A31,used,LKR,1,0,0,0.0,256.0,8.0,,21999.0,android,3,2,3.0,0
Vivo,Y93,used,LKR,1,0,0,0.0,64.0,3.0,,8000.0,android,3,2,3.0,0
Samsung,Galaxy A03s,used,LKR,1,0,0,0.0,64.0,3.0,,16000.0,android,3,3,3.0,0
Honor,X6,used,LKR,1,0,0,0.0,64.0,4.0,,20000.0,android,3,2,3.0,0
Oppo,A17,used,LKR,1,0,0,0.0,64.0,4.0,,14000.0,android,3,2,3.0,0
Huawei,Y7p,used,LKR,1,0,0,0.0,64.0,4.0,,11000.0,android,3,2,3.0,0
Xiaomi,Redmi 14C,used,LKR,1,0,0,0.0,256.0,8.0,,18500.0,android,3,2,3.0,0
Oppo,A5s,used,LKR,1,0,0,0.0,64.0,2.0,,15500.0,android,3,2,3.0,0
Samsung,Galaxy A06,used,LKR,1,0,0,0.0,128.0,4.0,,18500.0,android,3,3,3.0,0
Samsung,Galaxy A06,used,LKR,1,0,0,0.0,64.0,4.0,,19990.0,android,3,3,3.0,0
Xiaomi,Redmi Note 9,used,LKR,1,0,0,0.0,128.0,4.0,,19990.0,android,4,2,3.0,0
Samsung,Galaxy A04,used,LKR,1,0,0,0.0,64.0,4.0,,18990.0,android,3,3,3.0,0
Samsung,Galaxy A30,used,LKR,1,0,0,0.0,64.0,3.0,,14350.0,android,3,3,3.0,0
Vivo,Y93,used,LKR,1,0,0,0.0,128.0,4.0,,11800.0,android,3,2,3.0,0
Xiaomi,Redmi Note 9S,used,LKR,1,0,0,0.0,64.0,4.0,,18000.0,android,4,2,3.0,0
Samsung,Galaxy J1,used,LKR,1,0,0,0.0,64.0,1.0,,4200.0,android,3,3,3.0,0
Samsung,Galaxy A03,used,LKR,1,0,0,0.0,64.0,3.0,,11000.0,android,3,3,3.0,0
Vivo,Y17,used,LKR,1,0,0,0.0,64.0,4.0,,15000.0,android,3,2,3.0,0
Vivo,Y1S,used,LKR,1,0,0,0.0,64.0,2.0,,10500.0,android,3,2,3.0,0
Vivo,Y17,used,LKR,1,0,0,0.0,64.0,4.0,,16000.0,android,3,2,3.0,0
Samsung,Galaxy A10s,used,LKR,1,0,0,0.0,64.0,2.0,,10000.0,android,3,3,3.0,0
Huawei,Y9,used,LKR,1,0,0,0.0,64.0,4.0,,8500.0,android,3,2,3.0,0
Samsung,Galaxy Note 4,used,LKR,1,0,0,0.0,64.0,3.0,,9000.0,android,3,3,3.0,0
Vivo,Y85,used,LKR,1,0,0,0.0,128.0,4.0,,11000.0,android,3,2,3.0,0
Huawei,Y6,used,LKR,1,0,0,0.0,64.0,2.0,,9500.0,android,3,2,3.0,0
Xiaomi,Redmi 9A,used,LKR,1,0,0,0.0,64.0,2.0,,12000.0,android,3,2,3.0,0
Motorola,G34,used,LKR,1,0,0,0.0,64.0,4.0,,12000.0,android,3,2,3.0,0
Samsung,Galaxy A10,used,LKR,1,0,0,0.0,64.0,2.0,,10000.0,android,3,3,3.0,0
Samsung,Galaxy A10s,used,LKR,1,0,0,0.0,64.0,2.0,,6000.0,android,3,3,3.0,0
Samsung,Galaxy A03s,used,LKR,1,0,0,0.0,64.0,4.0,,16500.0,android,3,3,3.0,0
Xiaomi,Redmi 13C,used,LKR,1,0,0,0.0,64.0,4.0,,16500.0,android,3,2,3.0,0
Tecno,spark 8c,used,LKR,1,0,0,0.0,64.0,2.0,,8500.0,android,3,1,3.0,0
Huawei,Y7,used,LKR,1,0,0,0.0,64.0,3.0,,17000.0,android,3,2,3.0,0
Xiaomi,Redmi Note 8,used,LKR,1,0,0,0.0,64.0,4.0,,13000.0,android,4,2,3.0,0
Samsung,Galaxy M13,used,LKR,1,0,0,0.0,64.0,4.0,,15500.0,android,3,3,3.0,0
Xiaomi,Redmi 9A,used,LKR,1,0,0,0.0,64.0,2.0,,11000.0,android,3,2,3.0,0
Vivo,Y51,used,LKR,1,0,0,0.0,64.0,4.0,,13000.0,android,3,2,3.0,0
Vivo,Y93,used,LKR,1,0,0,0.0,128.0,4.0,,13555.0,android,3,2,3.0,0
Samsung,Galaxy M01,used,LKR,1,0,0,0.0,64.0,3.0,,9500.0,android,3,3,3.0,0
Samsung,Galaxy A12,used,LKR,1,0,0,0.0,64.0,3.0,,20000.0,android,3,3,3.0,0
