id,title,price_raw,price,condition,location,description,slug,link,shop_name,is_member,timestamp
6a8a9384e257509d96432140,Oppo A31 8GB/256GB (Used),"Rs 21,999",21999,Used,Gampaha,"Gampaha, Mobile Phones",oppo-a31-8gb-256gb-used-for-sale-gampaha-35,https://ikman.lk/en/ad/oppo-a31-8gb-256gb-used-for-sale-gampaha-35,TN Mobile,True,bump_up
6a95cbd2ecc0c76f2a584977,Vivo Y93 (Used),"Rs 8,000",8000,Used,Colombo,"Colombo, Mobile Phones",vivo-y93-used-for-sale-colombo-2521,https://ikman.lk/en/ad/vivo-y93-used-for-sale-colombo-2521,,False,1 hour
6a95cad5a3fc0c1d9c3eba7f,Samsung Galaxy A03s (Used),"Rs 16,000",16000,Used,Kandy,"Kandy, Mobile Phones",samsung-galaxy-a03s-used-for-sale-kandy-936,https://ikman.lk/en/ad/samsung-galaxy-a03s-used-for-sale-kandy-936,,False,1 hour
6a95ca68fd6d98b0ea227ab6,Honor X6 (Used),"Rs 20,000",20000,Used,Kandy,"Kandy, Mobile Phones",honor-x6-used-for-sale-kandy-50,https://ikman.lk/en/ad/honor-x6-used-for-sale-kandy-50,,False,1 hour
6a95c70ed8de9573c8fc5395,Oppo A17 (Used),"Rs 14,000",14000,Used,Kalutara,"Kalutara, Mobile Phones",oppo-a17-refurbished-for-sale-kalutara,https://ikman.lk/en/ad/oppo-a17-refurbished-for-sale-kalutara,,False,2 hours
6a95c6196e0f2ad5903eba60,itel 50c (Used),"Rs 15,000",15000,Used,Ratnapura,"Ratnapura, Mobile Phones",itel-50c-used-for-sale-ratnapura,https://ikman.lk/en/ad/itel-50c-used-for-sale-ratnapura,,False,2 hours
6a95bcd843856807e3227a8a,Huawei Y7p (Used),"Rs 11,000",11000,Used,Colombo,"Colombo, Mobile Phones",huawei-y7p-used-for-sale-colombo-329,https://ikman.lk/en/ad/huawei-y7p-used-for-sale-colombo-329,,False,3 hours
6a95c452cca0c9c7d883d44e,Apple iPhone 7 (Used),"Rs 15,000",15000,Used,Kalutara,"Kalutara, Mobile Phones",apple-iphone-7-black-used-for-sale-kalutara-2,https://ikman.lk/en/ad/apple-iphone-7-black-used-for-sale-kalutara-2,,False,3 hours
6a95bfb08e784d6ef9ceff19,Xiaomi Redmi 14C 8GB 256GB (Used),"Rs 18,500",18500,Used,Gampaha,"Gampaha, Mobile Phones",xiaomi-redmi-14c-8gb-ram-256gb-rom-used-for-sale-gampaha,https://ikman.lk/en/ad/xiaomi-redmi-14c-8gb-ram-256gb-rom-used-for-sale-gampaha,,False,3 hours
6a95b89cdf5d2facf8e2ab67,Oppo A5s (Used),"Rs 15,500",15500,Used,Galle,"Galle, Mobile Phones",oppo-a5s-used-for-sale-galle-497,https://ikman.lk/en/ad/oppo-a5s-used-for-sale-galle-497,Sell Fast Galle Digital Phone Market,False,bump_up
