iter	RMSE
0	0.5124571175
1	0.4988569955
2	0.4863082046
3	0.4736261254
4	0.4626672002
5	0.451330525
6	0.4405462069
7	0.43032659
8	0.4210793984
9	0.411640083
10	0.4029282791
11	0.3943665298
12	0.3859616779
13	0.3786165353
14	0.3713231579
15	0.3648131837
16	0.3580566627
17	0.351164407
18	0.3449064677
19	0.3393173737
20	0.3337741136
21	0.3299193329
22	0.3248069206
23	0.3199257398
24	0.3151513415
25	0.3108025102
26	0.3066227757
27	0.3022345931
28	0.2979765857
29	0.2938093274
30	0.290179378
31	0.2860683335
32	0.2829100866
33	0.2795882962
34	0.2763283466
35	0.2734323156
36	0.2705923518
37	0.2674271365
38	0.2646909375
39	0.2621145987
40	0.2595266128
41	0.2573209631
42	0.2551112825
43	0.2531733205
44	0.25111892
45	0.2491508037
46	0.2472437731
47	0.2451209795
48	0.2432204108
49	0.2416399781
50	0.2401493864
51	0.2384205862
52	0.2367876134
53	0.2353070161
54	0.2338645834
55	0.2324765957
56	0.2311462227
57	0.2300397048
58	0.2291103797
59	0.2277800415
60	0.2270051679
61	0.2256680305
62	0.2249258416
63	0.2239644496
64	0.2229113143
65	0.2219606972
66	0.2210939615
67	0.2202595146
68	0.2196473281
69	0.2188489503
70	0.2179349707
71	0.2170797292
72	0.2161639407
73	0.2154326715
74	0.2148176758
75	0.2142938948
76	0.2135798269
77	0.2130333367
78	0.2125688363
79	0.2120042395
80	0.211129232
81	0.2105499279
82	0.2098621258
83	0.2092388165
84	0.2086311681
85	0.2079681514
86	0.207310996
87	0.2065838532
88	0.2060896537
89	0.205676725
90	0.2053465247
91	0.2050431717
92	0.204493966
93	0.2040411037
94	0.2034577094
95	0.2031055774
96	0.2025852797
97	0.2020309337
98	0.2016325495
99	0.2012148477
100	0.2010079486
101	0.2004284021
102	0.199980096
103	0.1994941467
104	0.1992516874
105	0.1992082339
106	0.1986537634
107	0.1983386629
108	0.1981170981
109	0.1977813421
110	0.1976733529
111	0.1972769592
112	0.1969963827
113	0.196852528
114	0.1966655226
115	0.1966057705
116	0.196345061
117	0.1960229217
118	0.1957120335
119	0.1954871861
120	0.1950369039
121	0.1947750775
122	0.1945436561
123	0.1943282171
124	0.194059428
125	0.1938263541
126	0.1935762076
127	0.1934096156
128	0.1932638839
129	0.1930470386
130	0.1926347083
131	0.192412704
132	0.1920984973
133	0.1918949265
134	0.1915287998
135	0.1913094649
136	0.1910755472
137	0.1908993042
138	0.1905415147
139	0.1903889251
140	0.1902595427
141	0.1900335548
142	0.1899347201
143	0.1896957236
144	0.1895481268
145	0.1892937352
146	0.1891359965
147	0.1890169179
148	0.1888408664
149	0.1885719225
150	0.1884348542
151	0.188316393
152	0.1880093381
153	0.187789189
154	0.1874650383
155	0.1872182779
156	0.186987581
157	0.1868229761
158	0.1865576442
159	0.1863734102
160	0.1861682689
161	0.1860239866
162	0.1857886428
163	0.1855995861
164	0.1853480629
165	0.1852706504
166	0.185134873
167	0.184919231
168	0.1847714214
169	0.184742673
170	0.1845301718
171	0.1844577345
172	0.1841718202
173	0.1839219418
174	0.1837408052
175	0.1835112405
176	0.1833843515
177	0.1832355217
178	0.183026758
179	0.1827671665
180	0.1825983292
181	0.1825235824
182	0.1822808708
183	0.1821968665
184	0.1820819984
185	0.1819842267
186	0.1817878859
187	0.1815895078
188	0.1814931109
189	0.1812478231
190	0.1811377492
191	0.1810457699
192	0.1809592998
193	0.1809128323
194	0.1806544406
195	0.1805688134
196	0.1803947766
197	0.1802444276
198	0.1801230679
199	0.1798052067
200	0.1796257457
201	0.1793949266
202	0.17929849
203	0.1791609851
204	0.1790821669
205	0.1789617699
206	0.1788869694
207	0.1787001863
208	0.1786061443
209	0.1785031769
210	0.1784197978
211	0.1782556448
212	0.1780665893
213	0.1779903579
214	0.1779284439
215	0.1777394077
216	0.1776014036
217	0.1775247136
218	0.1774240583
219	0.1773773891
220	0.1770887419
221	0.1770073613
222	0.1767895011
223	0.176663823
224	0.1764936403
225	0.1762659906
226	0.1762059958
227	0.1759651145
228	0.1757780236
229	0.1757613095
230	0.1757049555
231	0.1756171505
232	0.1754554599
233	0.1751860334
234	0.1750011309
235	0.1749953894
236	0.1749555301
237	0.1748160154
238	0.1747698451
239	0.1746680045
240	0.1744529536
241	0.1742579258
242	0.1741035439
243	0.1739265791
244	0.1737995348
245	0.1736358585
246	0.1735662459
247	0.1734267956
248	0.1732864233
249	0.1731951696
250	0.173160185
251	0.173091353
252	0.1729974507
253	0.1727869631
254	0.1726843817
255	0.1725552537
256	0.172535993
257	0.1724206317
258	0.1724115678
259	0.1722333603
260	0.1720310865
261	0.1719090546
262	0.1718704881
263	0.1718049737
264	0.1717963664
265	0.1717060084
266	0.1716190966
267	0.1714912886
268	0.1713543418
269	0.1712418067
270	0.1711951558
271	0.1711451759
272	0.1709815748
273	0.1709295539
274	0.1708512638
275	0.1707331111
276	0.1707061001
277	0.1706859472
278	0.1706082429
279	0.1705404011
280	0.1705374842
281	0.1704805123
282	0.1704194693
283	0.1702173325
284	0.1701199055
285	0.1700523172
286	0.1699715785
287	0.1699169784
288	0.1698189761
289	0.1696534292
290	0.1694132405
291	0.1693688051
292	0.1692478837
293	0.1691382639
294	0.169088298
295	0.1689907804
296	0.1688720042
297	0.1686398392
298	0.168637542
299	0.1685919205
300	0.1685081124
301	0.1683614916
302	0.16818858
303	0.1681784347
304	0.1681032111
305	0.1680188656
306	0.1679793929
307	0.1679427037
308	0.1678408312
309	0.1676908498
310	0.1675230423
311	0.1674756073
312	0.1673295594
313	0.1672158115
314	0.1671667934
315	0.1670932524
316	0.1670541955
317	0.1668577189
318	0.166760375
319	0.1667444629
320	0.1666314219
321	0.1665548404
322	0.1664533623
323	0.1664339898
324	0.1662928832
325	0.1661561714
326	0.1660144705
327	0.1659660196
328	0.165818178
329	0.1657156376
330	0.1656376107
331	0.1655316779
332	0.1653627257
333	0.1652130107
334	0.1651651155
335	0.1651150538
336	0.1651050063
337	0.1649753089
338	0.1649693379
339	0.1648094981
340	0.164771176
341	0.1647618162
342	0.1646899072
343	0.1645654591
344	0.164509568
345	0.1643751996
346	0.1642552353
347	0.1641918931
348	0.1641505869
349	0.1641180817
350	0.1640258258
351	0.1639825815
352	0.1639726877
353	0.1638289841
354	0.1638202581
355	0.16369943
356	0.1636328714
357	0.1636038385
358	0.163497773
359	0.1634544608
360	0.1634453784
361	0.1633959162
362	0.1633468452
363	0.1632011694
364	0.1631144446
365	0.1629922272
366	0.162885797
367	0.1628326012
368	0.1627538162
369	0.1626619648
370	0.162592113
371	0.1625534654
372	0.1625492193
373	0.1624924826
374	0.1624322985
375	0.1623786216
376	0.1623094787
377	0.1623057232
378	0.1622338062
379	0.1621975779
380	0.16208098
381	0.1620779636
382	0.162063675
383	0.1620349954
384	0.1620287952
385	0.1619777228
386	0.1619252441
387	0.1618147016
388	0.1617898951
389	0.1617462381
390	0.1616170195
391	0.1616145465
392	0.1615787813
393	0.1615154289
394	0.1614163866
395	0.1613934139
396	0.1613629426
397	0.1612757413
398	0.1611626849
399	0.1611171206
400	0.1609782442
401	0.1609709041
402	0.160951977
403	0.1609107141
404	0.1608879903
405	0.1608794155
406	0.1607754981
407	0.1606302782
408	0.1605368115
409	0.1604507928
410	0.1604406895
411	0.1603897364
412	0.1602324196
413	0.1601992931
414	0.1601814694
415	0.1600730042
416	0.1600398106
417	0.1600276606
418	0.1600130093
419	0.1599122252
420	0.1599103651
421	0.1597411584
422	0.1597323457
423	0.1596961854
424	0.1596603968
425	0.1595359325
426	0.1594361693
427	0.159427504
428	0.1594167176
429	0.1593897102
430	0.1593353715
431	0.159330977
432	0.1592860344
433	0.1591810252
434	0.1590937182
435	0.158956461
436	0.1589125685
437	0.1587651963
438	0.1587297134
439	0.1586541931
440	0.1585287768
441	0.1584437052
442	0.1584167119
443	0.1583401321
444	0.1583360686
445	0.1583242879
446	0.1582360004
447	0.1580706459
448	0.1579997472
449	0.1579535475
450	0.1577933758
451	0.1577449775
452	0.1577338992
453	0.1576764758
454	0.1576399596
455	0.1575617561
456	0.1575166349
457	0.1575087313
458	0.1574146696
459	0.1573952293
460	0.1572931155
461	0.1572690072
462	0.1572253771
463	0.1572151104
464	0.1572137
465	0.1571536807
466	0.157140338
467	0.1571255148
468	0.1571129918
469	0.1571035415
470	0.1570922701
471	0.1570208326
472	0.1569959047
473	0.1569867094
474	0.1568527881
475	0.156725059
476	0.1565540397
477	0.1565077462
478	0.1564404115
479	0.1563646119
480	0.1563417211
481	0.1562416626
482	0.1561035944
483	0.1560642551
484	0.1560416884
485	0.1560189
486	0.1558846243
487	0.1558409764
488	0.1557960402
489	0.1557364493
490	0.1555807134
491	0.1554991214
492	0.1554809978
493	0.1553577008
494	0.1552241022
495	0.1551860957
496	0.1551392823
497	0.155102776
498	0.1549825389
499	0.1547862739
500	0.1546285686
501	0.1544852321
502	0.1543784873
503	0.1543719416
504	0.1542790969
505	0.1541943426
506	0.1541885896
507	0.1541804822
508	0.1540690216
509	0.1539237685
510	0.1538215032
511	0.1536992404
512	0.15362982
513	0.1536059656
514	0.1535849202
515	0.1535604186
516	0.1534152072
517	0.1533791294
518	0.1533731613
519	0.1533566108
520	0.15331526
521	0.153190247
522	0.1531570334
523	0.1530719042
524	0.1529885253
525	0.1528654771
526	0.1528618241
527	0.1527640435
528	0.1527073311
529	0.1526859439
530	0.1526820154
531	0.152634695
532	0.1525640357
533	0.1525546935
534	0.1524481074
535	0.1524458403
536	0.1524210805
537	0.1523919156
538	0.1523582423
539	0.1523315681
540	0.1522941813
541	0.1522660409
542	0.1522632086
543	0.1522615004
544	0.152258772
545	0.1521520613
546	0.1520931363
547	0.1520749627
548	0.1519722014
549	0.1519703509
550	0.1519131171
551	0.1519056416
552	0.1517942883
553	0.1516946913
554	0.1516667035
555	0.1515304399
556	0.1514295186
557	0.151399155
558	0.1513452386
559	0.1513369792
560	0.1512393471
561	0.1511331455
562	0.1509617563
563	0.1508405331
564	0.1507988283
565	0.1506061875
566	0.150522031
567	0.1505147282
568	0.1504828616
569	0.1503828177
570	0.1503067298
571	0.1502622742
572	0.1502093216
573	0.1501997695
574	0.1501892568
575	0.1500181844
576	0.1499827816
577	0.1499706865
578	0.1499536254
579	0.1499409641
580	0.1498856157
581	0.1497484408
582	0.1497299781
583	0.149594839
584	0.1495768903
585	0.1494766353
586	0.1494739795
587	0.1494702787
588	0.1494396453
589	0.1493866681
590	0.1492875753
591	0.1492354412
592	0.1492088047
593	0.1491261746
594	0.1490769485
595	0.1489819308
596	0.1488929489
597	0.1488546749
598	0.1488278923
599	0.1488224581
