iter	Passed	Remaining
0	137	82169
1	166	49737
2	195	38936
3	224	33396
4	253	30123
5	280	27763
6	309	26230
7	338	25069
8	378	24822
9	406	23960
10	433	23201
11	459	22497
12	487	22011
13	517	21675
14	543	21203
15	572	20890
16	601	20611
17	627	20304
18	656	20061
19	686	19911
20	714	19700
21	730	19188
22	758	19020
23	784	18818
24	811	18657
25	838	18511
26	868	18421
27	896	18322
28	924	18206
29	952	18105
30	980	18005
31	1014	18013
32	1043	17930
33	1073	17875
34	1103	17810
35	1135	17785
36	1166	17747
37	1195	17680
38	1225	17630
39	1256	17590
40	1287	17550
41	1317	17506
42	1349	17479
43	1377	17409
44	1406	17344
45	1432	17254
46	1478	17399
47	1527	17568
48	1570	17664
49	1596	17563
50	1624	17486
51	1650	17397
52	1677	17308
53	1705	17248
54	1738	17230
55	1775	17248
56	1805	17198
57	1832	17128
58	1858	17044
59	1886	16980
60	1913	16911
61	1943	16864
62	1970	16795
63	1997	16725
64	2031	16724
65	2074	16787
66	2128	16936
67	2157	16878
68	2186	16823
69	2213	16758
70	2240	16691
71	2270	16648
72	2300	16608
73	2329	16559
74	2356	16493
75	2385	16449
76	2412	16383
77	2439	16324
78	2475	16322
79	2518	16371
80	2545	16309
81	2573	16256
82	2603	16213
83	2635	16190
84	2672	16189
85	2702	16153
86	2733	16116
87	2762	16073
88	2792	16034
89	2820	15983
90	2849	15936
91	2881	15909
92	2925	15946
93	2965	15960
94	2993	15913
95	3019	15853
96	3057	15853
97	3100	15881
98	3137	15876
99	3166	15833
100	3194	15783
101	3221	15727
102	3248	15675
103	3277	15629
104	3310	15608
105	3318	15466
106	3345	15415
107	3377	15387
108	3414	15378
109	3451	15375
110	3494	15393
111	3524	15357
112	3555	15323
113	3581	15270
114	3608	15219
115	3627	15135
116	3654	15087
117	3681	15037
118	3712	15006
119	3745	14983
120	3778	14957
121	3827	14997
122	3862	14980
123	3890	14934
124	3918	14890
125	3947	14849
126	3973	14797
127	4000	14751
128	4027	14705
129	4054	14658
130	4083	14618
131	4110	14573
132	4137	14529
133	4166	14488
134	4197	14456
135	4242	14475
136	4286	14486
137	4349	14559
138	4410	14626
139	4451	14624
140	4491	14621
141	4563	14718
142	4610	14734
143	4658	14753
144	4687	14710
145	4714	14659
146	4742	14615
147	4769	14566
148	4796	14519
149	4822	14468
150	4850	14422
151	4877	14376
152	4904	14329
153	4931	14283
154	4958	14236
155	4985	14189
156	5013	14147
157	5039	14097
158	5067	14054
159	5094	14011
160	5122	13966
161	5149	13922
162	5176	13877
163	5204	13835
164	5231	13792
165	5259	13750
166	5290	13718
167	5337	13725
168	5366	13686
169	5401	13663
170	5427	13617
171	5456	13578
172	5483	13534
173	5509	13489
174	5536	13446
175	5564	13405
176	5593	13366
177	5620	13325
178	5647	13282
179	5674	13240
180	5700	13197
181	5731	13162
182	5761	13129
183	5792	13095
184	5820	13055
185	5846	13013
186	5873	12972
187	5902	12934
188	5931	12897
189	5958	12858
190	5985	12818
191	6013	12777
192	6039	12736
193	6065	12693
194	6092	12653
195	6119	12614
196	6146	12572
197	6173	12533
198	6200	12494
199	6228	12457
200	6261	12428
201	6290	12394
202	6318	12357
203	6347	12322
204	6374	12282
205	6401	12243
206	6437	12221
207	6464	12183
208	6491	12143
209	6517	12103
210	6546	12069
211	6573	12031
212	6602	11996
213	6630	11960
214	6661	11929
215	6691	11896
216	6719	11860
217	6746	11821
218	6774	11785
219	6799	11745
220	6826	11707
221	6856	11673
222	6883	11637
223	6908	11596
224	6935	11559
225	6961	11519
226	6988	11483
227	7015	11446
228	7041	11408
229	7068	11370
230	7097	11337
231	7124	11300
232	7152	11265
233	7179	11229
234	7207	11193
235	7215	11129
236	7244	11096
237	7273	11063
238	7299	11025
239	7328	10993
240	7355	10956
241	7381	10920
242	7408	10884
243	7436	10850
244	7464	10815
245	7492	10781
246	7519	10745
247	7551	10718
248	7577	10681
249	7617	10664
250	7646	10631
251	7672	10595
252	7700	10561
253	7727	10526
254	7755	10492
255	7781	10456
256	7806	10419
257	7834	10385
258	7852	10338
259	7880	10305
260	7907	10270
