Model,MAE,RMSE,R2_Score,group
Random Forest Regressor,161665.28019560242,196816.97093249814,0.35838089968295617,G1_Manual_2000-2012
XGBRegressor,168570.03125,210959.2324597338,0.2628612518310547,G1_Manual_2000-2012
Gradient Boosting,171250.79017631413,215654.1667716719,0.22968579892994123,G1_Manual_2000-2012
Random Forest Regressor,144090.1052557587,187253.21395822617,0.29140911427931193,G2_Manual_2013-2015
XGBRegressor,144301.1875,187258.4879571551,0.29136914014816284,G2_Manual_2013-2015
Gradient Boosting,144301.95680935663,187258.7414240155,0.2913672803411411,G2_Manual_2013-2015
Random Forest Regressor,224190.32612971283,247160.24685838108,0.2739026814461102,G3_Manual_2016-2019
XGBRegressor,225537.140625,248369.92487819455,0.26677775382995605,G3_Manual_2016-2019
Gradient Boosting,225539.77272922278,248370.84584501758,0.26677236493535306,G3_Manual_2016-2019
Gradient Boosting,201576.72885468038,277075.1947204791,0.6028033576490663,G4_Auto_lt700_2000-2015
XGBRegressor,202687.4375,277580.0191080042,0.601354718208313,G4_Auto_lt700_2000-2015
Random Forest Regressor,241155.92861926602,335828.21323672833,0.41649493261362147,G4_Auto_lt700_2000-2015
