Model,Feature_Set,Features,MAE,MSE,RMSE,R2_Score
Random Forest Regressor,A,"year_range, variant",371323.81817547814,250404414373.84186,500404.2509550072,0.9012558895707564
XGBRegressor,A,"year_range, variant",366822.28125,246308995072.0,496295.27004798263,0.9028708934783936
Gradient Boosting,A,"year_range, variant",370587.9781852191,249232844439.6925,499232.25500731874,0.9017178847446135
Random Forest Regressor,B,"year_range, variant, transmission",287868.18959104107,124631394114.2853,353031.7182836201,0.9508530383773571
XGBRegressor,B,"year_range, variant, transmission",282108.40625,124531105792.0,352889.651012891,0.9508925676345825
Gradient Boosting,B,"year_range, variant, transmission",284388.8738294857,125000690355.53458,353554.3669020856,0.9507074106378534
Random Forest Regressor,C,"year_range, variant, fuel_type",360284.4708727273,242500804986.43777,492443.7074290195,0.904372587333817
XGBRegressor,C,"year_range, variant, fuel_type",351308.0625,237567934464.0,487409.41154639184,0.9063178300857544
Gradient Boosting,C,"year_range, variant, fuel_type",352192.75708236074,238190806384.38452,488047.95500481763,0.9060721858771383
Random Forest Regressor,D,"year_range, variant, transmission, fuel_type",285341.15951987205,124976233939.71466,353519.7787107741,0.9507170547450887
XGBRegressor,D,"year_range, variant, transmission, fuel_type",280072.3125,122831642624.0,350473.45494915877,0.951562762260437
Gradient Boosting,D,"year_range, variant, transmission, fuel_type",284024.6734185019,125544869804.89233,354323.11497401964,0.9504928197099136
