Variant,ML_Model,Feature_Set,Test_Records,MAE,MSE,RMSE,R2_Score
121,Random Forest Regressor,A,26,397179.2142820179,268604241551.13284,518270.4328351492,0.022211664283452115
141,Random Forest Regressor,A,15,395245.25909904926,305593039526.1035,552804.7028798719,-0.4428877275862724
AE110,Random Forest Regressor,A,9,272816.7511283457,157505019123.54037,396869.0201105906,0.24598661057879623
DX/KE72,Random Forest Regressor,A,5,342424.1563355955,157418349045.68646,396759.8127906687,0.010607085554998119
121,XGBRegressor,A,26,397864.3125,267599282176.0,517299.992437657,0.02586984634399414
141,XGBRegressor,A,15,388596.03125,294597623808.0,542768.4808534851,-0.3909718990325928
AE110,XGBRegressor,A,9,270250.65625,156798550016.0,395977.96657894994,0.2493686079978943
DX/KE72,XGBRegressor,A,5,313911.8125,151852335104.0,389682.3515428945,0.04559016227722168
121,Gradient Boosting,A,26,397498.1232519345,267563296445.90512,517265.2090039549,0.02600097146689495
141,Gradient Boosting,A,15,394710.8813091459,303634524180.8487,551030.4203769958,-0.43364040388956826
AE110,Gradient Boosting,A,9,271812.65579355246,157030328371.00885,396270.5242268328,0.2482590663090003
DX/KE72,Gradient Boosting,A,5,336082.0947715183,156673983707.5492,395820.64588339656,0.01528550961277897
121,Random Forest Regressor,B,26,331274.25752526434,164586788720.9729,405692.9734675878,0.40086187286146957
141,Random Forest Regressor,B,15,184568.15740261023,42584811617.51632,206360.87714854363,0.7989316047257712
AE110,Random Forest Regressor,B,9,304330.73212591733,127734027783.24672,357398.97563262086,0.38850731380360626
DX/KE72,Random Forest Regressor,B,5,342424.1563355955,157418349045.68646,396759.8127906687,0.010607085554998119
121,XGBRegressor,B,26,331797.3125,166534987776.0,408086.9855508749,0.39376986026763916
141,XGBRegressor,B,15,176371.03125,45291032576.0,212816.89917861315,0.7861539125442505
AE110,XGBRegressor,B,9,297123.03125,120074870784.0,346518.2113309487,0.42517346143722534
DX/KE72,XGBRegressor,B,5,313911.8125,151852335104.0,389682.3515428945,0.04559016227722168
121,Gradient Boosting,B,26,331493.634832434,165562259983.84515,406893.4258302107,0.39731090725811513
141,Gradient Boosting,B,15,173985.93281681265,44468232389.71013,210874.9211966898,0.7900388474748411
AE110,Gradient Boosting,B,9,303796.3110148995,124507346221.46156,352855.9851008079,0.40395419362066276
DX/KE72,Gradient Boosting,B,5,335719.552718429,156565921627.12415,395684.1184924209,0.015964692550097803
121,Random Forest Regressor,C,26,400774.2580517013,273786453062.63205,523246.0731459263,0.003347085154327134
141,Random Forest Regressor,C,15,353325.03896198526,264522155825.40125,514317.17434419907,-0.24896749254176842
AE110,Random Forest Regressor,C,9,273674.30763349246,162143940517.60107,402671.00779370876,0.2237790081604205
DX/KE72,Random Forest Regressor,C,5,326514.16710491106,158393738517.2428,397987.10848122055,0.0044766475353361646
121,XGBRegressor,C,26,403191.46875,275866419200.0,525229.872722411,-0.004224658012390137
141,XGBRegressor,C,15,327046.90625,244708261888.0,494679.959052315,-0.15541434288024902
AE110,XGBRegressor,C,9,270911.09375,160912457728.0,401138.9506492732,0.2296743392944336
DX/KE72,XGBRegressor,C,5,299012.1875,154974388224.0,393667.8653687649,0.025967657566070557
121,Gradient Boosting,C,26,401731.6551838311,274399001481.14694,523831.0810568107,0.0011172517934439075
141,Gradient Boosting,C,15,325478.5136369566,249275642196.63092,499275.1167408916,-0.17697957214428706
AE110,Gradient Boosting,C,9,272246.44180303614,159456191223.54044,399319.6604520499,0.2366458930787958
DX/KE72,Gradient Boosting,C,5,318636.58479371166,158375991734.00027,397964.81218067545,0.00458818816386386
121,Random Forest Regressor,D,26,330876.05265584844,164466919299.58807,405545.21239880036,0.401298228301586
141,Random Forest Regressor,D,15,182251.24484704976,45883963431.00985,214205.42343976692,0.7833543334943458
AE110,Random Forest Regressor,D,9,302738.5440345112,124147202315.9617,352345.2884827065,0.40567828678528983
DX/KE72,Random Forest Regressor,D,5,326514.16710491106,158393738517.2428,397987.10848122055,0.0044766475353361646
121,XGBRegressor,D,26,331953.0625,166620594176.0,408191.8595170658,0.3934582471847534
141,XGBRegressor,D,15,177215.5,43595812864.0,208796.10356517672,0.7941580414772034
AE110,XGBRegressor,D,9,291100.53125,110532845568.0,332464.80350256624,0.47085338830947876
DX/KE72,XGBRegressor,D,5,299012.1875,154974388224.0,393667.8653687649,0.025967657566070557
121,Gradient Boosting,D,26,329575.48818415933,164900969165.03134,406080.0034045401,0.39971817545841826
141,Gradient Boosting,D,15,176516.22678098653,43059341225.22165,207507.44860178308,0.7966910663012177
AE110,Gradient Boosting,D,9,311634.203725836,131148460435.27975,362144.2536273077,0.37216162557578847
DX/KE72,Gradient Boosting,D,5,319988.62199642777,158263275736.48386,397823.17144239333,0.005296621519717326
