variant,year_range,record_count,min_actual_price_lkr,max_actual_price_lkr,mean_actual_price_lkr,median_actual_price_lkr
121,1990-1999,1,5800000,5800000,5800000.0,5800000.0
121,2000-2001,28,4300000,6225000,5424642.857142857,5445000.0
121,2002-2003,48,4475000,6650000,5664895.833333333,5850000.0
121,2004-2008,52,1975000,6750000,5705288.461538462,5750000.0
141,2007-2009,63,5950000,7250000,6620158.73015873,6525000.0
141,2010-2013,11,6200000,8875000,7208636.363636363,7550000.0
AE110,1994-1996,20,2975000,3900000,3424500.0,3395000.0
AE110,1997-2000,24,3150000,4750000,4113125.0,4200000.0
DX/KE72,1980-1984,7,750000,1150000,916428.5714285715,890000.0
DX/KE72,1985-1990,18,765000,1950000,1483055.5555555555,1610000.0
