variant,model_year,record_count,min_actual_price_lkr,max_actual_price_lkr,mean_actual_price_lkr,median_actual_price_lkr
121,1992,1,5800000,5800000,5800000.0,5800000.0
121,2000,9,5175000,6000000,5591666.666666667,5550000.0
121,2001,19,4300000,6225000,5345526.315789473,5325000.0
121,2002,24,1500000,6400000,5442291.666666667,5825000.0
121,2003,24,4975000,6650000,5741666.666666667,5850000.0
121,2004,19,4600000,6750000,5654210.52631579,5500000.0
121,2005,14,4475000,6350000,5532142.857142857,5537500.0
121,2006,14,1975000,6625000,5808928.571428572,6050000.0
121,2007,4,5825000,6600000,6143750.0,6075000.0
121,2008,1,5895000,5895000,5895000.0,5895000.0
141,2007,14,5950000,7100000,6612500.0,6647500.0
141,2008,48,6150000,7250000,6615000.0,6512500.0
141,2009,1,6975000,6975000,6975000.0,6975000.0
141,2010,3,6240000,6590000,6373333.333333333,6290000.0
141,2011,2,6200000,6250000,6225000.0,6225000.0
141,2012,2,7900000,8200000,8050000.0,8050000.0
141,2013,1,8875000,8875000,8875000.0,8875000.0
AE110,1994,1,3150000,3150000,3150000.0,3150000.0
AE110,1995,5,2975000,3650000,3360000.0,3375000.0
AE110,1996,14,3150000,3900000,3467142.8571428573,3397500.0
AE110,1997,13,3500000,4450000,4016538.4615384615,4000000.0
AE110,1998,5,3150000,4550000,4035000.0,4200000.0
AE110,1999,4,4100000,4525000,4318750.0,4325000.0
AE110,2000,2,4300000,4750000,4525000.0,4525000.0
DX/KE72,1980,1,1150000,1150000,1150000.0,1150000.0
DX/KE72,1982,1,750000,750000,750000.0,750000.0
DX/KE72,1983,3,810000,1150000,950000.0,890000.0
DX/KE72,1984,2,775000,890000,832500.0,832500.0
DX/KE72,1985,7,950000,1875000,1455000.0,1660000.0
DX/KE72,1986,5,1050000,1900000,1445000.0,1450000.0
DX/KE72,1987,5,765000,1950000,1532000.0,1650000.0
DX/KE72,1990,1,1625000,1625000,1625000.0,1625000.0
